published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,485.0,485.0,468.5,477.9,-1.46,6384.0,3033792.9,-1
2025-12-09,471.2,485.0,471.2,477.0,1.23,15336.0,7348959.3,1
2025-12-10,470.0,480.0,465.0,468.6,-0.3,24830.0,11734671.4,-1
2025-12-11,461.5,469.9,461.5,467.4,1.28,7141.0,3341110.8,1
2025-12-14,469.0,469.7,460.2,463.0,-1.28,8904.0,4124360.1,-1
2025-12-15,470.0,470.0,455.0,466.0,-0.85,4644.0,2132246.0,-1
2025-12-16,461.7,474.8,461.7,474.7,2.82,10848.0,5084523.9,1
2025-12-17,469.1,482.0,469.1,473.9,1.02,16829.0,7995424.1,1
2025-12-18,470.0,475.0,468.2,472.0,0.43,10243.0,4826720.4,1
2025-12-21,464.0,472.0,464.0,466.5,0.54,6057.0,2831300.4,1
2025-12-22,465.0,465.0,458.2,463.0,-0.43,9351.0,4316541.2,-1
2025-12-23,460.1,469.0,460.1,469.0,1.93,2811.0,1306013.9,1
2025-12-24,462.1,475.0,462.1,472.0,2.14,7273.0,3420538.2,1
2025-12-28,475.0,485.0,475.0,484.5,2.0,18791.0,9010398.6,1
2025-12-29,477.2,485.0,477.2,484.0,1.42,10802.0,5193367.2,1
2025-12-31,476.0,485.0,476.0,482.9,1.45,9685.0,4679819.9,1
2026-01-01,473.3,480.0,471.2,478.0,0.99,12266.0,5829174.3,1
2026-01-04,469.1,474.8,469.1,472.0,0.62,7973.0,3759923.7,1
2026-01-05,470.1,477.8,463.0,477.8,1.64,24220.0,11432691.6,1
2026-01-06,480.9,485.0,475.0,477.0,-0.81,17516.0,8405275.6,-1
2026-01-07,476.0,482.0,469.2,477.0,0.21,8562.0,4091550.5,1
2026-01-08,470.0,476.9,470.0,476.9,1.47,6654.0,3148640.4,1
2026-01-12,472.1,481.0,472.1,478.2,1.29,8188.0,3923683.8,1
2026-01-13,474.1,485.0,474.1,481.9,1.65,9001.0,4324292.4,1
2026-01-14,480.2,491.5,480.2,490.0,2.04,30261.0,14737057.8,1
2026-01-18,490.0,495.0,481.0,488.0,-0.41,30062.0,14710402.9,-1
2026-01-20,497.5,499.0,490.0,498.0,0.1,38866.0,19277333.6,1
2026-01-21,491.3,499.9,489.0,494.0,0.55,28841.0,14183666.2,1
2026-01-22,496.0,496.0,486.8,490.0,-1.21,17854.0,8743717.0,-1
2026-01-25,488.0,504.0,488.0,502.0,2.87,36385.0,18215437.3,1
2026-01-26,500.0,510.0,495.5,502.0,0.4,36845.0,18538496.6,1
2026-01-27,500.0,505.0,495.0,495.0,-1.0,42045.0,20918121.0,-1
2026-01-28,495.0,495.1,487.2,488.1,-1.39,28001.0,13717963.1,-1
2026-01-29,493.1,493.1,482.0,482.0,-2.25,26058.0,12670694.2,-1
2026-02-01,480.1,486.0,474.0,474.0,-1.27,21548.0,10253755.1,-1
2026-02-02,473.0,480.0,470.6,480.0,1.48,25831.0,12266896.0,1
2026-02-03,475.0,479.9,473.1,476.0,0.21,12184.0,5780501.8,1
2026-02-04,471.0,480.0,471.0,474.8,0.81,22451.0,10663725.6,1
2026-02-05,471.0,488.5,470.7,485.2,3.01,44654.0,21456185.5,1
2026-02-08,492.4,492.9,479.0,488.0,-0.89,21431.0,10413902.3,-1
2026-02-09,490.0,490.0,475.0,475.0,-3.06,20127.0,9597659.5,-1
2026-02-10,470.0,475.0,469.0,474.0,0.85,16584.0,7818327.8,1
2026-02-11,476.0,476.0,464.6,475.0,-0.21,35276.0,16558522.9,-1
2026-02-12,473.0,476.8,470.1,473.9,0.19,15794.0,7458521.1,1
2026-02-16,475.0,475.0,469.0,470.0,-1.05,13159.0,6214599.3,-1
2026-02-17,465.5,471.9,465.5,467.0,0.32,17427.0,8153089.0,1
2026-02-22,461.3,470.0,460.0,465.0,0.8,13208.0,6093313.8,1
2026-02-23,460.2,465.5,460.2,464.0,0.83,36155.0,16815133.8,1
2026-02-24,462.0,469.9,462.0,466.9,1.06,6532.0,3035357.9,1
2026-02-25,466.0,470.0,462.3,466.2,0.04,6323.0,2939423.6,1
2026-02-26,466.0,474.0,466.0,470.0,0.86,8270.0,3883555.7,1
2026-03-01,462.0,472.0,462.0,472.0,2.16,5468.0,2557252.2,1
2026-03-03,466.5,480.0,466.5,480.0,2.89,21260.0,10080928.4,1
2026-03-09,489.6,508.0,489.6,508.0,3.76,2673.0,1334916.9,1
