published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1795.0,1795.0,1760.0,1794.0,-0.06,72.0,127644.1,-1
2025-12-09,1820.0,1820.0,1700.0,1815.0,-0.27,385.0,685923.8,-1
2025-12-10,1833.0,1833.0,1765.1,1765.1,-3.7,93.0,165262.9,-1
2025-12-11,1761.0,1780.0,1752.2,1780.0,1.08,214.0,378435.0,1
2025-12-14,1762.0,1795.0,1760.0,1794.0,1.82,250.0,444734.0,1
2025-12-15,1765.1,1772.0,1758.2,1758.2,-0.39,666.0,1175716.3,-1
2025-12-16,1790.0,1793.0,1758.0,1758.0,-1.79,415.0,733677.0,-1
2025-12-17,1793.0,1793.0,1762.0,1762.0,-1.73,325.0,574915.7,-1
2025-12-18,1797.2,1832.9,1727.0,1750.0,-2.63,741.0,1313711.0,-1
2025-12-21,1780.0,1805.0,1766.1,1799.0,1.07,277.0,491560.1,1
2025-12-22,1800.0,1800.0,1750.0,1765.0,-1.94,442.0,781938.5,-1
2025-12-23,1765.0,1790.0,1758.0,1789.9,1.41,148.0,260933.7,1
2025-12-24,1761.2,1784.9,1761.2,1784.9,1.35,243.0,429072.0,1
2025-12-28,1762.4,1830.0,1762.4,1815.0,2.98,1549.0,2813150.3,1
2025-12-29,1661.0,1704.0,1622.0,1704.0,2.59,1119.0,1856916.1,1
2025-12-31,1729.0,1737.0,1701.3,1720.0,-0.52,415.0,719376.0,-1
2026-01-01,1686.1,1700.0,1686.1,1690.0,0.23,156.0,264049.1,1
2026-01-04,1658.0,1670.5,1657.0,1662.0,0.24,381.0,634748.0,1
2026-01-05,1685.0,1726.0,1680.0,1726.0,2.43,689.0,1184898.4,1
2026-01-06,1726.0,1759.9,1700.0,1700.0,-1.51,455.0,787041.8,-1
2026-01-07,1734.0,1734.0,1675.0,1708.0,-1.5,78.0,132884.0,-1
2026-01-08,1692.0,1692.0,1691.0,1691.0,-0.06,20.0,33830.0,-1
