published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,521.0,579.5,521.0,574.6,10.29,53163.0,29968746.3,1
2025-12-09,577.0,596.0,563.5,590.0,2.25,36245.0,21307397.2,1
2025-12-10,598.0,598.0,568.4,569.2,-4.82,20041.0,11592481.0,-1
2025-12-11,580.5,580.5,550.2,552.0,-4.91,14470.0,8103563.7,-1
2025-12-14,555.0,573.7,546.0,559.0,0.72,12907.0,7238387.8,1
2025-12-15,547.9,585.8,547.9,581.2,6.08,39465.0,22760330.8,1
2025-12-16,592.0,617.0,581.0,603.0,1.86,45247.0,27240435.5,1
2025-12-17,591.0,624.0,591.0,613.1,3.74,50499.0,31049999.9,1
2025-12-18,615.0,638.0,610.0,622.9,1.28,41113.0,25611074.0,1
2025-12-21,611.1,619.8,594.5,605.0,-1.0,40395.0,24472859.1,-1
2025-12-22,592.9,628.0,588.0,604.0,1.87,30945.0,18463784.7,1
2025-12-23,592.1,612.0,580.2,595.0,0.49,19649.0,11518153.2,1
2025-12-24,584.0,619.0,575.4,589.9,1.01,13567.0,7953819.3,1
2025-12-28,589.0,599.9,575.1,593.0,0.68,20662.0,12055012.8,1
2025-12-29,600.0,600.0,575.0,581.0,-3.17,8714.0,5043897.1,-1
2025-12-31,590.9,604.0,555.1,560.0,-5.23,26572.0,15223849.6,-1
2026-01-01,548.8,579.0,548.8,565.2,2.99,15551.0,8819613.5,1
2026-01-04,557.0,574.0,545.0,565.0,1.44,26136.0,14465843.8,1
2026-01-05,560.0,595.0,553.7,589.5,5.27,27507.0,15495339.9,1
