published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1931.0,1959.0,1930.4,1946.0,0.78,662.0,1286316.0,1
2025-12-09,1950.1,1965.0,1920.0,1955.0,0.25,757.0,1471182.0,1
2025-12-10,1921.0,1994.0,1921.0,1947.0,1.35,472.0,919543.4,1
2025-12-11,1947.0,1949.9,1930.0,1949.9,0.15,411.0,795979.9,1
2025-12-14,1950.0,1970.0,1930.0,1940.0,-0.51,431.0,838831.0,-1
2025-12-15,1930.0,1963.0,1930.0,1936.0,0.31,596.0,1157349.0,1
2025-12-16,1940.0,1950.0,1918.5,1918.5,-1.11,774.0,1495903.0,-1
2025-12-17,1955.0,1955.0,1912.0,1912.0,-2.2,965.0,1854434.0,-1
2025-12-18,1950.0,1950.2,1905.0,1925.0,-1.28,473.0,913105.0,-1
2025-12-21,1900.0,1926.9,1900.0,1926.9,1.42,910.0,1735679.1,1
2025-12-22,1901.0,1939.0,1863.0,1890.0,-0.58,968.0,1814542.5,-1
2025-12-23,1860.0,1889.5,1855.0,1874.0,0.75,1053.0,1961928.7,1
2025-12-24,1840.0,1908.0,1836.6,1847.0,0.38,802.0,1481655.8,1
2025-12-28,1810.1,1810.1,1662.3,1662.3,-8.17,4521.0,7525770.3,-1
2025-12-29,1629.1,1629.1,1496.1,1496.1,-8.16,5140.0,7696796.4,-1
2025-12-31,1466.2,1466.2,1346.5,1346.5,-8.16,6175.0,8330501.9,-1
2026-01-01,1319.6,1481.1,1242.1,1481.1,12.24,5412.0,7521348.1,1
2026-01-04,1510.7,1629.2,1490.0,1629.2,7.84,17318.0,27558689.9,1
2026-01-05,1660.0,1789.0,1629.0,1757.0,5.84,10819.0,18681750.4,1
2026-01-06,1791.9,1791.9,1581.3,1700.0,-5.13,4193.0,7110137.1,-1
2026-01-07,1734.0,1734.0,1576.0,1606.0,-7.38,4258.0,6876606.6,-1
2026-01-08,1589.0,1606.0,1550.0,1603.5,0.91,3458.0,5487722.9,1
2026-01-12,1604.0,1667.0,1590.0,1590.0,-0.87,2168.0,3480171.7,-1
2026-01-13,1600.0,1600.0,1530.0,1530.0,-4.38,7408.0,11475718.6,-1
2026-01-14,1560.0,1560.0,1498.6,1505.0,-3.53,2735.0,4147776.5,-1
2026-01-18,1502.0,1654.5,1502.0,1593.0,6.06,3810.0,6031251.2,1
2026-01-20,1624.0,1630.0,1593.0,1603.0,-1.29,2783.0,4473092.7,-1
2026-01-21,1635.0,1665.0,1605.0,1605.0,-1.83,2294.0,3704272.9,-1
2026-01-22,1600.0,1600.0,1570.0,1597.0,-0.19,1904.0,3005902.2,-1
2026-01-25,1624.0,1624.0,1590.0,1594.0,-1.85,3718.0,5940895.4,-1
2026-01-26,1595.0,1600.0,1570.0,1588.0,-0.44,3897.0,6201023.8,-1
2026-01-27,1587.5,1615.0,1587.0,1587.0,-0.03,2750.0,4371440.1,-1
2026-01-28,1565.0,1588.5,1565.0,1585.0,1.28,2223.0,3512327.8,1
2026-01-29,1609.0,1609.0,1561.6,1566.6,-2.64,1642.0,2589936.5,-1
2026-02-01,1560.0,1580.0,1530.0,1540.0,-1.28,2262.0,3490843.0,-1
2026-02-02,1530.0,1569.0,1530.0,1535.0,0.33,1953.0,3011912.9,1
2026-02-03,1532.0,1540.0,1513.0,1517.0,-0.98,1543.0,2354623.0,-1
2026-02-04,1547.3,1577.9,1510.0,1510.0,-2.41,1177.0,1798349.3,-1
