published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,787.0,794.5,778.6,782.5,-0.57,99982.0,78572308.4,-1
2025-12-09,766.9,803.0,766.9,790.0,3.01,80114.0,63231327.0,1
2025-12-10,800.0,800.0,765.0,770.0,-3.75,83345.0,64688884.5,-1
2025-12-11,770.0,777.0,760.3,765.5,-0.58,72592.0,55618447.2,-1
2025-12-14,760.0,780.0,760.0,766.9,0.91,83655.0,64522485.5,1
2025-12-15,761.0,773.2,761.0,765.0,0.53,53892.0,41363816.7,1
2025-12-16,765.0,780.0,765.0,775.0,1.31,61768.0,47880768.5,1
2025-12-17,775.0,789.0,771.6,774.0,-0.13,61887.0,48219584.7,-1
2025-12-18,774.0,778.0,760.0,762.1,-1.54,96768.0,74234887.7,-1
2025-12-21,750.0,765.0,745.1,746.5,-0.47,88188.0,66350076.2,-1
2025-12-22,731.6,746.0,725.5,728.6,-0.41,84838.0,62162453.7,-1
2025-12-23,720.0,744.6,720.0,733.0,1.81,68164.0,49874990.7,1
2025-12-24,720.0,740.0,720.0,733.0,1.81,48568.0,35711394.5,1
2025-12-28,735.0,745.9,735.0,743.9,1.21,64241.0,47552178.1,1
2025-12-29,743.0,763.9,741.1,746.2,0.43,88588.0,66514679.7,1
2025-12-31,748.0,788.0,748.0,774.2,3.5,204920.0,158837876.0,1
2026-01-01,789.6,799.0,770.0,778.3,-1.43,148443.0,116785246.3,-1
2026-01-04,778.3,840.0,766.0,817.0,4.97,277313.0,221237434.5,1
2026-01-05,820.0,898.7,820.0,898.7,9.6,242983.0,209121356.9,1
2026-01-06,916.6,984.0,840.0,850.0,-7.27,239193.0,215553820.6,-1
2026-01-07,840.0,873.0,814.0,820.0,-2.38,138243.0,115570906.2,-1
2026-01-08,825.0,837.0,800.0,833.0,0.97,214428.0,176060188.5,1
2026-01-12,833.0,888.8,827.0,864.0,3.72,216989.0,186764345.3,1
2026-01-13,864.0,880.9,831.0,833.0,-3.59,189613.0,160925235.1,-1
2026-01-14,830.0,847.9,818.0,830.0,0.0,107926.0,89439555.9,0
2026-01-18,829.0,894.0,821.0,892.0,7.6,295254.0,258397494.6,1
2026-01-20,909.8,959.9,895.0,933.0,2.55,286502.0,268443735.4,1
2026-01-21,930.0,945.0,903.1,905.0,-2.69,159689.0,147067596.2,-1
2026-01-22,905.0,988.0,895.0,980.0,8.29,301445.0,282726029.1,1
2026-01-25,982.0,1078.0,982.0,1078.0,9.78,276746.0,290681931.7,1
2026-01-26,1099.5,1180.0,1081.0,1165.0,5.96,357245.0,405545293.7,1
2026-01-27,1165.0,1233.0,1110.0,1115.0,-4.29,317966.0,373137253.0,-1
2026-01-28,1120.0,1169.0,1081.2,1135.0,1.34,251510.0,282582347.3,1
2026-01-29,1113.0,1160.0,1079.0,1080.0,-2.96,211122.0,233239732.1,-1
2026-02-01,1080.0,1088.5,1032.3,1037.0,-3.98,171319.0,180869551.9,-1
2026-02-02,1030.1,1140.7,1030.1,1140.0,10.67,255110.0,284143500.5,1
2026-02-03,1162.0,1190.0,1125.0,1140.0,-1.89,212693.0,246960739.5,-1
2026-02-04,1140.0,1162.0,1107.0,1126.0,-1.23,177439.0,202518265.8,-1
2026-02-05,1104.8,1148.0,1070.0,1107.0,0.2,218898.0,241353277.3,1
2026-02-08,1100.0,1135.0,1055.0,1055.0,-4.09,138461.0,150596640.3,-1
2026-02-09,1060.0,1073.0,989.9,1019.0,-3.87,176729.0,183444103.6,-1
2026-02-10,1020.0,1060.0,1000.0,1000.0,-1.96,100113.0,102339887.6,-1
2026-02-11,1000.0,1030.0,954.0,968.0,-3.2,106925.0,105068463.6,-1
