published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1820.0,1856.4,1790.0,1794.2,-1.42,2368.0,4289299.8,-1
2025-12-09,1792.0,1820.0,1783.9,1807.0,0.84,1850.0,3318775.8,1
2025-12-10,1784.0,1800.0,1780.0,1789.9,0.33,1285.0,2301037.0,1
2025-12-11,1765.0,1822.0,1765.0,1777.0,0.68,1069.0,1905457.0,1
2025-12-14,1777.0,1810.0,1767.0,1767.0,-0.56,2034.0,3615019.0,-1
2025-12-15,1765.0,1795.0,1765.0,1772.0,0.4,1800.0,3192854.5,1
2025-12-16,1760.1,1795.0,1760.1,1761.5,0.08,899.0,1595714.5,1
2025-12-17,1761.0,1795.0,1761.0,1775.0,0.8,2923.0,5192678.3,1
2025-12-18,1760.1,1770.0,1752.1,1758.0,-0.12,790.0,1388801.0,-1
2025-12-21,1750.0,1750.0,1726.0,1731.2,-1.07,1398.0,2434456.6,-1
2025-12-22,1710.2,1717.0,1700.1,1706.3,-0.23,3917.0,6696058.0,-1
2025-12-23,1700.0,1740.0,1700.0,1728.0,1.65,1504.0,2576308.0,1
2025-12-24,1711.0,1730.0,1700.0,1729.0,1.05,2220.0,3813443.0,1
2025-12-28,1705.0,1736.0,1700.0,1712.0,0.41,2185.0,3748591.7,1
2025-12-29,1712.0,1728.0,1705.1,1705.1,-0.4,2185.0,3738445.9,-1
2025-12-31,1739.2,1773.0,1720.0,1722.0,-0.99,2734.0,4755987.6,-1
2026-01-01,1700.2,1727.9,1700.2,1720.0,1.16,1155.0,1982474.0,1
2026-01-04,1720.0,1720.0,1694.0,1708.0,-0.7,2391.0,4067694.0,-1
2026-01-05,1701.0,1751.3,1700.0,1750.0,2.88,2541.0,4409167.0,1
2026-01-06,1750.0,1785.0,1740.0,1740.0,-0.57,1469.0,2578268.1,-1
2026-01-07,1725.0,1774.0,1712.0,1715.0,-0.58,1560.0,2714526.0,-1
2026-01-08,1706.0,1740.0,1706.0,1711.1,0.3,1386.0,2376875.7,1
2026-01-12,1700.2,1725.0,1700.2,1719.9,1.16,2474.0,4248417.8,1
2026-01-13,1715.0,1720.0,1705.5,1706.1,-0.52,2601.0,4452883.9,-1
2026-01-14,1702.0,1729.9,1695.0,1701.0,-0.06,2103.0,3585837.6,-1
2026-01-18,1710.0,1755.0,1710.0,1730.0,1.17,2829.0,4928825.0,1
2026-01-20,1710.0,1780.0,1707.0,1758.0,2.81,4467.0,7854495.5,1
2026-01-21,1730.0,1767.9,1730.0,1757.8,1.61,1665.0,2901632.3,1
2026-01-22,1729.2,1778.0,1727.0,1774.0,2.59,4217.0,7349428.2,1
2026-01-25,1789.9,1935.0,1776.0,1929.9,7.82,8402.0,15542229.7,1
2026-01-26,1948.0,1949.0,1886.5,1919.0,-1.49,9404.0,17979493.9,-1
2026-01-27,1919.0,1948.9,1815.2,1825.5,-4.87,8017.0,15010037.1,-1
2026-01-28,1796.1,1828.0,1780.2,1805.0,0.5,2875.0,5170209.0,1
2026-01-29,1791.1,1826.0,1769.0,1780.0,-0.62,4476.0,7984391.0,-1
2026-02-01,1751.0,1777.0,1751.0,1769.0,1.03,1900.0,3336209.6,1
2026-02-02,1752.1,1822.7,1751.5,1792.0,2.28,4119.0,7354247.6,1
2026-02-03,1760.0,1800.0,1760.0,1780.0,1.14,2840.0,5058250.0,1
2026-02-04,1782.1,1790.0,1780.0,1781.0,-0.06,2353.0,4201788.6,-1
2026-02-05,1770.0,1840.0,1770.0,1833.0,3.56,4406.0,7968010.0,1
