published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1385.0,1440.2,1385.0,1439.0,3.9,1790.0,2547731.6,1
2025-12-09,1445.0,1445.0,1410.0,1415.0,-2.08,2062.0,2925596.5,-1
2025-12-10,1400.0,1417.0,1400.0,1402.0,0.14,1401.0,1971595.0,1
2025-12-11,1402.2,1425.0,1396.0,1396.0,-0.44,5863.0,8220487.9,-1
2025-12-14,1396.0,1421.8,1381.0,1398.0,0.14,3834.0,5345354.1,1
2025-12-15,1385.0,1406.0,1382.0,1386.0,0.07,1804.0,2507167.0,1
2025-12-16,1378.6,1400.0,1378.6,1396.0,1.26,2552.0,3538595.2,1
2025-12-17,1396.0,1419.3,1396.0,1396.2,0.01,1762.0,2466674.9,1
2025-12-18,1386.1,1428.0,1386.1,1399.9,1.0,5781.0,8135230.0,1
2025-12-21,1383.0,1390.0,1347.5,1372.0,-0.8,12904.0,17643126.8,-1
2025-12-22,1398.0,1398.0,1338.9,1371.0,-1.93,3010.0,4076484.5,-1
2025-12-23,1370.0,1370.0,1346.1,1350.0,-1.46,1430.0,1938117.5,-1
2025-12-24,1365.0,1377.0,1329.0,1345.0,-1.47,2692.0,3606795.2,-1
2025-12-28,1371.9,1371.9,1338.0,1354.0,-1.3,2253.0,3055150.0,-1
2025-12-29,1378.0,1378.0,1335.1,1350.0,-2.03,1465.0,1966652.0,-1
2025-12-31,1340.0,1360.0,1337.0,1339.9,-0.01,3541.0,4775392.4,-1
2026-01-01,1300.0,1310.0,1270.0,1272.0,-2.15,3891.0,4981717.2,-1
2026-01-04,1270.0,1295.0,1263.0,1280.0,0.79,632.0,809984.4,1
2026-01-05,1275.0,1290.0,1269.0,1290.0,1.18,1671.0,2135581.0,1
2026-01-06,1290.0,1300.0,1273.0,1300.0,0.78,1633.0,2102288.1,1
2026-01-07,1300.0,1300.0,1280.3,1298.0,-0.15,1172.0,1509623.7,-1
2026-01-08,1272.1,1296.0,1264.1,1278.5,0.5,1780.0,2273110.8,1
2026-01-12,1263.0,1288.0,1263.0,1271.0,0.63,2578.0,3301993.0,1
2026-01-13,1265.1,1280.0,1262.1,1274.0,0.7,2071.0,2630317.9,1
2026-01-14,1275.0,1293.9,1268.0,1290.0,1.18,1940.0,2476518.0,1
2026-01-18,1315.7,1315.8,1295.0,1308.0,-0.59,3841.0,5017836.4,-1
2026-01-20,1329.0,1356.6,1287.1,1326.0,-0.23,2976.0,3938463.9,-1
2026-01-21,1326.0,1331.5,1306.1,1315.0,-0.83,4657.0,6124448.2,-1
2026-01-22,1302.0,1326.0,1300.0,1326.0,1.84,1537.0,2008326.0,1
2026-01-25,1330.0,1350.0,1315.1,1331.2,0.09,4123.0,5503760.8,1
2026-01-26,1336.3,1406.0,1336.3,1370.0,2.52,8304.0,11383780.0,1
2026-01-27,1355.0,1382.0,1318.0,1349.0,-0.44,4328.0,5840344.0,-1
2026-01-28,1324.0,1340.0,1305.1,1321.0,-0.23,1362.0,1802430.9,-1
2026-01-29,1306.0,1335.0,1306.0,1330.0,1.84,2426.0,3201490.5,1
2026-02-01,1310.0,1367.0,1237.0,1361.7,3.95,10080.0,13210735.1,1
2026-02-02,1362.0,1362.0,1306.0,1351.5,-0.77,1428.0,1897420.0,-1
2026-02-03,1324.6,1325.0,1312.1,1324.0,-0.05,817.0,1078869.4,-1
2026-02-04,1330.0,1370.0,1304.0,1334.0,0.3,1315.0,1754057.8,1
2026-02-05,1359.0,1359.0,1311.1,1337.8,-1.56,7127.0,9548564.2,-1
2026-02-08,1335.0,1335.0,1300.0,1320.0,-1.12,3304.0,4333736.4,-1
2026-02-09,1296.3,1330.0,1275.1,1319.0,1.75,5892.0,7588610.3,1
2026-02-10,1340.0,1345.0,1297.7,1320.0,-1.49,1204.0,1572703.0,-1
2026-02-11,1340.0,1340.0,1294.1,1318.0,-1.64,1164.0,1518210.4,-1
2026-02-12,1344.0,1344.0,1278.0,1315.0,-2.16,6369.0,8425387.2,-1
2026-02-16,1320.0,1350.0,1285.0,1288.6,-2.38,1902.0,2476520.1,-1
2026-02-17,1288.7,1300.0,1275.1,1280.0,-0.68,717.0,921305.1,-1
2026-02-22,1271.0,1280.0,1264.2,1280.0,0.71,1529.0,1939512.0,1
2026-02-23,1264.1,1300.0,1262.4,1288.2,1.91,1226.0,1558725.5,1
2026-02-24,1298.0,1300.0,1266.0,1293.0,-0.39,3382.0,4371097.8,-1
2026-02-25,1318.8,1345.0,1268.0,1320.0,0.09,1855.0,2427821.1,1
2026-02-26,1293.6,1335.0,1281.3,1315.0,1.65,1012.0,1322253.4,1
2026-03-01,1300.0,1333.0,1288.8,1314.9,1.15,755.0,982839.0,1
2026-03-03,1289.0,1325.0,1289.0,1316.9,2.16,2919.0,3783946.5,1
2026-03-09,1343.2,1343.2,1343.2,1343.2,0.0,10.0,13432.0,0
2026-03-10,1369.0,1369.0,1304.1,1330.0,-2.85,5082.0,6768672.1,-1
2026-03-11,1310.0,1336.2,1302.0,1302.0,-0.61,1323.0,1740392.4,-1
2026-03-12,1290.1,1340.0,1290.1,1330.0,3.09,1823.0,2419392.3,1
2026-03-15,1305.0,1384.8,1305.0,1336.6,2.42,1547.0,2070683.2,1
2026-03-16,1311.0,1330.0,1295.0,1305.0,-0.46,1801.0,2358538.4,-1
2026-03-17,1293.1,1390.0,1293.1,1389.0,7.42,2389.0,3139614.2,1
2026-03-19,1361.3,1361.3,1335.0,1347.8,-0.99,4444.0,5983997.8,-1
2026-03-22,1340.0,1391.0,1325.0,1386.0,3.43,9945.0,13651662.0,1
2026-03-23,1399.0,1413.7,1365.2,1389.0,-0.71,9724.0,13518154.4,-1
2026-03-24,1375.0,1479.0,1370.1,1479.0,7.56,6229.0,8647900.4,1
2026-03-25,1449.5,1449.5,1385.0,1390.0,-4.1,5885.0,8227780.2,-1
2026-03-26,1362.2,1392.0,1362.2,1380.0,1.31,1813.0,2504810.2,1
2026-03-29,1358.0,1385.0,1353.0,1355.0,-0.22,3492.0,4768268.2,-1
2026-03-30,1355.0,1374.0,1320.0,1330.0,-1.85,3496.0,4687684.1,-1
2026-03-31,1330.0,1349.9,1305.5,1349.9,1.5,1227.0,1628501.7,1
2026-04-01,1323.0,1336.2,1280.0,1285.1,-2.86,2483.0,3245883.3,-1
2026-04-02,1299.0,1323.9,1250.0,1285.0,-1.08,2924.0,3750044.5,-1
2026-04-05,1260.1,1286.2,1240.0,1241.0,-1.52,1455.0,1831333.1,-1
2026-04-06,1240.0,1285.0,1238.3,1267.0,2.18,2828.0,3573186.4,1
2026-04-07,1292.3,1392.0,1251.1,1289.0,-0.26,1661.0,2119968.6,-1
2026-04-08,1314.7,1324.0,1288.7,1314.0,-0.05,862.0,1122432.8,-1
2026-04-09,1287.8,1326.0,1236.9,1319.0,2.42,787.0,1027550.3,1
2026-04-10,1293.0,1345.0,1241.9,1317.0,1.86,640.0,836990.6,1
2026-04-13,1290.7,1320.8,1290.7,1305.2,1.12,1212.0,1581507.2,1
2026-04-15,1314.9,1327.0,1300.0,1324.0,0.69,2203.0,2884259.8,1
2026-04-16,1297.6,1309.9,1275.0,1309.9,0.95,464.0,603440.8,1
2026-04-17,1285.0,1323.0,1284.0,1310.0,1.95,727.0,941149.0,1
2026-04-20,1244.5,1400.5,1244.5,1295.0,4.06,1714.0,2214036.9,1
2026-04-21,1295.0,1295.0,1267.2,1291.0,-0.31,929.0,1183304.9,-1
2026-04-22,1226.5,1292.0,1226.5,1292.0,5.34,2220.0,2792126.5,1
2026-04-23,1254.0,1298.0,1220.0,1260.0,0.48,3089.0,3810924.3,1
2026-04-24,1237.0,1275.0,1237.0,1269.0,2.59,941.0,1172471.8,1
2026-04-27,1269.0,1411.1,1089.9,1298.0,2.29,3145.0,3969310.1,1
2026-04-28,1298.0,1336.0,1121.1,1289.0,-0.69,2172.0,2691532.3,-1
2026-04-29,1289.0,1319.0,1176.6,1260.0,-2.25,1374.0,1722646.7,-1
2026-04-30,1260.0,1289.9,1230.0,1241.1,-1.5,613.0,776114.3,-1
2026-05-04,1265.0,1274.9,1228.0,1253.0,-0.95,3369.0,4237646.9,-1
2026-05-05,1221.0,1269.9,1221.0,1240.0,1.56,1419.0,1789149.0,1
2026-05-06,1235.0,1254.0,1230.0,1254.0,1.54,292.0,359921.0,1
