published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,955.1,975.0,955.1,964.0,0.93,660.0,637977.0,1
2025-12-09,961.0,971.0,961.0,970.0,0.94,1670.0,1615781.7,1
2025-12-10,957.0,985.0,951.0,969.9,1.35,475.0,459547.0,1
2025-12-11,960.0,975.0,956.0,975.0,1.56,1683.0,1613686.0,1
2025-12-14,956.2,969.0,956.2,967.9,1.22,1538.0,1481579.0,1
2025-12-15,948.6,975.0,948.6,969.0,2.15,967.0,934509.3,1
2025-12-16,949.7,975.0,949.7,958.0,0.87,1234.0,1186788.8,1
2025-12-17,939.0,977.1,939.0,955.0,1.7,1395.0,1336108.4,1
2025-12-18,947.0,965.0,940.0,954.0,0.74,2942.0,2788937.5,1
2025-12-21,940.5,960.0,940.0,945.0,0.48,1912.0,1819093.7,1
2025-12-22,930.0,940.0,929.0,929.0,-0.11,2429.0,2264793.0,-1
2025-12-23,916.4,932.0,916.4,928.1,1.28,489.0,452656.0,1
2025-12-24,935.0,940.0,925.0,925.2,-1.05,1500.0,1396465.0,-1
2025-12-28,910.0,943.7,910.0,940.0,3.3,1519.0,1418002.3,1
2025-12-29,930.0,935.0,925.0,925.0,-0.54,1056.0,979779.3,-1
2025-12-31,925.0,938.0,925.0,938.0,1.41,2019.0,1870725.1,1
2026-01-01,922.1,935.0,906.0,920.6,-0.16,3674.0,3362509.8,-1
2026-01-04,906.0,929.0,906.0,928.8,2.52,1197.0,1100981.7,1
2026-01-05,917.1,941.0,917.1,941.0,2.61,3154.0,2927646.3,1
2026-01-06,922.2,980.0,922.2,957.0,3.77,2158.0,2047524.5,1
2026-01-07,940.1,958.0,940.0,945.0,0.52,3236.0,3056762.0,1
2026-01-08,950.0,950.0,932.1,946.0,-0.42,3803.0,3592791.3,-1
2026-01-12,930.0,950.0,928.0,949.5,2.1,3439.0,3232488.6,1
2026-01-13,931.0,950.0,925.0,946.0,1.61,3301.0,3078087.5,1
2026-01-14,928.0,935.5,925.0,934.0,0.65,2536.0,2356105.2,1
2026-01-18,952.6,964.0,940.0,955.0,0.25,3132.0,2980769.1,1
2026-01-20,965.0,970.0,956.0,958.7,-0.65,4178.0,4015570.3,-1
2026-01-21,950.0,969.0,925.0,959.0,0.95,1795.0,1700112.0,1
2026-01-22,942.0,965.0,942.0,963.0,2.23,5793.0,5503099.8,1
2026-01-25,963.0,1041.0,944.0,973.0,1.04,8737.0,8580945.8,1
2026-01-26,990.0,1015.0,960.4,990.0,0.0,12601.0,12349937.6,0
