published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,460.0,460.9,452.1,460.0,0.0,28740.0,13090241.9,0
2025-12-09,460.0,474.9,460.0,474.7,3.2,55140.0,25874713.8,1
2025-12-10,475.0,479.4,469.0,471.0,-0.84,21086.0,9973599.9,-1
2025-12-11,466.1,475.0,466.1,472.0,1.27,13618.0,6416987.4,1
2025-12-14,465.0,465.0,456.0,457.1,-1.7,40316.0,18507477.1,-1
2025-12-15,455.1,457.8,452.0,454.0,-0.24,23129.0,10489477.3,-1
2025-12-16,454.0,462.0,451.3,458.3,0.95,31285.0,14333677.4,1
2025-12-17,458.3,464.8,455.3,461.0,0.59,21017.0,9706623.1,1
2025-12-18,461.0,463.0,455.8,456.9,-0.89,16429.0,7508127.6,-1
2025-12-21,455.0,456.9,448.4,449.3,-1.25,24798.0,11201776.7,-1
2025-12-22,444.1,452.0,443.1,443.5,-0.14,23793.0,10619918.0,-1
2025-12-23,444.1,446.0,443.0,445.0,0.2,16883.0,7496398.4,1
2025-12-24,446.0,450.0,441.1,442.0,-0.9,21149.0,9410462.9,-1
2025-12-28,440.0,452.7,435.0,447.0,1.59,25806.0,11395907.0,1
2025-12-29,445.0,453.0,440.5,440.9,-0.92,20745.0,9234490.7,-1
2025-12-31,440.9,445.0,440.0,441.2,0.07,17192.0,7601639.9,1
2026-01-01,440.0,443.0,440.0,440.0,0.0,13774.0,6074296.5,0
2026-01-04,438.0,439.5,436.5,436.6,-0.32,12888.0,5634045.7,-1
2026-01-05,436.0,440.0,435.6,438.3,0.53,11990.0,5252949.7,1
2026-01-06,445.0,445.0,438.3,441.3,-0.83,25297.0,11160859.3,-1
2026-01-07,435.2,443.0,435.2,440.2,1.15,7889.0,3476459.7,1
2026-01-08,441.0,443.8,437.2,442.0,0.23,20254.0,8898234.9,1
2026-01-12,440.0,444.0,440.0,441.0,0.23,10113.0,4462520.2,1
2026-01-13,440.0,443.0,439.3,439.5,-0.11,19811.0,8718595.9,-1
2026-01-14,438.2,449.8,438.2,445.1,1.57,18724.0,8321890.4,1
2026-01-18,440.5,451.5,440.5,451.5,2.5,29163.0,12996585.3,1
2026-01-20,453.0,463.0,453.0,457.2,0.93,39315.0,18006558.6,1
2026-01-21,464.6,464.6,451.0,453.0,-2.5,26284.0,11922500.8,-1
