published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1097.6,1097.6,1090.1,1090.1,-0.68,35.0,38153.5,-1
2025-12-10,1090.1,1090.1,1090.1,1090.1,0.0,25.0,27252.5,0
2025-12-16,1095.5,1111.0,1095.5,1111.0,1.41,35.0,38497.5,1
2025-12-18,1101.0,1101.0,1101.0,1111.1,0.92,30.0,33080.5,1
2025-12-21,1102.0,1110.0,1102.0,1110.0,0.73,105.0,115950.0,1
2025-12-31,1123.0,1132.0,1121.0,1132.0,0.8,115.0,129125.0,1
2026-01-05,1111.0,1111.0,1111.0,1111.0,0.0,25.0,27775.0,0
2026-01-12,1111.0,1111.0,1111.0,1108.0,-0.27,5.0,5540.0,-1
2026-01-13,1100.0,1100.0,1100.0,1100.0,0.0,10.0,11000.0,0
2026-01-18,1090.0,1090.0,1090.0,1090.0,0.0,50.0,54500.0,0
2026-01-20,1090.0,1090.0,1090.0,1076.1,-1.28,5.0,5380.5,-1
2026-01-22,1097.0,1097.0,1097.0,1097.0,0.0,30.0,32910.0,0
2026-01-27,1081.0,1081.0,1081.0,1081.0,0.0,30.0,32430.0,0
2026-01-28,1081.1,1081.1,1081.0,1081.0,-0.01,50.0,54052.5,-1
2026-02-02,1102.6,1102.6,1102.6,1102.6,0.0,25.0,27565.0,0
2026-02-04,1096.0,1096.0,1096.0,1096.0,0.0,40.0,43840.0,0
2026-02-10,1090.0,1090.0,1090.0,1090.0,0.0,25.0,27250.0,0
2026-02-17,1111.0,1120.0,1111.0,1120.0,0.81,155.0,172430.0,1
2026-02-25,1130.0,1130.0,1130.0,1130.0,0.0,25.0,28250.0,0
2026-03-01,1108.0,1108.0,1108.0,1108.0,0.0,30.0,33240.0,0
2026-03-16,1092.1,1092.1,1092.0,1092.0,-0.01,100.0,109203.0,-1
2026-03-22,1071.1,1117.0,1071.1,1117.0,4.29,370.0,412114.8,1
2026-03-23,1117.0,1117.0,1117.0,1095.0,-1.97,5.0,5475.0,-1
2026-03-25,1095.0,1095.0,1095.0,1095.0,0.0,25.0,27375.0,0
2026-03-26,1074.0,1095.0,1074.0,1075.0,0.09,100.0,108275.0,1
2026-03-30,1094.0,1095.0,1094.0,1095.0,0.09,350.0,383200.0,1
2026-04-07,1075.1,1075.1,1075.1,1075.1,0.0,25.0,26877.5,0
2026-04-08,1096.6,1096.6,1096.6,1096.6,0.0,10.0,10966.0,0
2026-04-09,1100.0,1100.0,1100.0,1100.0,0.0,25.0,27500.0,0
2026-04-13,1078.2,1078.2,1078.0,1078.0,-0.02,100.0,107807.5,-1
2026-04-16,1068.0,1068.0,1068.0,1068.0,0.0,25.0,26700.0,0
2026-04-17,1081.0,1081.0,1081.0,1081.0,0.0,25.0,27025.0,0
2026-04-21,1091.0,1091.0,1091.0,1091.0,0.0,25.0,27275.0,0
2026-04-23,1100.0,1100.0,1100.0,1100.0,0.0,30.0,33000.0,0
2026-04-24,1100.0,1090.1,1090.1,1090.1,-0.9,25.0,27252.5,-1
2026-04-27,1090.1,1082.0,1082.0,1082.0,-0.74,25.0,27050.0,-1
2026-04-28,1082.0,1085.0,1085.0,1085.0,0.28,25.0,27125.0,1
2026-04-29,1085.0,1085.0,1085.0,1085.0,0.0,25.0,27125.0,0
