published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,426.0,434.0,421.1,429.4,0.8,6183.0,2637130.3,1
2025-12-09,436.8,436.8,421.0,430.8,-1.37,6427.0,2756021.0,-1
2025-12-10,425.0,435.0,425.0,425.0,0.0,4427.0,1896956.4,0
2025-12-11,422.0,431.0,422.0,429.5,1.78,5767.0,2466719.9,1
2025-12-14,428.0,429.5,416.0,420.0,-1.87,7028.0,2959072.5,-1
2025-12-15,413.1,422.0,411.7,412.0,-0.27,10218.0,4230903.6,-1
2025-12-16,419.8,419.8,412.0,416.0,-0.91,5991.0,2484779.1,-1
2025-12-17,424.0,424.0,412.6,414.9,-2.15,7225.0,2997893.0,-1
2025-12-18,410.6,414.9,410.0,410.0,-0.15,11722.0,4819132.5,-1
2025-12-21,407.0,410.0,395.0,398.4,-2.11,9793.0,3921921.8,-1
2025-12-22,405.0,405.0,388.1,397.0,-1.98,13612.0,5347280.7,-1
2025-12-23,392.1,403.0,385.1,400.0,2.01,8677.0,3422497.0,1
2025-12-24,392.9,404.9,392.9,399.0,1.55,8744.0,3478404.6,1
2025-12-28,406.0,406.0,395.7,400.0,-1.48,4050.0,1615887.3,-1
2025-12-29,395.2,403.1,387.2,395.0,-0.05,15450.0,6090946.9,-1
2025-12-31,395.0,395.0,388.2,389.0,-1.52,27361.0,10679344.3,-1
