published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,426.0,434.0,421.1,429.4,0.8,6183.0,2637130.3,1
2025-12-09,436.8,436.8,421.0,430.8,-1.37,6427.0,2756021.0,-1
2025-12-10,425.0,435.0,425.0,425.0,0.0,4427.0,1896956.4,0
2025-12-11,422.0,431.0,422.0,429.5,1.78,5767.0,2466719.9,1
2025-12-14,428.0,429.5,416.0,420.0,-1.87,7028.0,2959072.5,-1
2025-12-15,413.1,422.0,411.7,412.0,-0.27,10218.0,4230903.6,-1
2025-12-16,419.8,419.8,412.0,416.0,-0.91,5991.0,2484779.1,-1
2025-12-17,424.0,424.0,412.6,414.9,-2.15,7225.0,2997893.0,-1
2025-12-18,410.6,414.9,410.0,410.0,-0.15,11722.0,4819132.5,-1
2025-12-21,407.0,410.0,395.0,398.4,-2.11,9793.0,3921921.8,-1
2025-12-22,405.0,405.0,388.1,397.0,-1.98,13612.0,5347280.7,-1
2025-12-23,392.1,403.0,385.1,400.0,2.01,8677.0,3422497.0,1
2025-12-24,392.9,404.9,392.9,399.0,1.55,8744.0,3478404.6,1
2025-12-28,406.0,406.0,395.7,400.0,-1.48,4050.0,1615887.3,-1
2025-12-29,395.2,403.1,387.2,395.0,-0.05,15450.0,6090946.9,-1
2025-12-31,395.0,395.0,388.2,389.0,-1.52,27361.0,10679344.3,-1
2026-01-01,396.7,404.0,388.2,391.5,-1.31,5958.0,2324779.8,-1
2026-01-04,386.1,390.1,386.1,388.0,0.49,7774.0,3016045.9,1
2026-01-05,383.7,394.0,381.0,394.0,2.68,11708.0,4540974.0,1
2026-01-06,399.0,399.0,386.6,393.0,-1.5,5940.0,2313132.5,-1
2026-01-07,394.9,394.9,385.4,388.9,-1.52,9118.0,3528518.0,-1
2026-01-08,388.9,391.8,382.0,387.9,-0.26,9980.0,3845321.2,-1
2026-01-12,385.0,389.0,381.5,383.0,-0.52,13718.0,5264340.3,-1
2026-01-13,377.6,384.7,377.6,383.9,1.67,10267.0,3917660.8,1
2026-01-14,383.0,384.0,377.7,378.4,-1.2,8974.0,3409849.7,-1
