published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,5300.0,5399.0,5300.0,5390.0,1.7,862.0,4628375.0,1
2025-12-09,5441.0,5450.0,5301.0,5340.1,-1.85,569.0,3045552.5,-1
2025-12-10,5340.1,5410.0,5330.0,5375.0,0.65,1747.0,9423195.5,1
2025-12-11,5440.0,5440.0,5332.0,5415.0,-0.46,1966.0,10594166.0,-1
2025-12-14,5415.0,5415.0,5331.0,5331.0,-1.55,2346.0,12609889.9,-1
2025-12-15,5379.0,5379.0,5323.0,5323.0,-1.04,1284.0,6891192.0,-1
2025-12-16,5390.0,5400.0,5330.0,5400.0,0.19,715.0,3852771.0,1
2025-12-17,5390.0,5390.0,5350.0,5389.0,-0.02,236.0,1266060.0,-1
2025-12-18,5330.0,5400.0,5300.0,5400.0,1.31,1682.0,9041595.0,1
2025-12-21,5312.1,5399.0,5312.1,5399.0,1.64,1445.0,7778521.0,1
2025-12-22,5390.0,5408.0,5351.0,5404.0,0.26,1516.0,8173406.1,1
2025-12-23,5404.0,5430.0,5363.0,5400.0,-0.07,1919.0,10342328.8,-1
2025-12-24,5500.0,5500.0,5370.0,5405.0,-1.73,1464.0,7912474.0,-1
2025-12-28,5485.0,5485.0,5430.0,5480.0,-0.09,2661.0,14530769.5,-1
2025-12-29,5500.0,5543.0,5442.2,5514.0,0.25,3740.0,20547144.0,1
2025-12-31,5555.0,5584.0,5480.0,5525.0,-0.54,1555.0,8562960.0,-1
2026-01-01,5630.0,5630.0,5500.0,5525.0,-1.87,1595.0,8802308.8,-1
2026-01-04,5535.0,5535.0,5425.0,5500.0,-0.63,2287.0,12557516.7,-1
2026-01-05,5460.0,5535.0,5460.0,5535.0,1.37,1221.0,6720282.5,1
2026-01-06,5625.0,5625.0,5426.0,5520.0,-1.87,1745.0,9620464.6,-1
2026-01-07,5548.0,5550.0,5465.2,5498.0,-0.9,725.0,3985741.6,-1
2026-01-08,5589.0,5589.0,5480.0,5539.0,-0.89,1269.0,7017384.0,-1
2026-01-12,5579.0,5580.0,5525.0,5580.0,0.02,3259.0,18072005.9,1
2026-01-13,5550.0,5599.0,5540.0,5599.0,0.88,1362.0,7588827.0,1
2026-01-14,5629.0,5629.0,5550.0,5595.9,-0.59,1813.0,10096020.7,-1
2026-01-18,5581.0,5609.0,5580.0,5606.0,0.45,972.0,5441249.0,1
2026-01-20,5655.0,5655.0,5580.0,5610.0,-0.8,1462.0,8189614.0,-1
2026-01-21,5678.0,5678.0,5575.0,5618.0,-1.06,1433.0,8006885.0,-1
2026-01-22,5618.0,5640.0,5580.0,5580.0,-0.68,2564.0,14352001.0,-1
2026-01-25,5580.1,5680.0,5580.1,5610.0,0.54,2753.0,15475115.2,1
2026-01-26,5699.0,5699.0,5586.0,5600.0,-1.74,1952.0,10975835.1,-1
2026-01-27,5600.0,5600.0,5550.0,5557.0,-0.77,2561.0,14279598.7,-1
2026-01-28,5598.0,5712.0,5525.0,5673.0,1.34,5210.0,29386983.3,1
2026-01-29,5750.0,5750.0,5600.0,5650.0,-1.74,2343.0,13282244.0,-1
2026-02-01,5600.0,5650.0,5600.0,5640.0,0.71,1592.0,8966303.0,1
2026-02-02,5577.0,5640.0,5577.0,5605.0,0.5,635.0,3570813.9,1
2026-02-03,5571.1,5640.0,5571.1,5595.0,0.43,1031.0,5772077.8,1
2026-02-04,5595.0,5670.0,5551.0,5551.0,-0.79,1186.0,6628455.0,-1
2026-02-05,5575.0,5575.0,5520.1,5527.0,-0.86,2875.0,15956425.0,-1
2026-02-08,5527.0,5551.0,5462.0,5476.0,-0.92,4692.0,25904718.5,-1
2026-02-09,5480.0,5520.0,5415.0,5435.0,-0.82,539.0,2949898.1,-1
2026-02-10,5532.0,5532.0,5441.0,5441.0,-1.64,915.0,5007521.0,-1
2026-02-11,5470.0,5535.0,5445.0,5500.0,0.55,976.0,5366050.0,1
2026-02-12,5500.0,5575.0,5500.0,5550.0,0.91,2897.0,16111993.5,1
2026-02-16,5620.0,5620.0,5540.0,5565.0,-0.98,1302.0,7262414.5,-1
2026-02-17,5531.0,5560.0,5510.0,5549.0,0.33,1397.0,7723559.0,1
2026-02-22,5499.0,5594.0,5465.2,5594.0,1.73,985.0,5437497.0,1
2026-02-23,5555.0,5700.0,5475.0,5575.0,0.36,5730.0,31957299.0,1
2026-02-24,5589.0,5642.0,5575.0,5640.0,0.91,2757.0,15459215.0,1
2026-02-25,5689.0,6000.0,5650.0,5819.0,2.29,9792.0,56812844.9,1
2026-02-26,5825.0,5954.0,5763.0,5954.0,2.21,6185.0,36394388.1,1
2026-03-01,5835.0,6089.8,5835.0,6070.0,4.03,10656.0,64036307.5,1
2026-03-03,6098.9,6134.8,6003.1,6090.0,-0.15,2323.0,14102420.6,-1
2026-03-09,6211.8,6335.9,6171.0,6294.0,1.32,138.0,864022.4,1
2026-03-10,6294.0,6295.0,6060.0,6204.9,-1.42,5582.0,34532974.4,-1
2026-03-11,6229.9,6229.9,6011.0,6087.2,-2.29,2651.0,16220417.8,-1
2026-03-12,6051.0,6150.4,6051.0,6057.0,0.1,3247.0,19762929.6,1
2026-03-15,6100.0,6140.0,6051.0,6140.0,0.66,1829.0,11154241.1,1
2026-03-16,6100.0,6150.0,6052.1,6102.0,0.03,864.0,5285090.4,1
2026-03-17,6145.9,6165.9,6070.3,6150.0,0.07,1455.0,8925524.8,1
2026-03-19,6110.0,6150.0,6055.1,6061.2,-0.8,4738.0,28841367.7,-1
2026-03-22,6050.2,6150.0,6050.1,6072.0,0.36,3731.0,22737687.0,1
2026-03-23,6003.0,6135.0,6001.0,6026.0,0.38,3612.0,21838293.0,1
2026-03-24,6050.0,6100.0,6027.0,6100.0,0.83,3670.0,22216443.0,1
