published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,9.99,10.01,9.99,10.01,0.2,6365.0,63613.65,1
2025-12-09,10.03,10.04,9.9,10.04,0.1,42132.0,420139.03,1
2025-12-10,9.9,10.24,9.9,10.22,3.23,52025.0,528832.7,1
2025-12-11,10.22,10.22,10.22,10.22,0.0,1500.0,15330.0,0
2025-12-14,10.03,10.79,10.03,10.7,6.68,240603.0,2572857.47,1
2025-12-15,10.74,10.74,10.74,10.74,0.0,100.0,1074.0,0
2025-12-16,10.6,10.6,10.6,10.6,0.0,741.0,7854.6,0
2025-12-17,10.39,10.39,10.39,10.39,0.0,1000.0,10390.0,0
2025-12-18,10.35,10.35,10.25,10.25,-0.97,14380.0,147954.0,-1
2025-12-21,10.27,10.3,10.23,10.23,-0.39,19100.0,195710.0,-1
2025-12-22,10.27,10.27,10.27,10.27,0.0,1200.0,12324.0,0
2025-12-23,10.25,10.25,10.25,10.25,0.0,5000.0,51250.0,0
2025-12-24,10.3,10.3,10.25,10.25,-0.49,3652.0,37474.8,-1
2025-12-28,10.21,10.21,10.21,10.21,0.0,2538.0,25912.98,0
2025-12-29,10.25,10.25,10.25,10.25,0.0,100.0,1025.0,0
2025-12-31,10.45,10.45,10.21,10.21,-2.3,14822.0,152440.62,-1
2026-01-01,10.39,10.39,10.3,10.3,-0.87,1888.0,19491.4,-1
2026-01-04,10.25,10.25,10.21,10.21,-0.39,2000.0,20428.0,-1
2026-01-05,10.39,10.39,10.39,10.39,0.0,500.0,5195.0,0
2026-01-06,10.35,10.35,10.24,10.25,-0.97,1510.0,15546.5,-1
2026-01-07,10.41,10.41,10.24,10.24,-1.63,4135.0,42852.4,-1
2026-01-08,10.21,10.39,10.21,10.23,0.2,7550.0,77622.5,1
2026-01-12,10.3,10.3,10.25,10.25,-0.49,5700.0,58610.0,-1
2026-01-13,10.25,10.25,10.25,10.25,0.0,100.0,1025.0,0
2026-01-18,10.25,10.39,10.25,10.39,1.37,3620.0,37574.8,1
2026-01-20,10.39,10.39,10.23,10.39,0.0,3103.0,32149.17,0
2026-01-21,10.38,10.38,10.25,10.25,-1.25,1572.0,16252.36,-1
2026-01-22,10.25,10.41,10.25,10.41,1.56,18196.0,188319.36,1
2026-01-25,10.21,10.21,10.15,10.15,-0.59,4600.0,46856.0,-1
2026-01-26,10.2,10.2,10.18,10.18,-0.2,23300.0,237642.0,-1
2026-01-27,10.21,10.21,10.0,10.19,-0.2,191985.0,1940875.15,-1
2026-01-28,10.1,10.19,10.1,10.19,0.89,3700.0,37415.0,1
2026-01-29,10.01,10.1,10.0,10.1,0.9,19490.0,194980.0,1
2026-02-01,10.03,10.19,10.03,10.19,1.6,7662.0,77555.78,1
2026-02-02,10.0,10.19,10.0,10.19,1.9,4100.0,41057.0,1
2026-02-03,10.01,10.01,10.01,10.01,0.0,5000.0,50050.0,0
2026-02-04,10.19,10.21,10.19,10.21,0.2,23253.0,237050.07,1
2026-02-05,10.18,10.18,10.18,10.18,0.0,500.0,5090.0,0
2026-02-09,10.38,10.38,10.38,10.38,0.0,1000.0,10380.0,0
2026-02-10,10.18,10.21,10.18,10.21,0.29,13964.0,142362.44,1
2026-02-11,10.01,10.21,10.01,10.21,2.0,2070.0,21003.7,1
2026-02-12,10.02,10.23,10.02,10.23,2.1,6000.0,60294.0,1
2026-02-16,10.03,10.27,10.03,10.27,2.39,19280.0,197173.6,1
2026-02-17,10.24,10.26,10.24,10.26,0.2,22138.0,226945.88,1
2026-02-23,10.26,10.29,10.07,10.07,-1.85,63450.0,641986.5,-1
2026-02-24,10.26,10.28,10.26,10.27,0.1,26955.0,276827.85,1
2026-02-25,10.1,10.26,10.1,10.26,1.58,600.0,6140.0,1
2026-02-26,10.06,10.26,10.06,10.26,1.99,2500.0,25590.0,1
2026-03-01,10.06,10.06,10.06,10.06,0.0,100.0,1006.0,0
2026-03-10,10.1,10.26,10.1,10.26,1.58,7924.0,80916.24,1
2026-03-11,10.4,10.5,10.29,10.5,0.96,15100.0,156533.64,1
2026-03-12,10.71,10.71,10.5,10.5,-1.96,10600.0,113221.0,-1
2026-03-15,10.6,10.71,10.6,10.71,1.04,2200.0,23452.0,1
2026-03-17,10.6,10.6,10.4,10.4,-1.89,300.0,3140.0,-1
2026-03-19,10.4,10.6,10.3,10.6,1.92,13299.0,139637.5,1
2026-03-22,10.8,10.8,10.79,10.79,-0.09,2200.0,23758.0,-1
