published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,755.0,784.0,749.4,750.0,-0.66,8874.0,6688133.6,-1
2025-12-09,760.0,764.0,745.1,745.1,-1.96,2476.0,1865286.8,-1
2025-12-10,735.7,752.0,735.0,744.5,1.2,4260.0,3166432.5,1
2025-12-11,736.0,755.0,736.0,745.2,1.25,884.0,660041.0,1
2025-12-14,738.0,745.2,738.0,740.0,0.27,10261.0,7608804.3,1
2025-12-15,754.8,754.8,735.5,738.0,-2.23,3954.0,2928192.4,-1
2025-12-16,730.2,749.0,730.2,746.0,2.16,5375.0,4001317.2,1
2025-12-17,759.9,759.9,742.0,751.0,-1.17,4752.0,3548438.0,-1
2025-12-18,742.7,748.0,740.4,743.0,0.04,1808.0,1344960.2,1
2025-12-21,729.0,750.0,729.0,730.0,0.14,15161.0,11143559.4,1
2025-12-22,730.0,757.8,730.0,743.5,1.85,37146.0,27384614.4,1
2025-12-23,731.1,744.0,731.1,740.0,1.22,6206.0,4557956.3,1
2025-12-24,731.0,735.0,730.0,730.4,-0.08,2951.0,2156989.1,-1
2025-12-28,730.0,745.0,730.0,740.0,1.37,5180.0,3841570.0,1
2025-12-29,754.8,754.8,732.1,737.0,-2.36,8268.0,6144417.0,-1
2025-12-31,744.9,750.0,730.0,750.0,0.68,9838.0,7293826.8,1
2026-01-01,760.0,760.0,735.0,745.6,-1.89,9292.0,6855159.0,-1
2026-01-04,726.0,726.0,706.0,711.0,-2.07,8548.0,6073834.0,-1
2026-01-05,718.8,718.8,707.0,714.8,-0.56,3224.0,2302697.4,-1
