published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,610.0,620.0,600.1,610.8,0.13,5606.0,3449601.5,1
2025-12-09,610.0,616.0,605.6,612.5,0.41,4284.0,2624976.4,1
2025-12-10,605.0,615.0,605.0,608.3,0.55,2989.0,1822601.3,1
2025-12-11,608.3,613.5,608.3,608.6,0.05,3011.0,1835400.5,1
2025-12-14,608.6,611.0,603.0,604.5,-0.67,5856.0,3556012.2,-1
2025-12-15,604.5,611.9,597.4,607.0,0.41,7931.0,4780038.5,1
2025-12-16,600.1,613.9,600.1,612.8,2.12,2512.0,1529852.8,1
2025-12-17,618.0,618.0,606.0,612.0,-0.97,4398.0,2690092.7,-1
2025-12-18,606.9,620.0,606.9,620.0,2.16,8034.0,4922606.5,1
2025-12-21,620.0,620.0,609.5,614.9,-0.82,5510.0,3383978.8,-1
2025-12-22,602.9,613.5,602.9,606.7,0.63,1769.0,1072741.0,1
2025-12-23,596.3,605.0,596.3,602.1,0.97,3399.0,2047840.6,1
2025-12-24,602.0,613.9,601.4,602.5,0.08,5949.0,3582580.4,1
2025-12-28,602.5,615.0,602.5,615.0,2.07,18591.0,11322428.7,1
2025-12-29,622.0,622.0,616.6,619.6,-0.39,11931.0,7383425.8,-1
2025-12-31,619.6,625.0,619.6,624.0,0.71,8909.0,5543608.6,1
2026-01-01,616.0,624.8,616.0,618.5,0.41,8806.0,5452674.9,1
2026-01-04,618.5,622.9,613.0,619.0,0.08,4776.0,2950847.4,1
2026-01-05,610.0,619.0,610.0,616.0,0.98,11332.0,6956927.5,1
2026-01-06,612.0,615.0,611.0,615.0,0.49,6106.0,3746461.7,1
2026-01-07,605.0,617.3,603.0,615.0,1.65,4324.0,2649511.3,1
2026-01-08,615.0,619.5,612.5,618.5,0.57,4398.0,2708111.0,1
2026-01-12,618.5,624.9,615.1,618.4,-0.02,3089.0,1909116.3,-1
2026-01-13,630.7,630.7,608.0,618.0,-2.01,7987.0,4923345.5,-1
2026-01-14,630.3,630.3,612.2,618.0,-1.95,3842.0,2368462.4,-1
2026-01-18,630.3,634.9,625.0,630.8,0.08,31039.0,19566566.2,1
2026-01-20,643.4,643.4,635.0,642.0,-0.22,17234.0,11019755.1,-1
