published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,940.0,960.0,940.0,960.0,2.13,1097.0,1048461.1,1
2025-12-09,951.0,960.0,947.0,960.0,0.95,909.0,864731.7,1
2025-12-10,950.0,952.0,943.0,952.0,0.21,2345.0,2217600.4,1
2025-12-11,969.0,969.0,945.0,948.9,-2.07,543.0,514886.1,-1
2025-12-14,952.0,971.0,952.0,963.2,1.18,5508.0,5323042.9,1
2025-12-15,964.0,974.0,964.0,970.0,0.62,1247.0,1208339.9,1
2025-12-16,970.5,989.0,970.5,985.0,1.49,989.0,973923.0,1
2025-12-17,986.2,996.0,986.2,993.0,0.69,2532.0,2508091.6,1
2025-12-18,999.0,1012.0,990.4,995.0,-0.4,3543.0,3528253.6,-1
2025-12-21,980.0,997.8,961.1,979.0,-0.1,1834.0,1795108.3,-1
2025-12-22,960.6,979.2,960.0,979.2,1.94,610.0,587194.6,1
2025-12-23,960.7,979.9,960.5,979.9,2.0,678.0,658571.6,1
2025-12-24,962.0,990.0,962.0,988.0,2.7,1313.0,1287287.1,1
2025-12-28,980.0,1004.7,980.0,1003.9,2.44,2364.0,2350154.8,1
2025-12-29,1015.0,1015.0,990.0,1004.9,-1.0,1362.0,1353999.4,-1
2025-12-31,987.0,1011.0,987.0,1011.0,2.43,4484.0,4504478.4,1
2026-01-01,1000.1,1015.0,1000.0,1008.0,0.79,2314.0,2329202.9,1
2026-01-04,1024.0,1024.0,994.0,995.0,-2.83,1252.0,1250524.6,-1
2026-01-05,981.1,1010.0,976.1,1010.0,2.95,2527.0,2510579.8,1
2026-01-06,1010.0,1011.0,1000.0,1011.0,0.1,2550.0,2568657.0,1
2026-01-07,1031.0,1031.0,990.8,1000.0,-3.01,570.0,568548.2,-1
2026-01-08,981.0,1000.0,981.0,999.0,1.83,1307.0,1285586.9,1
2026-01-12,1000.0,1000.0,980.0,985.0,-1.5,468.0,461790.0,-1
2026-01-13,970.5,999.0,970.2,980.0,0.98,791.0,769491.1,1
2026-01-14,980.0,980.0,965.1,975.0,-0.51,295.0,285796.9,-1
2026-01-18,963.6,994.0,963.6,975.1,1.19,679.0,663819.0,1
2026-01-20,975.1,994.0,974.5,980.1,0.51,1876.0,1846244.4,1
2026-01-21,981.0,993.0,974.0,993.0,1.22,1113.0,1091397.9,1
2026-01-22,993.0,996.0,973.5,995.0,0.2,971.0,958337.8,1
2026-01-25,976.0,1015.0,976.0,1015.0,4.0,4893.0,4928877.9,1
