published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1099.9,1100.0,1095.0,1095.0,-0.45,65.0,71373.5,-1
2025-12-09,1097.0,1097.0,1097.0,1097.0,0.0,25.0,27425.0,0
2025-12-10,1093.5,1093.5,1093.5,1093.5,0.0,25.0,27337.5,0
2025-12-11,1100.0,1100.0,1099.0,1100.0,0.0,155.0,170457.5,0
2025-12-14,1107.0,1107.0,1100.0,1100.0,-0.63,560.0,619745.0,-1
2025-12-15,1100.0,1116.0,1100.0,1116.0,1.45,105.0,116700.0,1
2025-12-16,1100.0,1100.0,1100.0,1100.0,0.0,95.0,104500.0,0
2025-12-17,1100.0,1100.0,1096.6,1096.6,-0.31,50.0,54915.0,-1
2025-12-21,1097.5,1119.4,1097.5,1100.0,0.23,222.0,247170.3,1
2025-12-22,1120.0,1122.0,1110.0,1110.0,-0.89,250.0,279190.0,-1
2025-12-23,1100.0,1100.2,1100.0,1100.2,0.02,50.0,55005.0,1
2025-12-24,1110.0,1110.0,1110.0,1110.0,0.0,25.0,27750.0,0
2025-12-28,1102.8,1103.4,1102.8,1103.4,0.05,130.0,143386.5,1
2025-12-29,1120.0,1120.0,1120.0,1120.0,0.0,595.0,666400.0,0
2026-01-01,1100.2,1122.2,1100.2,1122.2,2.0,95.0,105121.5,1
2026-01-04,1103.4,1103.4,1102.0,1102.0,-0.13,50.0,55135.0,-1
2026-01-05,1110.0,1110.0,1110.0,1110.0,0.0,25.0,27750.0,0
2026-01-06,1096.1,1096.1,1096.1,1096.1,0.0,25.0,27402.5,0
2026-01-07,1102.2,1118.0,1102.2,1118.0,1.43,75.0,83130.0,1
2026-01-08,1101.2,1103.0,1101.2,1103.0,0.16,85.0,93692.0,1
2026-01-12,1103.1,1103.1,1085.1,1087.0,-1.46,267.0,291586.2,-1
2026-01-13,1090.0,1090.0,1087.0,1087.0,-0.28,35.0,38120.0,-1
2026-01-14,1075.3,1090.0,1075.3,1090.0,1.37,50.0,54132.5,1
2026-01-18,1068.2,1068.2,1068.2,1068.2,0.0,65.0,69433.0,0
2026-01-20,1053.0,1065.0,1052.1,1053.5,0.05,467.0,495167.5,1
2026-01-21,1068.0,1068.0,1068.0,1068.0,0.0,25.0,26700.0,0
2026-01-22,1065.1,1065.1,1065.1,1065.1,0.0,90.0,95859.0,0
2026-01-25,1065.0,1075.0,1065.0,1070.0,0.47,623.0,666820.0,1
2026-01-26,1070.0,1070.0,1068.1,1068.1,-0.18,75.0,80155.0,-1
2026-01-27,1070.0,1070.0,1070.0,1070.0,0.0,25.0,26750.0,0
2026-01-28,1090.0,1091.4,1070.1,1070.3,-1.81,571.0,621025.3,-1
2026-02-01,1071.0,1090.0,1070.1,1090.0,1.77,175.0,189777.5,1
2026-02-02,1070.0,1083.0,1070.0,1080.0,0.93,150.0,161620.0,1
2026-02-03,1085.0,1085.0,1085.0,1085.0,0.0,50.0,54250.0,0
2026-02-04,1073.0,1073.0,1073.0,1071.6,-0.13,25.0,26818.0,-1
2026-02-05,1070.4,1073.1,1070.4,1073.1,0.25,75.0,80367.5,1
2026-02-08,1075.1,1076.1,1075.1,1076.1,0.09,130.0,139835.5,1
2026-02-09,1070.1,1070.2,1070.1,1070.2,0.01,50.0,53507.5,1
2026-02-10,1071.0,1071.0,1070.6,1070.6,-0.04,25.0,26769.0,-1
2026-02-11,1071.0,1071.0,1071.0,1071.0,0.0,25.0,26775.0,0
2026-02-12,1071.1,1071.1,1071.1,1071.1,0.0,25.0,26777.5,0
2026-02-16,1066.1,1066.1,1066.1,1066.1,0.0,25.0,26652.5,0
2026-02-17,1066.1,1087.3,1066.0,1087.3,1.99,625.0,676812.5,1
2026-02-22,1065.6,1065.6,1065.6,1065.6,0.0,50.0,53280.0,0
2026-02-24,1061.0,1061.1,1061.0,1061.1,0.01,50.0,53052.5,1
2026-02-25,1065.0,1065.0,1065.0,1065.0,0.0,25.0,26625.0,0
2026-02-26,1067.0,1067.0,1067.0,1067.0,0.0,25.0,26675.0,0
2026-03-01,1068.7,1075.0,1068.7,1075.0,0.59,50.0,53592.5,1
2026-03-10,1075.0,1081.0,1075.0,1080.0,0.47,75.0,80900.0,1
2026-03-11,1069.0,1073.0,1069.0,1073.0,0.37,50.0,53550.0,1
2026-03-12,1090.0,1090.0,1090.0,1090.0,0.0,25.0,27250.0,0
2026-03-15,1080.0,1100.0,1080.0,1100.0,1.85,420.0,460347.5,1
2026-03-16,1081.7,1090.0,1081.7,1082.7,0.09,105.0,113851.0,1
2026-03-17,1103.5,1103.5,1103.5,1103.5,0.0,25.0,27587.5,0
2026-03-19,1081.7,1116.0,1081.7,1116.0,3.17,291.0,320084.0,1
