published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1204.5,1298.9,1113.0,1298.9,7.84,70662.0,86206493.0,1
2025-12-09,1324.0,1417.0,1225.1,1378.1,4.09,21580.0,29637768.0,1
2025-12-10,1400.0,1400.0,1240.3,1250.0,-10.71,40684.0,52851462.4,-1
2025-12-11,1225.0,1240.0,1180.6,1220.7,-0.35,41861.0,50818048.0,-1
2025-12-14,1201.3,1315.5,1201.3,1259.8,4.87,27348.0,34714511.4,1
2025-12-15,1234.7,1289.0,1234.7,1260.0,2.05,21461.0,27198508.2,1
2025-12-16,1260.0,1279.0,1244.0,1260.0,0.0,10103.0,12741932.3,0
2025-12-17,1250.0,1295.0,1247.2,1270.0,1.6,17332.0,21898572.7,1
2025-12-18,1252.2,1277.0,1245.0,1255.0,0.22,13737.0,17274739.1,1
2025-12-21,1230.0,1259.0,1221.0,1245.0,1.22,17532.0,21692465.9,1
2025-12-22,1231.0,1240.0,1220.2,1240.0,0.73,9574.0,11756735.4,1
2025-12-23,1220.0,1240.9,1216.1,1236.0,1.31,12240.0,15032280.4,1
2025-12-24,1215.0,1243.0,1215.0,1230.0,1.23,4601.0,5646813.1,1
2025-12-28,1230.0,1251.6,1221.5,1247.8,1.45,12649.0,15599476.4,1
2025-12-29,1248.0,1271.9,1228.8,1263.9,1.27,18557.0,23277144.0,1
2025-12-31,1263.1,1295.0,1250.0,1285.0,1.73,19484.0,24917534.6,1
2026-01-01,1275.0,1369.0,1275.0,1320.0,3.53,27353.0,36296977.0,1
2026-01-04,1300.0,1366.0,1300.0,1359.0,4.54,33460.0,44843209.8,1
2026-01-05,1331.9,1396.0,1331.9,1384.0,3.91,34752.0,47723067.4,1
2026-01-06,1397.0,1475.0,1363.0,1368.0,-2.08,30695.0,43105937.3,-1
2026-01-07,1345.0,1389.0,1340.7,1380.0,2.6,21373.0,28984160.2,1
2026-01-08,1353.0,1401.0,1353.0,1400.0,3.47,14467.0,20095988.5,1
2026-01-12,1400.0,1507.0,1386.1,1470.0,5.0,31391.0,45924028.6,1
2026-01-13,1490.0,1495.0,1397.0,1425.0,-4.36,41790.0,60366813.0,-1
2026-01-14,1409.0,1450.0,1404.0,1422.0,0.92,15101.0,21422678.5,1
2026-01-18,1407.0,1486.0,1407.0,1444.0,2.63,24476.0,35520207.3,1
2026-01-20,1415.2,1510.0,1415.2,1499.9,5.99,36403.0,54135334.2,1
2026-01-21,1470.0,1518.0,1455.0,1475.0,0.34,17270.0,25519527.0,1
2026-01-22,1490.0,1622.0,1464.0,1599.9,7.38,48436.0,73512519.8,1
2026-01-25,1630.0,1749.0,1590.0,1680.0,3.07,26056.0,43558848.7,1
2026-01-26,1700.0,1705.0,1600.0,1648.0,-3.06,35321.0,58276039.1,-1
2026-01-27,1648.0,1665.0,1535.0,1545.0,-6.25,32137.0,51038177.2,-1
2026-01-28,1538.0,1580.0,1490.1,1554.0,1.04,12947.0,19890077.4,1
2026-01-29,1570.0,1581.0,1450.0,1473.0,-6.18,17499.0,26275446.9,-1
2026-02-01,1460.0,1469.9,1404.4,1420.0,-2.74,11431.0,16287691.9,-1
2026-02-02,1420.0,1560.0,1420.0,1514.0,6.62,13808.0,20612703.8,1
2026-02-03,1520.0,1544.2,1450.4,1465.0,-3.62,9305.0,13781448.7,-1
2026-02-04,1445.0,1490.0,1417.1,1440.0,-0.35,9170.0,13205575.5,-1
2026-02-05,1440.0,1458.0,1416.1,1436.0,-0.28,9240.0,13225126.7,-1
2026-02-08,1408.0,1487.0,1408.0,1445.0,2.63,7452.0,10912739.0,1
2026-02-09,1422.0,1440.0,1395.0,1396.0,-1.83,9593.0,13542534.0,-1
2026-02-10,1396.0,1423.0,1358.0,1375.0,-1.5,7751.0,10734801.2,-1
2026-02-11,1402.0,1415.0,1320.0,1320.0,-5.85,9763.0,13079220.4,-1
2026-02-12,1305.3,1316.0,1285.0,1300.0,-0.41,9500.0,12367133.4,-1
2026-02-16,1300.1,1417.6,1300.1,1360.0,4.61,11124.0,15317944.6,1
2026-02-17,1336.0,1360.0,1335.0,1345.0,0.67,3246.0,4365867.5,1
2026-02-22,1371.9,1372.0,1300.0,1324.0,-3.49,4374.0,5782190.5,-1
2026-02-23,1325.0,1325.0,1300.0,1305.0,-1.51,5144.0,6709189.3,-1
2026-02-24,1315.0,1389.0,1304.1,1368.0,4.03,6006.0,8064639.6,1
2026-02-25,1393.9,1402.0,1366.1,1400.0,0.44,6660.0,9227094.5,1
2026-02-26,1372.0,1455.0,1372.0,1455.0,6.05,10767.0,15256397.1,1
2026-03-01,1445.0,1500.0,1398.1,1480.0,2.42,13699.0,19705294.1,1
2026-03-03,1450.4,1500.0,1431.0,1470.0,1.35,6862.0,10084835.9,1
2026-03-09,1499.4,1559.5,1499.4,1529.0,1.97,830.0,1245699.6,1
2026-03-10,1530.0,1550.0,1460.0,1550.0,1.31,19718.0,29365843.8,1
2026-03-11,1519.0,1600.0,1470.1,1498.0,-1.38,7023.0,10527572.1,-1
2026-03-12,1527.0,1527.0,1455.0,1464.0,-4.13,7086.0,10369967.1,-1
2026-03-15,1450.0,1508.0,1411.3,1508.0,4.0,17919.0,25649631.3,1
2026-03-16,1477.9,1477.9,1419.5,1450.0,-1.89,4853.0,6963964.3,-1
2026-03-17,1440.0,1525.0,1415.6,1419.2,-1.44,11531.0,16548642.3,-1
2026-03-19,1447.0,1447.0,1400.1,1417.0,-2.07,8468.0,12028885.1,-1
2026-03-22,1445.3,1500.0,1388.7,1417.0,-1.96,18953.0,26928998.6,-1
2026-03-23,1417.0,1442.0,1397.0,1439.0,1.55,15857.0,22521423.3,1
2026-03-24,1410.3,1439.0,1410.3,1437.5,1.93,9919.0,14085105.5,1
2026-03-25,1466.2,1494.0,1405.1,1430.0,-2.47,16859.0,24251538.2,-1
2026-03-26,1420.0,1473.7,1420.0,1445.0,1.76,11029.0,15921873.6,1
2026-03-29,1425.0,1440.0,1388.0,1388.0,-2.6,10347.0,14527532.0,-1
2026-03-30,1363.0,1460.0,1363.0,1399.0,2.64,11404.0,15918930.0,1
2026-03-31,1390.0,1400.0,1371.0,1387.9,-0.15,4181.0,5777143.9,-1
2026-04-01,1415.6,1440.0,1315.0,1415.0,-0.04,19401.0,26423426.0,-1
2026-04-02,1386.7,1414.0,1313.0,1382.0,-0.34,17621.0,23698494.6,-1
2026-04-05,1360.0,1360.0,1260.0,1299.1,-4.48,9399.0,12191262.8,-1
2026-04-06,1290.0,1410.0,1265.0,1338.0,3.72,23236.0,30361460.7,1
