published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,195.0,195.0,191.0,191.1,-2.0,109707.0,21047167.4,-1
2025-12-09,194.0,194.0,190.3,191.2,-1.44,50204.0,9622330.1,-1
2025-12-10,194.9,194.9,190.3,191.0,-2.0,56588.0,10822865.1,-1
2025-12-11,190.5,192.9,190.0,191.2,0.37,54778.0,10471460.2,1
2025-12-14,194.0,194.0,190.5,190.8,-1.65,43702.0,8349068.6,-1
2025-12-15,190.0,193.0,190.0,192.9,1.53,67565.0,12956606.2,1
2025-12-16,194.0,194.0,191.7,193.0,-0.52,50559.0,9737850.0,-1
2025-12-17,194.9,194.9,191.6,193.0,-0.97,47578.0,9155874.4,-1
2025-12-18,194.9,194.9,191.2,191.8,-1.59,41181.0,7895486.0,-1
2025-12-21,191.1,193.9,190.0,190.2,-0.47,57982.0,11080933.5,-1
2025-12-22,194.0,194.0,188.0,189.7,-2.22,90967.0,17216503.8,-1
2025-12-23,192.9,192.9,188.0,188.0,-2.54,80175.0,15096675.3,-1
2025-12-24,187.9,189.0,187.0,187.9,0.0,79471.0,14919956.6,0
2025-12-28,189.0,193.0,188.6,193.0,2.12,133425.0,25410211.6,1
2025-12-29,196.0,196.0,192.0,192.0,-2.04,75621.0,14603747.7,-1
2025-12-31,192.0,195.5,191.0,193.0,0.52,90433.0,17531694.9,1
2026-01-01,193.0,194.9,191.1,191.5,-0.78,191570.0,37069906.5,-1
2026-01-04,193.0,193.5,190.3,191.8,-0.62,68376.0,13126235.8,-1
2026-01-05,192.0,193.9,191.5,192.4,0.21,72599.0,13999474.3,1
2026-01-06,193.6,197.4,192.3,193.0,-0.31,108737.0,21167261.3,-1
2026-01-07,193.5,195.0,191.4,192.0,-0.78,62613.0,12022614.1,-1
2026-01-08,191.0,193.8,190.0,192.0,0.52,63496.0,12126408.0,1
2026-01-12,192.0,193.0,190.6,192.0,0.0,52278.0,10040281.9,0
2026-01-13,188.2,211.0,188.2,192.0,2.02,82637.0,15886000.7,1
2026-01-14,190.8,193.5,190.8,190.9,0.05,52883.0,10130238.7,1
2026-01-18,193.0,194.5,191.0,194.5,0.78,92372.0,17827358.1,1
2026-01-20,198.0,198.0,194.1,195.8,-1.11,134396.0,26366649.6,-1
2026-01-21,196.0,197.0,193.0,195.0,-0.51,87940.0,17120032.9,-1
2026-01-22,198.0,198.0,192.2,196.0,-1.01,65476.0,12688771.3,-1
2026-01-25,196.7,201.0,195.1,200.9,2.14,213039.0,42270891.0,1
2026-01-26,204.0,204.8,198.0,199.0,-2.45,163831.0,32825457.5,-1
2026-01-27,202.0,202.0,195.0,195.5,-3.22,133110.0,26240406.8,-1
2026-01-28,191.6,195.4,191.4,193.0,0.73,138773.0,26726105.3,1
2026-01-29,195.8,195.9,190.5,195.0,-0.41,249119.0,48069637.4,-1
2026-02-01,198.8,198.8,191.5,192.0,-3.42,111437.0,21497098.3,-1
2026-02-02,189.5,194.0,189.5,192.5,1.58,121725.0,23424445.5,1
2026-02-03,191.4,193.8,191.1,193.0,0.84,93989.0,18064691.7,1
2026-02-04,190.0,200.0,190.0,191.5,0.79,186001.0,36149451.7,1
2026-02-05,192.0,192.9,191.6,192.3,0.16,92817.0,17831921.6,1
2026-02-08,194.0,194.0,190.1,190.3,-1.91,172367.0,32932287.3,-1
2026-02-09,193.0,193.0,189.8,190.0,-1.55,111173.0,21139584.8,-1
2026-02-10,190.0,191.9,189.0,190.4,0.21,98284.0,18646485.3,1
2026-02-11,191.0,194.1,190.0,191.0,0.0,111534.0,21310434.7,0
2026-02-12,192.0,192.0,188.7,190.0,-1.04,118627.0,22541037.6,-1
2026-02-16,193.0,193.0,188.3,189.9,-1.61,87262.0,16550585.3,-1
2026-02-17,189.1,190.7,186.7,187.0,-1.11,152076.0,28649114.3,-1
2026-02-22,187.0,188.0,185.5,186.0,-0.53,231146.0,43090148.6,-1
2026-02-23,186.0,187.0,184.5,185.0,-0.54,212186.0,39309626.6,-1
2026-02-24,185.0,187.0,184.5,184.6,-0.22,110756.0,20487328.6,-1
2026-02-25,186.0,188.0,185.0,187.9,1.02,174944.0,32480386.4,1
2026-02-26,191.0,191.0,186.0,187.5,-1.83,72485.0,13618961.3,-1
2026-03-01,191.2,191.5,184.2,191.0,-0.1,98897.0,18647729.6,-1
2026-03-03,194.8,195.0,189.3,194.9,0.05,169998.0,32860161.2,1
2026-03-09,198.7,214.3,198.7,214.3,7.85,16013.0,3411081.1,1
2026-03-10,218.5,218.5,205.0,209.0,-4.35,675786.0,141983665.2,-1
2026-03-11,209.0,211.0,205.0,206.9,-1.0,276854.0,57457102.3,-1
2026-03-12,206.9,218.2,204.1,215.1,3.96,560750.0,119206268.7,1
2026-03-15,219.4,219.4,212.6,216.0,-1.55,341669.0,73601330.9,-1
2026-03-16,220.0,220.0,210.1,210.3,-4.41,172702.0,36508794.4,-1
2026-03-17,211.9,213.8,206.2,213.1,0.57,169046.0,35515688.6,1
2026-03-19,213.1,226.7,213.1,223.0,4.65,812852.0,178797852.3,1
2026-03-22,227.4,231.0,223.1,227.0,-0.18,714388.0,162998944.8,-1
2026-03-23,231.5,231.5,223.2,226.9,-1.99,479709.0,108396166.5,-1
2026-03-24,231.4,231.4,223.9,228.0,-1.47,386370.0,87844752.6,-1
2026-03-25,232.5,232.5,221.4,223.8,-3.74,474499.0,106501397.7,-1
2026-03-26,224.0,225.4,219.5,224.5,0.22,266808.0,59189546.2,1
2026-03-29,225.0,226.9,215.0,215.2,-4.36,354384.0,77446311.8,-1
2026-03-30,219.5,219.5,208.3,210.0,-4.33,292278.0,62324322.9,-1
2026-03-31,210.0,214.0,205.1,212.0,0.95,221587.0,46358105.5,1
2026-04-01,215.0,215.0,204.0,205.0,-4.65,231352.0,47752472.7,-1
2026-04-02,201.0,209.0,200.0,206.9,2.94,243068.0,50042503.9,1
2026-04-05,202.8,205.0,198.9,199.0,-1.87,279967.0,56160683.0,-1
