published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,9.05,9.05,9.05,9.05,0.0,200.0,1810.0,0
2025-12-09,9.23,9.24,9.12,9.12,-1.19,6200.0,57223.0,-1
2025-12-11,9.15,9.28,9.14,9.28,1.42,5150.0,47141.0,1
2025-12-14,9.14,9.14,9.14,9.14,0.0,300.0,2742.0,0
2025-12-15,9.29,9.35,9.14,9.35,0.65,13740.0,127651.75,1
2025-12-16,9.17,9.21,9.17,9.2,0.33,16200.0,148997.0,1
2025-12-17,9.05,9.41,9.05,9.41,3.98,6336.0,59326.76,1
2025-12-18,9.41,9.41,9.25,9.25,-1.7,20789.0,195498.25,-1
2025-12-21,9.09,9.25,9.09,9.25,1.76,10500.0,97045.0,1
2025-12-23,9.11,9.11,9.11,9.11,0.0,300.0,2733.0,0
2025-12-24,9.13,9.13,9.13,9.13,0.0,5200.0,47476.0,0
2025-12-28,9.13,9.13,9.13,9.13,0.0,100.0,913.0,0
2025-12-29,9.2,9.31,9.14,9.25,0.54,4600.0,42642.0,1
2025-12-31,9.2,9.23,9.2,9.23,0.33,7100.0,65530.0,1
2026-01-01,9.25,9.4,9.25,9.4,1.62,3000.0,28045.0,1
2026-01-04,9.23,9.26,9.23,9.25,0.22,600.0,5552.0,1
2026-01-05,9.38,9.43,9.31,9.32,-0.64,1425.0,13323.0,-1
2026-01-06,9.25,9.88,9.25,9.88,6.81,30357.0,286809.1,1
2026-01-07,9.69,9.69,9.4,9.52,-1.75,29956.0,285252.63,-1
2026-01-08,9.33,9.33,9.22,9.23,-1.07,16100.0,150097.0,-1
