published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,482.0,489.8,481.0,484.0,0.41,24074.0,11671665.0,1
2025-12-09,484.0,492.0,484.0,490.0,1.24,23156.0,11311097.9,1
2025-12-10,490.0,496.0,486.0,486.0,-0.82,29923.0,14681215.6,-1
2025-12-11,486.0,489.7,483.0,483.0,-0.62,21203.0,10287985.8,-1
2025-12-14,489.0,489.9,475.0,479.0,-2.04,40474.0,19522028.3,-1
2025-12-15,476.1,483.0,473.9,480.0,0.82,27434.0,13117159.5,1
2025-12-16,480.0,487.0,475.7,486.0,1.25,20492.0,9901841.0,1
2025-12-17,492.0,492.0,483.6,484.1,-1.61,35312.0,17182162.8,-1
2025-12-18,482.0,485.0,481.0,485.0,0.62,32724.0,15812307.6,1
2025-12-21,481.0,484.0,477.0,477.6,-0.71,23458.0,11285868.2,-1
2025-12-22,468.1,482.8,468.1,476.1,1.71,17286.0,8272485.3,1
2025-12-23,483.0,483.0,467.0,474.0,-1.86,38554.0,18235345.0,-1
2025-12-24,482.0,482.0,471.0,472.0,-2.07,23945.0,11355192.0,-1
2025-12-28,473.0,481.1,470.0,480.9,1.67,36042.0,17145341.6,1
2025-12-29,480.0,482.0,476.0,478.0,-0.42,29983.0,14346018.1,-1
2025-12-31,475.0,485.0,475.0,485.0,2.11,46507.0,22428645.8,1
2026-01-01,482.3,488.0,477.3,477.9,-0.91,24444.0,11762567.4,-1
2026-01-04,477.0,485.0,470.0,472.0,-1.05,45435.0,21480476.0,-1
2026-01-05,470.0,479.2,470.0,477.9,1.68,67331.0,31940021.6,1
2026-01-06,464.0,472.0,460.6,465.7,0.37,31058.0,14446892.7,1
2026-01-07,465.5,470.0,460.6,468.7,0.69,38336.0,17936713.4,1
2026-01-08,461.2,468.0,461.2,467.0,1.26,15777.0,7333683.0,1
2026-01-12,476.3,476.3,456.0,464.0,-2.58,37042.0,17104744.1,-1
2026-01-13,464.0,475.0,456.2,474.0,2.16,47659.0,22398884.0,1
2026-01-14,470.1,478.8,465.0,465.0,-1.08,53423.0,25150481.9,-1
2026-01-18,466.1,476.8,466.1,468.6,0.54,46229.0,21755243.9,1
2026-01-20,473.1,479.0,470.0,472.5,-0.13,45814.0,21746867.4,-1
2026-01-21,477.0,477.0,468.6,469.0,-1.68,39516.0,18648526.0,-1
2026-01-22,466.2,479.0,466.1,479.0,2.75,43874.0,20723877.1,1
2026-01-25,478.0,502.0,474.2,498.0,4.18,85147.0,41960796.5,1
