published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,815.0,819.9,799.2,800.0,-1.84,34537.0,27851928.8,-1
2025-12-09,809.0,814.7,800.0,802.0,-0.87,16729.0,13454478.2,-1
2025-12-10,786.0,809.8,786.0,804.0,2.29,12570.0,10117766.6,1
2025-12-11,800.0,800.0,787.0,790.0,-1.25,21522.0,17063201.8,-1
2025-12-14,780.0,800.0,780.0,784.9,0.63,22058.0,17337966.2,1
2025-12-15,776.2,793.0,776.2,790.1,1.79,13848.0,10934275.6,1
2025-12-16,775.0,799.9,775.0,791.1,2.08,12260.0,9740212.8,1
2025-12-17,803.0,803.9,790.5,790.5,-1.56,16537.0,13168847.3,-1
2025-12-18,790.0,795.0,779.0,780.0,-1.27,16646.0,13034666.9,-1
2025-12-21,772.0,785.0,765.0,765.0,-0.91,21785.0,16812016.7,-1
2025-12-22,770.0,777.0,767.2,771.4,0.18,12114.0,9363895.2,1
2025-12-23,771.1,785.0,762.2,770.0,-0.14,15185.0,11707623.8,-1
2025-12-24,779.0,781.0,767.2,778.0,-0.13,9293.0,7198971.1,-1
2025-12-28,785.0,795.0,776.4,791.0,0.76,18023.0,14241614.8,1
2025-12-29,790.0,795.9,782.6,782.6,-0.94,11126.0,8742096.9,-1
2025-12-31,780.1,789.8,776.0,779.9,-0.03,9746.0,7617985.8,-1
2026-01-01,779.0,779.9,770.0,770.1,-1.14,11624.0,8980619.7,-1
2026-01-04,775.0,779.8,761.1,763.4,-1.5,12669.0,9688668.2,-1
2026-01-05,765.2,785.0,765.2,780.0,1.93,28469.0,22145728.3,1
2026-01-06,785.0,795.0,780.1,788.6,0.46,19772.0,15552762.2,1
2026-01-07,785.0,836.0,784.0,815.0,3.82,80619.0,65941807.7,1
2026-01-08,805.1,819.0,798.0,803.0,-0.26,57214.0,46040412.9,-1
2026-01-12,795.0,809.0,790.5,793.0,-0.25,24866.0,19785357.5,-1
2026-01-13,799.8,800.0,788.0,795.0,-0.6,20932.0,16561675.3,-1
2026-01-14,795.0,812.0,795.0,801.1,0.77,26587.0,21351968.2,1
2026-01-18,811.0,822.6,800.7,809.7,-0.16,25747.0,20806926.7,-1
2026-01-20,823.9,845.0,812.0,828.0,0.5,59340.0,49411444.9,1
2026-01-21,843.5,843.9,825.0,835.0,-1.01,76946.0,64167223.6,-1
2026-01-22,827.7,837.0,815.5,816.1,-1.4,41537.0,34227347.1,-1
2026-01-25,820.0,852.0,820.0,843.5,2.87,49375.0,41524056.8,1
2026-01-26,860.3,860.3,830.0,840.0,-2.36,65782.0,55519062.6,-1
2026-01-27,830.1,849.9,815.2,824.0,-0.73,43707.0,36355930.7,-1
2026-01-28,823.0,825.0,812.0,823.3,0.04,32493.0,26579411.7,1
2026-01-29,812.1,828.9,805.0,815.0,0.36,33067.0,26971445.6,1
