published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,9.1,9.3,9.1,9.3,2.2,1400.0,12945.0,1
2025-12-09,9.21,9.43,9.21,9.35,1.52,4700.0,43924.0,1
2025-12-10,9.27,9.35,9.27,9.35,0.86,9300.0,86937.0,1
2025-12-15,9.17,9.18,9.17,9.18,0.11,200.0,1835.0,1
2025-12-16,9.07,9.09,9.07,9.09,0.22,400.0,3630.0,1
2025-12-17,9.06,9.27,9.06,9.27,2.32,1300.0,11993.0,1
2025-12-18,9.13,9.25,9.13,9.25,1.31,200.0,1838.0,1
2025-12-21,9.25,9.43,9.25,9.31,0.65,15700.0,146167.0,1
2025-12-22,9.31,9.31,9.28,9.31,0.0,2000.0,18617.0,0
2025-12-23,9.28,9.43,9.28,9.43,1.62,77499.0,724477.57,1
2025-12-24,9.35,9.36,9.35,9.36,0.11,900.0,8416.0,1
2025-12-28,9.49,9.67,9.35,9.35,-1.48,41655.0,395325.55,-1
2025-12-29,9.38,9.53,9.38,9.39,0.11,22100.0,210584.0,1
2025-12-31,9.38,9.55,9.38,9.55,1.81,2000.0,18800.0,1
2026-01-01,9.41,9.59,9.41,9.59,1.91,1000.0,9500.0,1
2026-01-04,9.42,9.59,9.41,9.59,1.8,2800.0,26747.0,1
2026-01-05,9.43,9.61,9.43,9.48,0.53,12500.0,119729.0,1
2026-01-06,9.48,9.65,9.48,9.65,1.79,2525.0,24226.0,1
2026-01-07,9.65,9.82,9.53,9.53,-1.24,28200.0,273810.0,-1
2026-01-08,9.52,9.53,9.45,9.45,-0.74,6800.0,64782.0,-1
2026-01-12,9.35,9.35,9.35,9.35,0.0,400.0,3740.0,0
2026-01-13,9.53,9.72,9.36,9.72,1.99,11900.0,115162.0,1
