published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,906.0,929.8,900.0,910.1,0.45,1131.0,1027212.4,1
2025-12-09,900.9,921.0,900.6,918.0,1.9,402.0,365341.4,1
2025-12-10,934.2,934.2,907.0,918.0,-1.73,669.0,610330.0,-1
2025-12-11,931.9,931.9,900.1,904.0,-2.99,430.0,389051.5,-1
2025-12-14,910.0,920.0,893.1,905.0,-0.55,1757.0,1580117.7,-1
2025-12-15,887.1,902.0,887.1,898.0,1.23,2034.0,1817609.0,1
2025-12-16,910.0,915.0,875.2,895.0,-1.65,2535.0,2247127.9,-1
2025-12-17,910.0,910.0,882.4,897.0,-1.43,486.0,432129.4,-1
2025-12-18,885.0,900.0,880.1,896.0,1.24,1174.0,1039592.3,1
2025-12-21,880.1,896.0,874.0,894.0,1.58,1538.0,1355862.0,1
2025-12-22,877.0,887.0,877.0,887.0,1.14,153.0,134409.0,1
2025-12-23,885.0,892.6,872.5,887.0,0.23,193.0,170227.0,1
2025-12-24,875.0,890.0,871.1,890.0,1.71,228.0,201251.0,1
2025-12-28,897.7,908.0,886.2,902.0,0.48,580.0,520362.0,1
2025-12-29,888.0,905.0,888.0,903.5,1.75,1144.0,1031440.5,1
2025-12-31,886.0,914.0,886.0,900.0,1.58,1396.0,1259558.5,1
2026-01-01,900.0,900.0,886.0,900.0,0.0,80.0,71645.0,0
2026-01-04,885.0,922.0,882.0,905.0,2.26,1051.0,950186.9,1
2026-01-05,887.0,918.0,887.0,905.0,2.03,2473.0,2240139.5,1
2026-01-06,919.0,938.0,905.2,914.9,-0.45,937.0,856866.4,-1
2026-01-07,900.0,905.0,888.0,903.0,0.33,2342.0,2101012.0,1
2026-01-08,890.0,903.0,886.0,903.0,1.46,1070.0,952971.3,1
2026-01-12,885.5,900.0,885.5,900.0,1.64,341.0,304160.0,1
2026-01-13,915.0,915.0,892.0,892.2,-2.49,790.0,711383.4,-1
2026-01-14,890.0,901.1,890.0,901.0,1.24,688.0,617946.0,1
2026-01-18,905.0,916.0,900.1,915.0,1.1,532.0,483820.0,1
2026-01-20,900.1,936.3,900.1,921.0,2.32,6581.0,6087371.1,1
2026-01-21,917.3,929.9,905.2,910.3,-0.76,3030.0,2769422.0,-1
2026-01-22,901.2,917.0,901.2,917.0,1.75,3635.0,3312793.8,1
2026-01-25,918.0,993.0,915.0,992.0,8.06,6044.0,5765335.1,1
2026-01-26,973.0,990.0,952.8,979.0,0.62,5301.0,5126185.3,1
2026-01-27,961.0,978.0,945.0,945.0,-1.66,4153.0,3979783.1,-1
2026-01-28,932.1,940.0,920.0,938.0,0.63,4301.0,4018752.2,1
2026-01-29,956.5,956.5,925.1,950.0,-0.68,3279.0,3067900.5,-1
2026-02-01,968.9,968.9,920.0,935.0,-3.5,2005.0,1888181.7,-1
2026-02-02,953.0,953.0,915.0,915.0,-3.99,1626.0,1508866.5,-1
2026-02-03,910.1,933.0,910.0,924.0,1.53,549.0,505163.5,1
2026-02-04,941.0,941.5,915.1,915.1,-2.75,1497.0,1390934.4,-1
