published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1470.0,1500.0,1470.0,1497.0,1.84,8648.0,12861231.3,1
2025-12-09,1476.0,1499.0,1476.0,1490.0,0.95,7913.0,11765308.5,1
2025-12-10,1486.0,1497.0,1463.0,1465.2,-1.4,11960.0,17638606.4,-1
2025-12-11,1465.0,1490.0,1461.0,1467.0,0.14,4555.0,6710533.4,1
2025-12-14,1466.0,1487.0,1440.0,1449.4,-1.13,18169.0,26482921.5,-1
2025-12-15,1449.0,1520.0,1440.0,1442.0,-0.48,7317.0,10672247.3,-1
2025-12-16,1445.0,1464.0,1420.0,1442.0,-0.21,10001.0,14381234.3,-1
2025-12-17,1420.2,1460.0,1420.2,1432.0,0.83,9112.0,13169668.9,1
2025-12-18,1460.6,1460.6,1428.0,1429.0,-2.16,6081.0,8720774.3,-1
2025-12-21,1430.0,1438.0,1400.0,1425.0,-0.35,12603.0,17811907.7,-1
2025-12-22,1400.1,1420.0,1385.0,1408.0,0.56,7372.0,10302541.6,1
2025-12-23,1401.0,1447.9,1401.0,1420.0,1.36,3764.0,5338917.9,1
2025-12-24,1440.0,1444.0,1427.0,1430.0,-0.69,6390.0,9163457.9,-1
2025-12-28,1448.0,1458.0,1435.3,1439.0,-0.62,7431.0,10774165.6,-1
2025-12-29,1465.0,1470.0,1446.0,1456.0,-0.61,13794.0,20092046.4,-1
2025-12-31,1476.0,1476.0,1450.0,1465.5,-0.71,5268.0,7705503.3,-1
2026-01-01,1451.0,1480.0,1451.0,1470.1,1.32,8277.0,12158448.0,1
2026-01-04,1477.0,1495.0,1470.0,1480.1,0.21,28239.0,41836907.1,1
2026-01-05,1324.2,1324.2,1299.0,1324.0,-0.02,14938.0,19707963.6,-1
2026-01-06,1330.0,1456.0,1320.0,1456.0,9.47,34353.0,46278023.3,1
2026-01-07,1426.9,1426.9,1344.0,1360.0,-4.69,38021.0,51575314.0,-1
2026-01-08,1367.0,1367.0,1340.0,1343.0,-1.76,5533.0,7462947.0,-1
2026-01-12,1355.0,1446.0,1331.0,1332.1,-1.69,6018.0,8094861.8,-1
2026-01-13,1344.0,1345.0,1321.0,1322.0,-1.64,5545.0,7344135.4,-1
2026-01-14,1322.0,1330.0,1300.0,1313.0,-0.68,10079.0,13239533.6,-1
2026-01-18,1313.0,1339.0,1313.0,1335.0,1.68,7160.0,9520072.2,1
2026-01-20,1347.0,1359.8,1328.0,1340.0,-0.52,12560.0,16827049.8,-1
2026-01-21,1340.0,1359.0,1327.0,1332.0,-0.6,4897.0,6533861.4,-1
2026-01-22,1330.0,1339.0,1305.6,1321.0,-0.68,10892.0,14382302.9,-1
2026-01-25,1322.1,1350.0,1322.1,1349.4,2.06,9893.0,13224926.8,1
2026-01-26,1370.0,1370.0,1330.2,1343.0,-1.97,11152.0,14938592.2,-1
2026-01-27,1316.6,1350.0,1316.6,1330.0,1.02,10791.0,14368547.4,1
2026-01-28,1330.0,1344.9,1318.1,1326.1,-0.29,8068.0,10668346.5,-1
2026-01-29,1320.1,1344.7,1319.1,1322.1,0.15,8941.0,11830080.5,1
