published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,465.0,472.0,463.0,470.6,1.2,6745.0,3161925.0,1
2025-12-09,470.6,475.0,465.0,467.5,-0.66,6918.0,3251604.2,-1
2025-12-10,467.0,477.9,457.3,464.5,-0.54,18113.0,8391829.6,-1
2025-12-11,456.1,471.0,456.1,467.2,2.43,5803.0,2711878.7,1
2025-12-14,461.0,465.1,460.0,461.2,0.04,11401.0,5268386.0,1
2025-12-15,456.1,465.0,455.0,455.1,-0.22,12685.0,5798046.0,-1
2025-12-16,452.0,460.0,452.0,457.0,1.11,5806.0,2650181.2,1
2025-12-17,452.4,461.6,452.3,461.6,2.03,4716.0,2169898.0,1
2025-12-18,456.1,466.0,456.1,461.0,1.07,13574.0,6227560.3,1
2025-12-21,470.2,470.2,451.0,453.4,-3.57,7275.0,3303888.8,-1
2025-12-22,447.0,465.0,447.0,451.0,0.89,8437.0,3818630.1,1
2025-12-23,447.0,454.0,446.9,454.0,1.57,8515.0,3817144.1,1
2025-12-24,460.0,460.0,442.1,444.2,-3.43,8927.0,3983949.1,-1
2025-12-28,447.0,454.1,444.0,451.0,0.89,11743.0,5292411.1,1
2025-12-29,443.3,459.0,443.3,451.0,1.74,18719.0,8447645.8,1
2025-12-31,450.0,454.0,445.5,446.0,-0.89,16481.0,7386575.0,-1
2026-01-01,441.6,448.0,441.6,444.0,0.54,15772.0,6989317.1,1
2026-01-04,445.0,461.8,440.0,440.3,-1.06,25201.0,11319133.1,-1
2026-01-05,437.0,460.1,437.0,460.1,5.29,18870.0,8514635.1,1
2026-01-06,455.1,460.0,450.0,454.0,-0.24,17777.0,8109716.4,-1
2026-01-07,445.3,463.0,445.3,447.0,0.38,10921.0,4974718.3,1
2026-01-08,440.2,450.0,440.2,448.0,1.77,7936.0,3528967.5,1
2026-01-12,444.0,454.0,440.0,443.0,-0.23,7182.0,3188960.0,-1
2026-01-13,443.0,450.0,441.2,449.0,1.35,7504.0,3343840.3,1
2026-01-14,453.0,453.0,441.3,449.0,-0.88,8540.0,3797133.0,-1
2026-01-18,442.1,450.0,442.1,447.0,1.11,12753.0,5693484.1,1
