published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1560.0,1560.0,1497.1,1559.0,-0.06,8902.0,13456153.8,-1
2025-12-09,1530.0,1530.0,1492.1,1505.0,-1.63,5457.0,8218815.3,-1
2025-12-10,1514.0,1514.0,1491.0,1495.1,-1.25,966.0,1443062.4,-1
2025-12-11,1508.0,1518.0,1496.0,1518.0,0.66,2243.0,3374078.0,1
2025-12-14,1490.0,1642.0,1490.0,1490.0,0.0,6634.0,9951726.5,0
2025-12-15,1475.7,1515.0,1475.6,1498.0,1.51,1275.0,1894255.4,1
2025-12-16,1490.0,1515.0,1485.0,1510.9,1.4,2606.0,3878197.7,1
2025-12-17,1510.8,1521.1,1460.0,1500.0,-0.71,3785.0,5586301.6,-1
2025-12-18,1524.0,1524.0,1466.1,1487.0,-2.43,5347.0,7873784.5,-1
2025-12-21,1516.7,1516.7,1476.0,1488.0,-1.89,3445.0,5122235.7,-1
2025-12-22,1512.9,1512.9,1469.1,1485.9,-1.78,4817.0,7157761.8,-1
2025-12-23,1500.0,1500.0,1470.0,1490.0,-0.67,2243.0,3309462.0,-1
2025-12-24,1471.1,1499.0,1471.1,1498.0,1.83,2736.0,4069788.5,1
2025-12-28,1522.0,1522.0,1485.0,1496.0,-1.71,7360.0,10984393.4,-1
2025-12-29,1524.0,1545.0,1488.2,1514.9,-0.6,31252.0,46819622.5,-1
2025-12-31,1352.4,1368.0,1305.0,1341.0,-0.84,4985.0,6655300.5,-1
2026-01-01,1323.0,1333.0,1312.1,1327.0,0.3,2776.0,3659880.0,1
2026-01-04,1327.0,1327.0,1300.0,1314.0,-0.98,4846.0,6324928.7,-1
2026-01-05,1314.0,1329.5,1300.0,1325.0,0.84,3278.0,4299579.5,1
2026-01-06,1325.0,1344.4,1307.0,1343.5,1.4,2137.0,2836530.6,1
2026-01-07,1317.0,1354.0,1317.0,1330.0,0.99,5458.0,7322323.5,1
2026-01-08,1330.0,1330.0,1305.0,1329.9,-0.01,374.0,494196.3,-1
