published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,232.0,232.5,230.0,232.0,0.0,129868.0,30007948.1,0
2025-12-09,230.3,233.9,224.5,226.0,-1.87,489503.0,111489155.1,-1
2025-12-10,225.0,230.0,225.0,229.3,1.91,115530.0,26351079.8,1
2025-12-11,230.0,231.9,228.1,231.3,0.57,112001.0,25807801.9,1
2025-12-14,235.9,235.9,230.0,231.9,-1.7,154595.0,35668938.5,-1
2025-12-15,236.5,236.5,230.3,235.0,-0.63,607358.0,141531859.3,-1
2025-12-16,214.0,214.0,209.0,212.7,-0.61,110704.0,23324170.5,-1
2025-12-17,212.0,213.9,210.0,213.9,0.9,38395.0,8155530.9,1
2025-12-18,214.6,216.0,211.0,215.0,0.19,74975.0,16011688.1,1
2025-12-21,215.9,215.9,211.0,211.5,-2.04,43180.0,9150867.4,-1
2025-12-22,215.0,215.0,208.4,213.1,-0.88,45434.0,9558172.0,-1
2025-12-23,214.0,214.0,208.0,212.0,-0.93,42683.0,8962176.2,-1
2025-12-24,211.9,211.9,209.0,210.0,-0.9,47218.0,9909629.8,-1
2025-12-28,212.0,214.2,210.5,213.1,0.52,42563.0,9035340.7,1
2025-12-29,217.3,217.3,212.1,212.3,-2.3,47809.0,10179118.0,-1
2025-12-31,212.4,215.0,212.0,215.0,1.22,54149.0,11556874.7,1
2026-01-01,212.0,214.9,212.0,212.9,0.42,38855.0,8253888.7,1
2026-01-04,211.0,213.8,209.2,213.8,1.33,34593.0,7282028.1,1
2026-01-05,213.9,214.0,210.1,213.5,-0.19,27729.0,5890265.7,-1
2026-01-06,214.0,214.4,212.1,214.2,0.09,71212.0,15202311.5,1
2026-01-07,212.2,216.5,212.2,213.7,0.71,35425.0,7600398.7,1
2026-01-08,209.5,216.5,209.5,214.2,2.24,27228.0,5798633.0,1
2026-01-12,213.0,217.5,213.0,214.9,0.89,59133.0,12727084.3,1
2026-01-13,215.0,216.2,212.4,215.0,0.0,46963.0,10048961.6,0
2026-01-14,217.0,217.0,212.7,216.5,-0.23,93032.0,19973763.1,-1
