published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,710.2,720.0,709.6,719.9,1.37,8105.0,5771379.8,1
2025-12-09,708.0,722.0,708.0,721.0,1.84,4616.0,3306055.9,1
2025-12-10,721.0,721.0,706.6,720.0,-0.14,4222.0,3000838.1,-1
2025-12-11,706.0,719.0,705.6,714.0,1.13,4785.0,3390947.8,1
2025-12-14,728.2,738.9,715.0,720.0,-1.13,19703.0,14214323.9,-1
2025-12-15,731.9,731.9,717.0,718.0,-1.9,6956.0,5003754.6,-1
2025-12-16,730.0,732.3,709.0,732.0,0.27,3037.0,2200828.0,1
2025-12-17,730.0,731.0,725.0,728.0,-0.27,6249.0,4545525.4,-1
2025-12-18,739.0,740.0,725.2,733.0,-0.81,4782.0,3489023.3,-1
2025-12-21,747.6,747.6,725.0,734.9,-1.7,11397.0,8395332.1,-1
2025-12-22,735.0,738.0,721.2,736.0,0.14,4279.0,3122763.3,1
2025-12-23,735.0,739.0,735.0,737.2,0.3,6632.0,4886056.8,1
2025-12-24,733.0,742.9,725.2,740.0,0.95,9018.0,6648949.5,1
2025-12-28,740.0,752.9,740.0,752.0,1.62,19251.0,14382277.5,1
2025-12-29,759.0,760.6,749.1,751.6,-0.97,20577.0,15504442.6,-1
2025-12-31,754.0,760.0,752.1,758.0,0.53,29115.0,21987939.8,1
2026-01-01,760.0,770.7,752.2,759.0,-0.13,86592.0,65953095.6,-1
2026-01-04,743.9,743.9,707.1,729.0,-2.0,12685.0,9167441.5,-1
2026-01-05,716.0,719.1,702.0,717.0,0.14,15547.0,11071077.1,1
2026-01-06,730.8,730.8,708.0,714.5,-2.23,8594.0,6110468.4,-1
2026-01-07,710.0,718.0,708.2,713.0,0.42,9076.0,6469380.5,1
2026-01-08,713.0,713.0,700.1,711.0,-0.28,4475.0,3154960.6,-1
2026-01-12,705.0,715.0,705.0,714.6,1.36,4718.0,3352044.3,1
2026-01-13,716.8,716.8,705.0,716.8,0.0,5862.0,4178328.3,0
2026-01-14,710.5,719.9,710.5,717.0,0.91,4304.0,3076533.8,1
2026-01-18,724.7,724.7,712.0,720.0,-0.65,5354.0,3846844.3,-1
2026-01-20,720.0,763.0,715.0,739.4,2.69,19976.0,14637460.0,1
2026-01-21,726.0,740.0,725.0,736.0,1.38,10688.0,7856839.8,1
2026-01-22,744.5,744.5,720.3,739.0,-0.74,11589.0,8481413.6,-1
2026-01-25,741.0,745.0,724.4,739.8,-0.16,28358.0,20981817.8,-1
2026-01-26,736.1,748.0,734.1,736.0,-0.01,18842.0,13945879.2,-1
2026-01-27,730.0,730.0,710.8,719.0,-1.51,15749.0,11358034.3,-1
2026-01-28,733.3,733.3,712.0,722.0,-1.54,5626.0,4040557.3,-1
2026-01-29,736.4,736.4,712.0,713.0,-3.18,10976.0,7882529.1,-1
2026-02-01,716.0,716.0,705.0,713.0,-0.42,4589.0,3267397.2,-1
2026-02-02,705.2,714.0,705.1,706.0,0.11,2277.0,1608018.2,1
2026-02-03,706.0,710.0,702.5,709.0,0.42,2758.0,1948228.3,1
2026-02-04,715.0,723.0,710.2,711.3,-0.52,1421.0,1012647.5,-1
2026-02-05,706.0,712.8,700.0,711.0,0.71,4862.0,3420555.9,1
2026-02-08,704.0,725.0,702.5,715.0,1.56,8954.0,6324834.1,1
2026-02-09,704.0,710.0,690.0,700.0,-0.57,18888.0,13180420.4,-1
2026-02-10,688.0,704.8,686.1,686.1,-0.28,8166.0,5637946.1,-1
2026-02-11,699.8,712.0,680.0,689.0,-1.54,4874.0,3367509.2,-1
2026-02-12,680.0,698.7,680.0,694.9,2.19,3762.0,2594203.2,1
2026-02-16,696.0,696.0,682.1,689.7,-0.91,2859.0,1962215.8,-1
2026-02-17,690.0,690.0,678.0,686.9,-0.45,2984.0,2040791.4,-1
2026-02-22,680.0,695.0,680.0,685.0,0.74,4041.0,2773434.3,1
2026-02-23,687.0,687.0,679.9,680.0,-1.02,6653.0,4530490.8,-1
2026-02-24,680.0,680.0,670.5,679.1,-0.13,3455.0,2325388.5,-1
2026-02-25,692.0,704.0,675.0,682.0,-1.45,7712.0,5260238.4,-1
