published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,4840.0,4903.5,4840.0,4879.9,0.82,160.0,778954.0,1
2025-12-09,4925.0,4925.0,4842.3,4883.0,-0.85,161.0,784042.0,-1
2025-12-10,4895.0,4895.0,4733.7,4879.0,-0.33,1220.0,5874790.4,-1
2025-12-11,4883.8,4887.0,4806.3,4879.9,-0.08,163.0,790972.0,-1
2025-12-14,4820.0,4888.9,4793.4,4855.0,0.73,136.0,657781.0,1
2025-12-15,4878.9,4878.9,4797.0,4869.9,-0.18,98.0,475786.0,-1
2025-12-16,4792.1,4871.9,4792.1,4863.0,1.48,177.0,856868.0,1
2025-12-17,4860.0,4890.0,4849.0,4849.1,-0.22,174.0,845031.0,-1
2025-12-18,4807.1,4882.0,4807.1,4873.9,1.39,162.0,788222.5,1
2025-12-21,4790.1,4873.0,4790.1,4820.1,0.63,291.0,1404670.0,1
2025-12-22,4820.0,4865.7,4811.0,4850.0,0.62,80.0,386323.0,1
2025-12-23,4859.0,4859.0,4820.0,4850.0,-0.19,123.0,594706.0,-1
2025-12-24,4755.1,4938.9,4755.1,4864.0,2.29,234.0,1136124.8,1
2025-12-28,4900.0,4900.0,4820.7,4896.6,-0.07,156.0,761584.6,-1
2025-12-29,4800.0,4895.6,4800.0,4860.0,1.25,260.0,1263126.5,1
2025-12-31,4860.0,4888.7,4840.0,4877.0,0.35,166.0,806219.0,1
2026-01-01,4829.0,4869.0,4795.0,4818.9,-0.21,417.0,2007328.4,-1
2026-01-04,4847.0,4848.0,4755.0,4839.0,-0.17,135.0,648212.0,-1
2026-01-05,4766.0,4860.0,4766.0,4848.0,1.72,332.0,1597763.1,1
2026-01-06,4779.0,4879.9,4779.0,4877.9,2.07,497.0,2416617.0,1
2026-01-07,4785.1,4888.7,4785.1,4880.0,1.98,280.0,1358062.0,1
2026-01-08,4831.0,4890.0,4806.0,4865.0,0.7,390.0,1896872.8,1
2026-01-12,4802.0,4874.3,4769.0,4800.0,-0.04,853.0,4098568.0,-1
2026-01-13,4880.0,4880.0,4800.0,4850.0,-0.61,540.0,2600670.0,-1
2026-01-14,4800.0,4899.8,4800.0,4886.0,1.79,340.0,1639220.0,1
2026-01-18,4797.0,4920.0,4796.0,4914.0,2.44,649.0,3173934.1,1
2026-01-20,4926.0,4951.0,4850.0,4934.0,0.16,733.0,3594982.0,1
2026-01-21,4966.7,4966.7,4860.0,4860.0,-2.15,277.0,1354956.0,-1
2026-01-22,4820.0,4932.0,4801.0,4801.0,-0.39,1078.0,5222173.0,-1
2026-01-25,4890.0,4890.0,4805.0,4878.3,-0.24,661.0,3191698.9,-1
2026-01-26,4964.9,4965.0,4816.0,4878.0,-1.75,492.0,2391261.0,-1
2026-01-27,4895.0,4895.0,4809.0,4854.0,-0.84,312.0,1510439.0,-1
2026-01-28,4878.0,4878.0,4781.0,4856.6,-0.44,254.0,1224819.0,-1
2026-01-29,4856.6,4878.0,4808.1,4848.9,-0.16,275.0,1329898.4,-1
2026-02-01,4802.3,4900.0,4802.3,4879.0,1.6,1088.0,5280295.0,1
2026-02-02,4790.0,4970.0,4790.0,4883.0,1.94,957.0,4670647.0,1
2026-02-03,4900.0,4900.0,4786.4,4859.0,-0.84,655.0,3160001.0,-1
2026-02-04,4762.0,4925.0,4762.0,4889.0,2.67,708.0,3429512.0,1
2026-02-05,4800.0,4894.4,4800.0,4865.0,1.35,452.0,2182311.0,1
2026-02-08,4811.0,4888.9,4778.0,4800.0,-0.23,1287.0,6180928.4,-1
2026-02-09,4859.0,4859.0,4773.3,4815.9,-0.89,280.0,1345245.0,-1
2026-02-10,4773.4,4909.9,4773.4,4843.0,1.46,330.0,1599210.0,1
2026-02-11,4770.0,4865.0,4770.0,4826.0,1.17,170.0,818391.0,1
2026-02-12,4820.0,4840.0,4768.0,4817.0,-0.06,460.0,2207480.0,-1
2026-02-16,4769.0,4834.0,4769.0,4780.0,0.23,322.0,1539594.0,1
2026-02-17,4825.0,4837.0,4750.0,4793.0,-0.66,547.0,2613497.0,-1
2026-02-22,4700.0,4794.0,4515.1,4600.0,-2.13,2702.0,12536227.7,-1
2026-02-23,4692.0,4739.0,4600.0,4600.0,-1.96,812.0,3763281.6,-1
2026-02-24,4659.0,4689.0,4601.0,4670.0,0.24,156.0,723673.0,1
2026-02-25,4600.5,4683.7,4600.5,4607.2,0.15,431.0,1998643.5,1
2026-02-26,4695.9,4695.9,4600.0,4620.0,-1.62,626.0,2890534.5,-1
2026-03-01,4601.0,4696.5,4582.0,4668.0,1.46,301.0,1400594.0,1
2026-03-03,4581.4,4748.9,4581.4,4621.0,0.86,1051.0,4912041.0,1
2026-03-09,4713.0,5000.0,4713.0,5000.0,6.09,70.0,340357.0,1
2026-03-10,5050.0,5050.0,4793.0,4890.0,-3.17,1394.0,6773288.9,-1
2026-03-11,4792.6,4886.9,4710.0,4715.9,-1.6,815.0,3891825.0,-1
2026-03-12,4701.0,4789.9,4701.0,4726.0,0.53,378.0,1796973.0,1
2026-03-15,4720.0,5187.0,4701.0,4867.0,3.11,1802.0,8669062.2,1
2026-03-16,4890.0,4890.0,4792.2,4858.6,-0.64,470.0,2264822.8,-1
2026-03-17,4918.0,4918.0,4773.0,4843.0,-1.53,222.0,1069431.2,-1
2026-03-19,4910.0,4910.0,4794.0,4858.0,-1.06,872.0,4211288.0,-1
2026-03-22,4870.0,4900.0,4851.1,4851.1,-0.39,594.0,2895610.0,-1
2026-03-23,4939.9,4939.9,4800.0,4821.0,-2.41,593.0,2875225.0,-1
2026-03-24,4887.9,5303.0,4850.0,5299.0,8.41,5425.0,27011953.5,1
2026-03-25,5200.0,5600.0,5100.0,5499.0,5.75,6884.0,37615976.8,1
2026-03-26,5391.0,5495.0,5202.0,5332.0,-1.09,1209.0,6454038.9,-1
2026-03-29,5225.4,5300.0,5067.6,5200.0,-0.49,1472.0,7633808.0,-1
2026-03-30,5096.0,5187.0,4994.0,5063.0,-0.65,1386.0,7031894.9,-1
2026-03-31,4966.0,5479.0,4905.0,5100.0,2.7,927.0,4708886.1,1
2026-04-01,5100.0,5197.0,4850.0,4886.0,-4.2,853.0,4253961.0,-1
2026-04-02,4801.0,5082.0,4791.0,5024.0,4.64,572.0,2837631.5,1
2026-04-05,5024.0,5024.0,4729.5,4837.0,-3.72,1686.0,8077065.5,-1
2026-04-06,4827.0,4998.0,4827.0,4958.0,2.71,558.0,2728103.5,1
2026-04-07,5050.0,5050.0,4859.0,4859.0,-3.78,584.0,2860523.6,-1
2026-04-08,4956.1,4956.1,4798.1,4888.0,-1.37,964.0,4652954.0,-1
2026-04-09,4968.0,5060.0,4869.7,4912.0,-1.13,1044.0,5161215.0,-1
2026-04-10,4960.0,5006.7,4857.0,4857.0,-2.08,712.0,3493287.0,-1
2026-04-13,4775.0,4931.0,4775.0,4851.1,1.59,472.0,2300885.9,1
2026-04-15,4928.9,5000.0,4920.0,4969.0,0.81,435.0,2154052.0,1
2026-04-16,4975.0,4975.0,4851.0,4910.0,-1.31,562.0,2756414.0,-1
2026-04-17,4968.8,4968.8,4835.0,4914.0,-1.1,161.0,785569.0,-1
2026-04-20,4780.1,4990.0,4780.1,4945.0,3.45,660.0,3213690.0,1
2026-04-21,4836.0,4920.0,4785.0,4895.0,1.22,400.0,1932955.5,1
2026-04-22,4774.0,4900.0,4774.0,4839.9,1.38,315.0,1518715.0,1
2026-04-23,4880.0,4900.0,4790.0,4864.0,-0.33,459.0,2224477.0,-1
2026-04-24,4755.0,4889.9,4719.0,4888.8,2.81,488.0,2338622.0,1
2026-04-27,4888.8,4896.0,4780.1,4799.0,-1.84,372.0,1791577.0,-1
2026-04-28,4799.0,5242.0,4757.1,4780.0,-0.4,511.0,2475348.7,-1
2026-04-29,4780.0,4884.0,4755.1,4841.0,1.28,515.0,2463919.0,1
2026-04-30,4840.0,4840.0,4710.0,4814.9,-0.52,130.0,624168.0,-1
2026-05-04,4730.2,4830.0,4700.2,4750.0,0.42,459.0,2174771.2,1
2026-05-05,4701.2,4814.0,4701.2,4730.0,0.61,240.0,1142216.0,1
2026-05-06,4831.0,4831.0,4707.0,4715.1,-2.4,321.0,1526234.0,-1
2026-05-07,4814.0,4814.0,4722.1,4799.0,-0.31,301.0,1429893.0,-1
2026-05-08,4844.0,4844.0,4740.0,4795.0,-1.01,351.0,1689189.0,-1
2026-05-11,4849.0,4849.0,4746.0,4848.8,-0.0,381.0,1833355.5,-1
2026-05-12,4900.0,4948.0,4731.0,4733.1,-3.41,575.0,2752284.0,-1
2026-05-13,4833.0,4833.0,4731.3,4800.0,-0.68,251.0,1201860.0,-1
2026-05-14,4705.0,4820.0,4705.0,4813.6,2.31,100.0,476580.0,1
2026-05-15,4830.0,4844.0,4728.0,4830.0,0.0,139.0,667993.0,0
2026-05-18,4888.0,4888.0,4734.5,4805.0,-1.7,96.0,460075.0,-1
2026-05-19,4826.0,4836.0,4726.0,4742.1,-1.74,364.0,1735071.1,-1
2026-05-20,4826.0,4826.0,4745.0,4820.0,-0.12,148.0,707859.0,-1
2026-05-21,4850.0,4949.0,4765.0,4820.0,-0.62,171.0,824471.0,-1
2026-05-22,4833.0,4833.0,4750.2,4800.0,-0.68,135.0,646260.0,-1
2026-05-25,4818.9,4832.9,4766.1,4815.0,-0.08,215.0,1030517.8,-1
2026-05-26,4800.0,4823.9,4755.0,4810.0,0.21,200.0,957791.0,1
2026-05-27,4879.0,4880.0,4751.0,4836.0,-0.88,391.0,1884349.0,-1
2026-06-01,4600.0,4738.0,4466.0,4515.0,-1.85,2775.0,12697380.0,-1
2026-06-02,4500.0,4600.0,4271.1,4580.0,1.78,3117.0,13860861.5,1
2026-06-03,4444.0,4599.0,4444.0,4570.0,2.84,480.0,2188464.0,1
2026-06-04,4570.0,4584.0,4457.0,4482.1,-1.92,258.0,1168940.0,-1
2026-06-05,4482.1,4510.0,4400.0,4475.0,-0.16,493.0,2188995.5,-1
2026-06-08,4388.1,4450.0,4296.0,4388.0,-0.0,1266.0,5488174.0,-1
2026-06-09,4425.0,4425.0,4206.0,4370.0,-1.24,1549.0,6641321.0,-1
2026-06-10,4261.0,4388.0,4261.0,4350.0,2.09,198.0,857028.0,1
2026-06-11,4310.0,4340.0,4291.1,4292.0,-0.42,266.0,1146943.5,-1
2026-06-12,4300.0,4324.9,4218.0,4310.0,0.23,341.0,1459686.0,1
2026-06-15,4310.0,4310.0,4234.0,4250.0,-1.39,140.0,596335.0,-1
2026-06-16,4400.0,4400.0,4186.0,4269.0,-2.98,220.0,939450.0,-1
2026-06-17,4100.0,4289.0,4100.0,4240.0,3.41,160.0,677463.0,1
2026-06-18,4270.0,4270.0,4175.0,4254.0,-0.37,348.0,1468325.0,-1
2026-06-19,4285.0,4300.0,4181.0,4285.0,0.0,496.0,2098780.4,0
2026-06-22,4349.0,4349.0,4191.1,4325.0,-0.55,694.0,2983695.0,-1
2026-06-23,4250.0,4345.0,4220.5,4250.1,0.0,280.0,1202143.0,1
2026-06-24,4123.0,4480.0,4123.0,4298.0,4.24,602.0,2545612.0,1
2026-06-25,4298.0,4333.0,4185.2,4200.0,-2.28,200.0,851301.0,-1
2026-06-26,4290.0,4293.0,4190.0,4260.0,-0.7,254.0,1076835.0,-1
2026-06-29,4279.9,4280.0,4155.0,4246.9,-0.77,211.0,891927.0,-1
2026-06-30,4141.0,4261.0,4141.0,4162.0,0.51,193.0,809019.0,1
2026-07-01,4234.9,4280.0,4126.1,4279.0,1.04,375.0,1581014.0,1
2026-07-02,4160.3,4277.0,4160.3,4260.0,2.4,150.0,633797.0,1
2026-07-03,4298.9,4298.9,4201.0,4286.0,-0.3,127.0,541756.5,-1
2026-07-06,4192.0,4263.9,4136.0,4136.0,-1.34,351.0,1472100.0,-1
2026-07-07,4238.0,4238.0,4150.0,4223.0,-0.35,623.0,2618055.0,-1
2026-07-08,4112.0,4235.0,4112.0,4215.0,2.5,223.0,928016.0,1
2026-07-09,4115.0,4194.0,4101.0,4101.0,-0.34,155.0,638956.0,-1
2026-07-10,4195.0,4198.9,4100.0,4168.0,-0.64,205.0,847833.0,-1
2026-07-13,4091.0,4148.0,4055.0,4070.0,-0.51,272.0,1109267.0,-1
2026-07-14,4053.7,4128.0,4021.1,4128.0,1.83,240.0,977466.0,1
2026-07-15,4126.9,4175.0,4051.0,4154.0,0.66,277.0,1137160.0,1
2026-07-16,4239.0,4239.0,4103.0,4169.0,-1.65,60.0,249196.0,-1
2026-07-17,4260.0,4260.0,4115.0,4199.9,-1.41,80.0,335409.0,-1
2026-07-20,4101.0,4300.0,4101.0,4250.0,3.63,291.0,1234804.0,1
2026-07-21,4299.7,4696.0,4156.0,4390.0,2.1,1912.0,8330179.0,1
2026-07-22,4300.0,4400.0,4256.0,4268.0,-0.74,545.0,2356241.0,-1
2026-07-23,4379.0,4390.0,4241.0,4390.0,0.25,397.0,1724000.0,1
2026-07-24,4310.0,4389.0,4262.0,4375.0,1.51,126.0,543982.0,1
