published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,4840.0,4903.5,4840.0,4879.9,0.82,160.0,778954.0,1
2025-12-09,4925.0,4925.0,4842.3,4883.0,-0.85,161.0,784042.0,-1
2025-12-10,4895.0,4895.0,4733.7,4879.0,-0.33,1220.0,5874790.4,-1
2025-12-11,4883.8,4887.0,4806.3,4879.9,-0.08,163.0,790972.0,-1
2025-12-14,4820.0,4888.9,4793.4,4855.0,0.73,136.0,657781.0,1
2025-12-15,4878.9,4878.9,4797.0,4869.9,-0.18,98.0,475786.0,-1
2025-12-16,4792.1,4871.9,4792.1,4863.0,1.48,177.0,856868.0,1
2025-12-17,4860.0,4890.0,4849.0,4849.1,-0.22,174.0,845031.0,-1
2025-12-18,4807.1,4882.0,4807.1,4873.9,1.39,162.0,788222.5,1
2025-12-21,4790.1,4873.0,4790.1,4820.1,0.63,291.0,1404670.0,1
2025-12-22,4820.0,4865.7,4811.0,4850.0,0.62,80.0,386323.0,1
2025-12-23,4859.0,4859.0,4820.0,4850.0,-0.19,123.0,594706.0,-1
2025-12-24,4755.1,4938.9,4755.1,4864.0,2.29,234.0,1136124.8,1
2025-12-28,4900.0,4900.0,4820.7,4896.6,-0.07,156.0,761584.6,-1
2025-12-29,4800.0,4895.6,4800.0,4860.0,1.25,260.0,1263126.5,1
2025-12-31,4860.0,4888.7,4840.0,4877.0,0.35,166.0,806219.0,1
2026-01-01,4829.0,4869.0,4795.0,4818.9,-0.21,417.0,2007328.4,-1
2026-01-04,4847.0,4848.0,4755.0,4839.0,-0.17,135.0,648212.0,-1
2026-01-05,4766.0,4860.0,4766.0,4848.0,1.72,332.0,1597763.1,1
2026-01-06,4779.0,4879.9,4779.0,4877.9,2.07,497.0,2416617.0,1
2026-01-07,4785.1,4888.7,4785.1,4880.0,1.98,280.0,1358062.0,1
2026-01-08,4831.0,4890.0,4806.0,4865.0,0.7,390.0,1896872.8,1
2026-01-12,4802.0,4874.3,4769.0,4800.0,-0.04,853.0,4098568.0,-1
2026-01-13,4880.0,4880.0,4800.0,4850.0,-0.61,540.0,2600670.0,-1
2026-01-14,4800.0,4899.8,4800.0,4886.0,1.79,340.0,1639220.0,1
2026-01-18,4797.0,4920.0,4796.0,4914.0,2.44,649.0,3173934.1,1
2026-01-20,4926.0,4951.0,4850.0,4934.0,0.16,733.0,3594982.0,1
2026-01-21,4966.7,4966.7,4860.0,4860.0,-2.15,277.0,1354956.0,-1
2026-01-22,4820.0,4932.0,4801.0,4801.0,-0.39,1078.0,5222173.0,-1
2026-01-25,4890.0,4890.0,4805.0,4878.3,-0.24,661.0,3191698.9,-1
2026-01-26,4964.9,4965.0,4816.0,4878.0,-1.75,492.0,2391261.0,-1
2026-01-27,4895.0,4895.0,4809.0,4854.0,-0.84,312.0,1510439.0,-1
2026-01-28,4878.0,4878.0,4781.0,4856.6,-0.44,254.0,1224819.0,-1
2026-01-29,4856.6,4878.0,4808.1,4848.9,-0.16,275.0,1329898.4,-1
2026-02-01,4802.3,4900.0,4802.3,4879.0,1.6,1088.0,5280295.0,1
2026-02-02,4790.0,4970.0,4790.0,4883.0,1.94,957.0,4670647.0,1
2026-02-03,4900.0,4900.0,4786.4,4859.0,-0.84,655.0,3160001.0,-1
2026-02-04,4762.0,4925.0,4762.0,4889.0,2.67,708.0,3429512.0,1
2026-02-05,4800.0,4894.4,4800.0,4865.0,1.35,452.0,2182311.0,1
2026-02-08,4811.0,4888.9,4778.0,4800.0,-0.23,1287.0,6180928.4,-1
2026-02-09,4859.0,4859.0,4773.3,4815.9,-0.89,280.0,1345245.0,-1
2026-02-10,4773.4,4909.9,4773.4,4843.0,1.46,330.0,1599210.0,1
2026-02-11,4770.0,4865.0,4770.0,4826.0,1.17,170.0,818391.0,1
2026-02-12,4820.0,4840.0,4768.0,4817.0,-0.06,460.0,2207480.0,-1
2026-02-16,4769.0,4834.0,4769.0,4780.0,0.23,322.0,1539594.0,1
2026-02-17,4825.0,4837.0,4750.0,4793.0,-0.66,547.0,2613497.0,-1
2026-02-22,4700.0,4794.0,4515.1,4600.0,-2.13,2702.0,12536227.7,-1
2026-02-23,4692.0,4739.0,4600.0,4600.0,-1.96,812.0,3763281.6,-1
2026-02-24,4659.0,4689.0,4601.0,4670.0,0.24,156.0,723673.0,1
2026-02-25,4600.5,4683.7,4600.5,4607.2,0.15,431.0,1998643.5,1
2026-02-26,4695.9,4695.9,4600.0,4620.0,-1.62,626.0,2890534.5,-1
2026-03-01,4601.0,4696.5,4582.0,4668.0,1.46,301.0,1400594.0,1
2026-03-03,4581.4,4748.9,4581.4,4621.0,0.86,1051.0,4912041.0,1
2026-03-09,4713.0,5000.0,4713.0,5000.0,6.09,70.0,340357.0,1
2026-03-10,5050.0,5050.0,4793.0,4890.0,-3.17,1394.0,6773288.9,-1
2026-03-11,4792.6,4886.9,4710.0,4715.9,-1.6,815.0,3891825.0,-1
2026-03-12,4701.0,4789.9,4701.0,4726.0,0.53,378.0,1796973.0,1
2026-03-15,4720.0,5187.0,4701.0,4867.0,3.11,1802.0,8669062.2,1
2026-03-16,4890.0,4890.0,4792.2,4858.6,-0.64,470.0,2264822.8,-1
2026-03-17,4918.0,4918.0,4773.0,4843.0,-1.53,222.0,1069431.2,-1
2026-03-19,4910.0,4910.0,4794.0,4858.0,-1.06,872.0,4211288.0,-1
2026-03-22,4870.0,4900.0,4851.1,4851.1,-0.39,594.0,2895610.0,-1
2026-03-23,4939.9,4939.9,4800.0,4821.0,-2.41,593.0,2875225.0,-1
2026-03-24,4887.9,5303.0,4850.0,5299.0,8.41,5425.0,27011953.5,1
2026-03-25,5200.0,5600.0,5100.0,5499.0,5.75,6884.0,37615976.8,1
2026-03-26,5391.0,5495.0,5202.0,5332.0,-1.09,1209.0,6454038.9,-1
2026-03-29,5225.4,5300.0,5067.6,5200.0,-0.49,1472.0,7633808.0,-1
2026-03-30,5096.0,5187.0,4994.0,5063.0,-0.65,1386.0,7031894.9,-1
2026-03-31,4966.0,5479.0,4905.0,5100.0,2.7,927.0,4708886.1,1
2026-04-01,5100.0,5197.0,4850.0,4886.0,-4.2,853.0,4253961.0,-1
2026-04-02,4801.0,5082.0,4791.0,5024.0,4.64,572.0,2837631.5,1
2026-04-05,5024.0,5024.0,4729.5,4837.0,-3.72,1686.0,8077065.5,-1
