published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,724.9,781.7,724.9,781.7,7.84,6050.0,4726185.0,1
2025-12-09,769.2,859.8,769.2,859.8,11.78,37290.0,32058270.0,1
2025-12-10,876.9,930.0,814.9,830.2,-5.33,311450.0,263942843.5,-1
2025-12-11,820.0,890.0,800.1,879.9,7.3,148500.0,123512074.5,1
2025-12-14,862.4,867.0,830.0,839.0,-2.71,91110.0,77074289.0,-1
2025-12-15,839.0,844.0,825.1,834.1,-0.58,76908.0,64237329.6,-1
2025-12-16,825.1,840.0,825.1,833.9,1.07,52517.0,43736147.9,1
2025-12-17,827.1,844.0,825.0,825.6,-0.18,48525.0,40435997.6,-1
2025-12-18,825.6,835.0,811.0,814.0,-1.41,70476.0,57642742.8,-1
2025-12-21,829.9,829.9,800.0,800.0,-3.6,65040.0,52279278.0,-1
2025-12-22,816.0,816.0,780.1,782.0,-4.17,57231.0,44910383.6,-1
2025-12-23,780.0,805.0,767.0,784.6,0.59,57477.0,44842198.6,1
2025-12-24,785.0,802.0,771.0,773.6,-1.45,40256.0,31515167.9,-1
2025-12-28,760.0,794.8,760.0,778.9,2.49,48704.0,37851431.5,1
2025-12-29,763.4,827.4,763.4,818.0,7.15,104295.0,84409979.7,1
2025-12-31,834.3,870.0,810.0,851.2,2.03,159892.0,135846288.2,1
2026-01-01,851.2,882.0,840.0,854.0,0.33,129484.0,112327193.6,1
2026-01-04,837.0,939.4,837.0,939.4,12.23,253711.0,228805289.9,1
2026-01-05,958.1,1033.3,941.1,1033.3,7.85,160424.0,161433910.5,1
2026-01-06,1050.0,1119.9,976.1,980.0,-6.67,169345.0,176564369.7,-1
2026-01-07,960.4,1027.1,952.8,970.1,1.01,238563.0,235565668.9,1
2026-01-08,970.1,1019.0,952.0,1013.0,4.42,133885.0,133165515.1,1
2026-01-12,1000.0,1114.3,1000.0,1114.3,11.43,236576.0,255217158.8,1
2026-01-13,1120.0,1182.0,1079.0,1125.0,0.45,235297.0,265722384.3,1
2026-01-14,1102.5,1142.19,1095.3,1100.0,-0.23,104597.0,116933771.6,-1
2026-01-18,1078.0,1210.0,1078.0,1210.0,12.24,242443.0,284573620.2,1
2026-01-20,1230.0,1331.0,1216.0,1282.2,4.24,161975.0,207103094.7,1
2026-01-21,1307.8,1307.8,1250.0,1271.0,-2.81,120977.0,154339471.7,-1
2026-01-22,1271.0,1398.1,1251.0,1398.1,10.0,185329.0,249750826.6,1
2026-01-25,1426.0,1537.9,1416.0,1537.9,7.85,155279.0,235254478.9,1
