published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1300.0,1352.5,1251.2,1326.0,2.0,15549.0,19779050.7,1
2025-12-09,1352.5,1352.5,1280.0,1315.5,-2.74,11049.0,14417661.2,-1
2025-12-10,1290.2,1315.0,1280.1,1285.0,-0.4,4333.0,5575369.3,-1
2025-12-11,1290.0,1350.0,1262.0,1288.0,-0.16,7639.0,9784412.0,-1
2025-12-14,1270.0,1280.0,1256.1,1257.0,-1.02,7230.0,9159841.7,-1
2025-12-15,1255.0,1306.0,1241.1,1267.0,0.96,4477.0,5623306.2,1
2025-12-16,1245.0,1280.0,1245.0,1257.0,0.96,5899.0,7434647.4,1
2025-12-17,1250.0,1269.0,1244.0,1249.9,-0.01,9100.0,11390953.6,-1
2025-12-18,1249.7,1256.0,1230.0,1230.0,-1.58,6380.0,7912138.1,-1
2025-12-21,1230.0,1230.0,1195.0,1196.0,-2.76,13602.0,16378567.5,-1
2025-12-22,1185.0,1196.0,1182.1,1183.0,-0.17,4827.0,5730376.5,-1
2025-12-23,1165.1,1219.9,1165.1,1200.0,3.0,5703.0,6776001.4,1
2025-12-24,1200.0,1223.0,1180.0,1191.0,-0.75,3853.0,4583879.5,-1
2025-12-28,1191.0,1213.0,1191.0,1207.9,1.42,4582.0,5515166.8,1
2025-12-29,1200.0,1224.0,1190.2,1195.0,-0.42,5274.0,6333579.2,-1
2025-12-31,1171.1,1215.0,1171.1,1196.0,2.13,5476.0,6580371.5,1
2026-01-01,1182.0,1225.0,1182.0,1206.9,2.11,7154.0,8658469.2,1
2026-01-04,1210.0,1232.0,1190.0,1232.0,1.82,9335.0,11307753.1,1
2026-01-05,1230.0,1294.0,1229.0,1280.0,4.07,25980.0,33007647.5,1
2026-01-06,1298.0,1305.0,1250.0,1250.0,-3.7,13257.0,16905236.1,-1
2026-01-07,1273.0,1273.0,1225.1,1233.0,-3.14,12144.0,15017205.6,-1
2026-01-08,1233.0,1255.0,1211.0,1225.0,-0.65,8210.0,10045945.3,-1
2026-01-12,1220.0,1253.0,1215.5,1242.0,1.8,9314.0,11571439.3,1
2026-01-13,1245.0,1265.0,1222.0,1240.0,-0.4,8680.0,10827947.0,-1
2026-01-14,1230.0,1264.0,1220.0,1220.0,-0.81,17724.0,22111769.6,-1
2026-01-18,1230.0,1264.0,1230.0,1236.1,0.5,14189.0,17709312.2,1
2026-01-20,1260.0,1285.2,1250.0,1253.0,-0.56,18875.0,23820782.4,-1
2026-01-21,1250.1,1290.0,1250.0,1266.2,1.29,19875.0,25252307.9,1
2026-01-22,1270.0,1317.0,1262.2,1316.0,3.62,41471.0,53548223.9,1
2026-01-25,1340.0,1447.6,1340.0,1447.6,8.03,61004.0,86279031.2,1
2026-01-26,1447.6,1516.0,1441.0,1460.0,0.86,70981.0,105015295.3,1
2026-01-27,1455.0,1512.0,1364.3,1395.0,-4.12,52850.0,76474823.5,-1
2026-01-28,1395.0,1410.0,1350.0,1375.0,-1.43,22320.0,30643132.4,-1
