published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,652.5,665.2,652.0,660.1,1.16,5611.0,3702644.3,1
2025-12-09,660.0,663.8,656.3,660.0,0.0,4012.0,2639944.7,0
2025-12-10,650.0,663.9,650.0,663.0,2.0,1805.0,1187402.6,1
2025-12-11,665.0,668.4,652.0,652.0,-1.95,5110.0,3348949.6,-1
2025-12-14,647.0,655.0,645.0,646.0,-0.15,5979.0,3869858.1,-1
2025-12-15,645.0,654.9,645.0,650.0,0.78,2477.0,1607530.4,1
2025-12-16,650.0,654.9,645.0,654.8,0.74,8767.0,5700799.8,1
2025-12-17,660.0,664.5,652.0,658.0,-0.3,1083.0,710318.0,-1
2025-12-18,648.0,660.0,646.0,655.6,1.17,4299.0,2785008.5,1
2025-12-21,643.0,665.0,633.0,645.0,0.31,6365.0,4085010.3,1
2025-12-22,640.0,642.0,629.0,642.0,0.31,6401.0,4057926.2,1
2025-12-23,646.9,650.0,632.0,640.0,-1.07,5279.0,3396118.7,-1
2025-12-24,632.1,643.4,630.8,631.0,-0.17,6710.0,4240627.6,-1
2025-12-28,633.3,642.9,633.0,642.9,1.52,7885.0,5026616.7,1
2025-12-29,655.4,655.4,633.1,637.9,-2.67,5431.0,3463742.6,-1
2025-12-31,647.0,650.0,634.5,643.0,-0.62,7062.0,4509963.2,-1
2026-01-01,649.0,649.0,632.1,639.8,-1.42,5171.0,3281004.9,-1
2026-01-04,649.0,649.0,628.1,636.0,-2.0,1359.0,859722.9,-1
2026-01-05,636.0,647.1,633.0,633.1,-0.46,3417.0,2176349.2,-1
2026-01-06,640.0,645.0,635.1,639.9,-0.02,6888.0,4394328.4,-1
2026-01-07,630.5,659.0,630.5,640.0,1.51,5578.0,3616025.7,1
2026-01-08,652.6,652.6,628.1,634.2,-2.82,4372.0,2783921.2,-1
2026-01-12,640.0,640.0,630.0,634.0,-0.94,9231.0,5830912.2,-1
2026-01-13,645.0,645.0,622.1,626.0,-2.95,7645.0,4785321.8,-1
2026-01-14,623.1,632.0,620.0,629.5,1.03,8667.0,5411790.6,1
2026-01-18,622.2,640.0,622.2,640.0,2.86,4811.0,3061838.2,1
2026-01-20,628.0,651.5,628.0,644.0,2.55,14557.0,9403473.2,1
2026-01-21,632.1,653.0,632.1,648.0,2.52,10963.0,7105840.4,1
2026-01-22,636.0,669.9,636.0,669.9,5.33,65392.0,42571185.6,1
2026-01-25,683.0,683.0,660.0,675.0,-1.17,20071.0,13506209.8,-1
2026-01-26,677.0,677.0,665.0,665.0,-1.77,18273.0,12211003.3,-1
