published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,11987.0,11999.0,11900.1,11998.0,0.09,112.0,1339515.0,1
2025-12-09,11900.2,11965.3,11865.9,11865.9,-0.29,60.0,714316.0,-1
2025-12-10,11860.2,11860.2,11800.1,11800.3,-0.51,182.0,2151122.2,-1
2025-12-14,11800.0,11800.0,11762.0,11800.0,0.0,83.0,977990.0,0
2025-12-15,11800.1,11800.1,11765.0,11765.0,-0.3,20.0,235651.0,-1
2025-12-16,11999.0,12020.0,11999.0,12020.0,0.18,70.0,840290.0,1
2025-12-17,12000.0,12000.0,11950.0,12000.0,0.0,70.0,839498.0,0
2025-12-23,11801.0,11801.0,11710.1,11710.1,-0.77,30.0,353111.0,-1
2025-12-24,11942.0,11944.3,11942.0,11944.3,0.02,90.0,1074961.0,1
2025-12-28,12000.0,12100.0,11999.0,12050.0,0.42,564.0,6775941.8,1
2025-12-29,12000.0,12000.0,11980.0,12000.0,0.0,150.0,1799800.0,0
2025-12-31,12030.0,12060.0,12010.0,12060.0,0.25,80.0,962600.0,1
2026-01-01,12020.0,12060.0,12000.0,12005.0,-0.12,193.0,2318028.8,-1
2026-01-05,11998.0,12000.0,11998.0,12000.0,0.02,70.0,839948.0,1
2026-01-06,11801.0,11801.0,11800.0,11800.0,-0.01,40.0,472010.0,-1
2026-01-07,11775.0,11775.0,11775.0,11775.0,0.0,20.0,235500.0,0
2026-01-08,11900.0,12010.0,11900.0,12000.0,0.84,163.0,1954997.7,1
2026-01-12,11810.0,11810.0,11810.0,11810.0,0.0,10.0,118100.0,0
2026-01-13,11999.0,11999.0,11851.0,11851.0,-1.23,20.0,238500.0,-1
2026-01-14,11680.0,11760.0,11670.0,11710.0,0.26,140.0,1640580.0,1
2026-01-18,11944.0,11944.0,11944.0,11944.0,0.0,10.0,119440.0,0
2026-01-20,12150.0,12150.0,12000.0,12030.0,-0.99,50.0,604800.0,-1
2026-01-21,12030.0,12030.0,11800.0,11800.0,-1.91,80.0,950330.0,-1
2026-01-22,11700.0,11950.0,11655.0,11950.0,2.14,33.0,388015.0,1
2026-01-25,11900.0,12200.0,11900.0,12200.0,2.52,303.0,3677397.7,1
2026-01-26,11971.0,11971.0,11962.0,11962.0,-0.08,163.0,1950076.0,-1
2026-01-27,12200.0,12200.0,11961.0,12000.0,-1.64,140.0,1682950.0,-1
2026-01-28,12228.0,12228.0,12228.0,12228.0,0.0,10.0,122280.0,0
2026-01-29,12010.0,12010.0,11800.0,11800.0,-1.75,641.0,7580931.2,-1
2026-02-01,11700.0,12030.0,11700.0,12030.0,2.82,20.0,237300.0,1
2026-02-02,12000.0,12000.0,12000.0,12000.0,0.0,70.0,840000.0,0
2026-02-03,11764.0,11790.0,11530.0,11790.0,0.22,185.0,2168140.0,1
2026-02-04,11722.0,11722.0,11722.0,11722.0,0.0,20.0,234440.0,0
2026-02-05,11900.0,11956.0,11900.0,11956.0,0.47,60.0,715660.0,1
2026-02-08,11755.0,11755.0,11741.1,11741.1,-0.12,20.0,234961.0,-1
2026-02-09,11975.0,11975.0,11800.0,11830.0,-1.21,180.0,2132250.0,-1
2026-02-10,12000.0,12000.0,12000.0,12000.0,0.0,10.0,120000.0,0
2026-02-11,12000.0,12000.5,12000.0,12000.0,0.0,110.0,1320025.0,0
2026-02-12,11950.0,12000.0,11950.0,12000.0,0.42,175.0,2097600.0,1
2026-02-16,12000.0,12000.0,12000.0,12000.0,0.0,30.0,360000.0,0
2026-02-17,11999.9,12000.0,11810.0,11810.0,-1.58,87.0,1040769.0,-1
2026-02-22,11697.0,11697.0,11697.0,11697.0,0.0,10.0,116970.0,0
2026-02-23,11930.0,12168.6,11930.0,12168.6,2.0,20.0,240986.0,1
2026-02-26,11927.0,12168.0,11927.0,12168.0,2.02,50.0,605930.0,1
2026-03-01,11924.7,11924.7,11851.0,11851.0,-0.62,40.0,474777.0,-1
2026-03-03,11614.0,11847.0,11614.0,11847.0,2.01,80.0,941925.0,1
2026-03-10,12000.0,12200.0,12000.0,12200.0,1.67,130.0,1577655.0,1
2026-03-12,12011.0,12100.0,11956.0,12000.0,-0.09,140.0,1681460.0,-1
2026-03-15,12240.0,12478.0,12240.0,12478.0,1.94,400.0,4979099.0,1
2026-03-16,12240.0,12241.0,12001.0,12241.0,0.01,110.0,1341550.0,1
2026-03-17,12300.0,12300.0,12300.0,12300.0,0.0,30.0,369000.0,0
2026-03-19,12400.0,12647.0,12300.0,12647.0,1.99,210.0,2603848.0,1
2026-03-22,12700.1,12900.0,12700.0,12900.0,1.57,316.0,4071826.0,1
2026-03-23,12642.0,13010.1,12401.0,12900.0,2.04,225.0,2887770.0,1
2026-03-24,13148.9,13420.9,12800.0,12800.0,-2.65,709.0,9234834.0,-1
2026-03-25,13000.0,13000.0,12751.0,12751.0,-1.92,40.0,512710.0,-1
2026-03-26,12800.0,12800.0,12545.0,12800.0,0.0,110.0,1395860.0,0
2026-03-29,12863.0,12863.0,12355.1,12355.1,-3.95,340.0,4237711.0,-1
2026-03-30,12355.0,12355.0,12300.0,12300.0,-0.45,50.0,615860.0,-1
2026-03-31,12545.0,12546.0,12200.0,12200.0,-2.75,230.0,2848460.0,-1
2026-04-01,12232.0,12400.0,12231.0,12231.0,-0.01,120.0,1472930.0,-1
2026-04-02,11990.0,12720.0,11750.0,12720.0,6.09,310.0,3784522.3,1
2026-04-05,12465.6,12465.6,11732.6,11732.6,-5.88,70.0,838255.0,-1
2026-04-06,11967.2,12206.5,11967.2,12206.5,2.0,21.0,253704.2,1
2026-04-07,11970.0,11970.0,11965.0,11965.0,-0.04,20.0,239350.0,-1
2026-04-08,12204.0,12645.0,12204.0,12393.0,1.55,137.0,1715467.0,1
2026-04-09,12146.0,12388.9,12146.0,12388.9,2.0,112.0,1363265.0,1
2026-04-13,12600.0,12600.0,12600.0,12600.0,0.0,20.0,252000.0,0
2026-04-15,12499.0,12600.0,12499.0,12600.0,0.81,440.0,5541990.0,1
2026-04-16,12590.0,12590.0,12590.0,12590.0,0.0,20.0,251800.0,0
2026-04-17,12348.0,12348.0,12115.0,12115.0,-1.89,20.0,244630.0,-1
2026-04-21,11911.0,11911.0,11911.0,11911.0,0.0,50.0,595550.0,0
2026-04-22,12100.0,12268.0,12100.0,12268.0,1.39,50.0,609360.0,1
2026-04-24,12268.0,11902.0,11901.0,11901.0,-2.99,30.0,357040.0,-1
2026-04-27,11901.0,12000.0,11900.0,11900.0,-0.01,110.0,1310222.0,-1
2026-04-28,11900.0,12097.8,11745.5,12097.8,1.66,69.0,817148.0,1
2026-05-04,11740.0,11740.0,11740.0,11740.0,0.0,10.0,117400.0,0
2026-05-07,11550.0,11550.0,11550.0,11550.0,0.0,10.0,115500.0,0
2026-05-11,11896.5,11896.5,11896.5,11896.5,0.0,10.0,118965.0,0
2026-05-13,11651.2,11651.2,11651.2,11651.2,0.0,10.0,116512.0,0
2026-05-14,11601.3,12000.7,11302.0,12000.7,3.44,220.0,2550978.0,1
2026-05-15,12100.0,12100.0,12100.0,12100.0,0.0,10.0,121000.0,0
2026-05-19,11738.0,11783.0,11440.0,11783.0,0.38,140.0,1637710.0,1
2026-05-20,11999.0,12136.4,11999.0,12136.4,1.15,210.0,2540278.0,1
2026-05-22,12136.4,12136.4,11800.0,11800.0,-2.77,30.0,359046.0,-1
2026-05-25,11705.0,11705.0,11700.0,11700.0,-0.04,100.0,1170180.0,-1
2026-05-26,11895.0,11895.0,11895.0,11895.0,0.0,20.0,237900.0,0
2026-05-27,11990.0,12725.4,11990.0,12162.0,1.43,200.0,2462808.0,1
2026-06-01,11800.1,11900.2,11800.0,11900.1,0.85,65.0,770505.0,1
2026-06-02,11995.0,12000.0,11995.0,12000.0,0.04,30.0,359950.0,1
2026-06-03,12000.0,12360.0,12000.0,12360.0,3.0,580.0,7018589.0,1
2026-06-05,11990.0,11990.0,11703.6,11900.0,-0.75,110.0,1297405.0,-1
2026-06-08,12250.0,12250.0,11885.0,11885.0,-2.98,25.0,303850.0,-1
2026-06-09,11885.0,11885.0,11885.0,11885.0,0.0,10.0,118850.0,0
2026-06-10,11885.0,11885.0,11885.0,11885.0,0.0,10.0,118850.0,0
2026-06-11,11713.2,11715.5,11713.2,11715.5,0.02,20.0,234287.0,1
2026-06-15,11700.0,11725.0,11700.0,11700.0,0.0,60.0,702560.0,0
2026-06-16,11750.0,11750.0,11750.0,11750.0,0.0,10.0,117500.0,0
2026-06-17,11700.0,11700.0,11600.2,11600.2,-0.85,20.0,233002.0,-1
2026-06-18,11700.0,11700.0,11700.0,11700.0,0.0,28.0,327600.0,0
2026-06-19,11552.0,11552.0,11550.0,11550.0,-0.02,50.0,577530.0,-1
2026-06-22,11500.0,11500.0,11340.0,11365.0,-1.17,130.0,1483251.0,-1
2026-06-23,11160.1,11494.9,11160.1,11494.9,3.0,100.0,1142794.0,1
