published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,872.0,872.0,865.1,867.0,-0.57,14388.0,12490094.4,-1
2025-12-09,863.5,875.0,863.5,869.1,0.65,4143.0,3601959.2,1
2025-12-10,875.0,875.0,868.0,869.0,-0.69,3360.0,2925339.9,-1
2025-12-11,876.5,877.0,868.0,869.0,-0.86,3645.0,3175569.7,-1
2025-12-14,871.0,885.9,871.0,878.1,0.82,20538.0,18019024.7,1
2025-12-15,880.0,883.0,872.2,882.0,0.23,11629.0,10229660.6,1
2025-12-16,888.0,894.0,888.0,894.0,0.68,16349.0,14565749.1,1
2025-12-17,896.0,896.0,890.7,891.0,-0.56,16745.0,14961967.0,-1
2025-12-18,888.0,893.0,881.2,892.9,0.55,14064.0,12500256.7,1
2025-12-21,899.0,899.0,885.3,892.0,-0.78,15419.0,13708191.2,-1
2025-12-22,886.0,889.9,886.0,886.1,0.01,16352.0,14518905.5,1
2025-12-23,890.0,890.0,880.0,882.0,-0.9,52380.0,46324455.5,-1
2025-12-24,775.0,775.0,756.6,762.0,-1.68,34858.0,26597334.0,-1
2025-12-28,765.0,777.0,765.0,775.0,1.31,22096.0,17002040.5,1
2025-12-29,790.0,790.0,774.0,775.5,-1.84,15447.0,12016230.2,-1
2025-12-31,784.9,784.9,775.0,776.9,-1.02,13258.0,10295222.6,-1
2026-01-01,784.9,784.9,774.0,776.0,-1.13,6022.0,4675377.3,-1
2026-01-04,764.0,778.0,764.0,770.1,0.8,7558.0,5841482.8,1
2026-01-05,767.0,771.0,762.3,771.0,0.52,13901.0,10680945.8,1
2026-01-06,771.0,780.0,770.1,772.0,0.13,10709.0,8312773.6,1
2026-01-07,777.0,779.0,769.1,773.6,-0.44,9007.0,6977394.0,-1
2026-01-08,770.0,781.0,765.0,781.0,1.43,11767.0,9122069.5,1
2026-01-12,789.0,789.0,768.3,771.1,-2.27,11662.0,9036555.8,-1
2026-01-13,770.0,775.0,768.1,773.0,0.39,9089.0,7011857.0,1
2026-01-14,781.0,781.0,765.4,771.0,-1.28,12054.0,9284513.1,-1
2026-01-18,780.1,786.4,776.1,779.0,-0.14,13139.0,10246420.0,-1
2026-01-20,789.0,799.8,785.0,790.0,0.13,23822.0,18925661.5,1
2026-01-21,785.0,795.0,781.2,791.0,0.76,19326.0,15297379.4,1
2026-01-22,800.0,800.0,784.0,793.0,-0.88,11059.0,8729923.2,-1
2026-01-25,800.0,804.0,790.0,796.0,-0.5,17265.0,13718508.5,-1
2026-01-26,800.0,800.0,792.0,792.0,-1.0,11596.0,9216006.0,-1
2026-01-27,793.0,797.0,783.0,783.0,-1.26,18800.0,14861059.6,-1
2026-01-28,772.0,788.0,772.0,775.0,0.39,10476.0,8154274.3,1
2026-01-29,785.0,785.0,773.0,782.0,-0.38,7992.0,6233957.2,-1
2026-02-01,794.0,794.0,776.0,777.3,-2.1,11425.0,8897123.1,-1
2026-02-02,790.0,790.0,762.0,770.0,-2.53,18470.0,14236517.4,-1
2026-02-03,765.0,771.0,760.3,764.4,-0.08,14053.0,10759986.2,-1
2026-02-04,765.3,776.0,758.0,760.1,-0.68,14924.0,11395502.8,-1
2026-02-05,764.0,766.0,758.6,761.1,-0.38,21226.0,16147021.6,-1
2026-02-08,767.0,774.0,761.5,761.5,-0.72,20356.0,15564337.9,-1
2026-02-09,772.0,772.0,755.0,759.0,-1.68,19597.0,14872790.1,-1
2026-02-10,752.7,768.0,752.7,762.5,1.3,3949.0,3003732.0,1
2026-02-11,774.0,774.0,760.2,762.9,-1.43,14901.0,11365418.7,-1
2026-02-12,765.0,770.0,762.0,763.5,-0.2,27913.0,21337850.0,-1
2026-02-16,762.0,770.0,759.0,761.3,-0.09,12189.0,9278684.1,-1
2026-02-17,765.0,765.0,756.0,756.0,-1.18,15366.0,11650750.8,-1
2026-02-22,760.0,766.0,752.0,756.0,-0.53,16023.0,12154873.9,-1
2026-02-23,756.0,763.0,755.1,756.0,0.0,9440.0,7154583.3,0
2026-02-24,757.0,766.5,755.1,766.5,1.25,8318.0,6324331.9,1
2026-02-25,766.5,775.0,760.0,761.2,-0.69,12025.0,9196332.1,-1
2026-02-26,761.0,770.0,757.0,764.0,0.39,7891.0,6026315.3,1
2026-03-01,756.0,786.0,756.0,765.0,1.19,23243.0,17839948.9,1
2026-03-03,770.0,785.0,759.0,781.0,1.43,26587.0,20568244.0,1
2026-03-09,796.6,812.0,796.6,812.0,1.93,564.0,451500.0,1
2026-03-10,828.0,828.0,795.0,810.0,-2.17,65247.0,52632542.9,-1
2026-03-11,810.0,814.0,794.0,797.0,-1.6,15006.0,12035221.7,-1
2026-03-12,792.0,806.0,792.0,798.0,0.76,17844.0,14270225.3,1
2026-03-15,805.0,805.0,795.0,798.6,-0.8,12821.0,10229636.4,-1
2026-03-16,798.0,798.0,792.5,792.6,-0.68,17836.0,14165861.0,-1
2026-03-17,791.0,795.0,785.0,789.0,-0.25,16009.0,12648106.9,-1
2026-03-19,799.0,810.0,793.0,799.0,0.0,19249.0,15413312.5,0
2026-03-22,800.1,830.1,800.1,826.0,3.24,54052.0,44298020.3,1
2026-03-23,829.0,833.0,811.1,815.6,-1.62,35621.0,29223091.7,-1
2026-03-24,812.1,820.0,806.5,809.9,-0.27,27326.0,22129950.8,-1
2026-03-25,810.0,817.0,801.1,802.0,-0.99,27880.0,22445465.7,-1
2026-03-26,802.0,806.0,798.4,803.5,0.19,25683.0,20567250.0,1
2026-03-29,815.0,815.0,790.3,794.0,-2.58,39570.0,31545162.7,-1
2026-03-30,789.0,794.7,777.0,778.0,-1.39,27245.0,21374404.3,-1
2026-03-31,777.0,791.0,771.1,777.4,0.05,32761.0,25422216.9,1
2026-04-01,775.0,780.0,768.2,770.0,-0.65,36899.0,28509216.9,-1
2026-04-02,768.0,780.0,760.0,771.9,0.51,20720.0,16002084.2,1
2026-04-05,772.0,772.0,756.0,756.6,-1.99,40004.0,30413416.8,-1
2026-04-06,750.1,778.0,750.0,769.0,2.52,30225.0,23201745.4,1
2026-04-07,783.0,783.0,765.4,768.9,-1.8,11545.0,8925942.8,-1
