published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,250.9,259.0,250.9,256.0,2.03,36132.0,9242171.6,1
2025-12-09,251.0,261.1,251.0,255.0,1.59,38024.0,9767946.8,1
2025-12-10,260.1,260.1,250.0,250.0,-3.88,31831.0,8058715.0,-1
2025-12-11,255.0,255.0,250.0,253.0,-0.78,33823.0,8503100.2,-1
2025-12-14,250.1,255.0,246.1,248.0,-0.84,32526.0,8092106.5,-1
2025-12-15,250.0,250.8,245.3,247.1,-1.16,29000.0,7185348.5,-1
2025-12-16,245.5,252.7,245.5,251.4,2.4,29376.0,7368208.8,1
2025-12-17,249.1,257.0,249.1,252.9,1.53,40534.0,10273579.6,1
2025-12-18,250.0,255.5,249.0,250.0,0.0,33299.0,8359053.2,0
2025-12-21,250.0,250.0,242.0,244.0,-2.4,32279.0,7895664.0,-1
2025-12-22,241.0,244.0,241.0,242.8,0.75,29863.0,7247338.3,1
2025-12-23,240.0,244.0,240.0,243.0,1.25,25027.0,6036167.2,1
2025-12-24,247.7,247.7,240.1,242.9,-1.94,30350.0,7333949.5,-1
2025-12-28,247.7,251.9,244.0,250.0,0.93,38734.0,9607575.5,1
