published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,177.3,180.0,176.4,178.0,0.39,87285.0,15547572.3,1
2025-12-09,180.0,180.0,176.8,178.0,-1.11,60455.0,10739551.3,-1
2025-12-10,179.0,179.1,176.0,176.9,-1.17,49908.0,8848988.5,-1
2025-12-11,174.0,177.8,174.0,176.7,1.55,63995.0,11287714.7,1
2025-12-14,178.0,178.0,175.2,176.2,-1.01,46768.0,8234048.8,-1
2025-12-15,177.9,177.9,174.9,175.9,-1.12,43601.0,7653856.2,-1
2025-12-16,179.0,179.0,174.1,177.5,-0.84,73456.0,12977529.5,-1
2025-12-17,178.5,179.0,176.6,177.7,-0.45,86068.0,15290866.2,-1
2025-12-18,179.0,179.0,176.1,177.1,-1.06,51680.0,9152381.1,-1
2025-12-21,179.0,179.0,175.1,177.0,-1.12,62279.0,10954062.5,-1
2025-12-22,177.0,177.0,174.1,174.9,-1.19,52785.0,9234280.3,-1
2025-12-23,174.1,175.7,173.2,174.0,-0.06,47689.0,8309044.3,-1
2025-12-24,174.0,176.0,172.1,175.0,0.57,39145.0,6837498.5,1
2025-12-28,175.2,179.0,175.2,178.5,1.88,87278.0,15529860.4,1
2025-12-29,179.9,180.0,177.5,178.0,-1.06,41415.0,7377249.4,-1
2025-12-31,179.0,180.0,176.0,178.8,-0.11,81675.0,14642286.2,-1
2026-01-01,178.8,179.0,177.0,177.1,-0.95,44697.0,7925658.3,-1
2026-01-04,174.0,180.9,174.0,177.0,1.72,57352.0,10119309.2,1
2026-01-05,177.9,178.2,175.5,177.5,-0.22,58747.0,10382858.0,-1
2026-01-06,179.0,179.0,176.3,176.9,-1.17,62785.0,11131266.6,-1
2026-01-07,177.0,177.8,174.0,176.4,-0.34,184821.0,32477383.0,-1
2026-01-08,177.4,182.0,174.4,180.8,1.92,151089.0,26965151.8,1
2026-01-12,184.4,184.4,178.4,179.9,-2.44,95741.0,17261911.4,-1
2026-01-13,180.0,181.9,178.4,179.5,-0.28,82778.0,14871567.5,-1
2026-01-14,178.5,181.0,177.1,178.6,0.06,81935.0,14713579.4,1
2026-01-18,182.1,182.1,179.0,180.0,-1.15,98159.0,17672437.6,-1
2026-01-20,182.0,187.5,181.0,187.0,2.75,288256.0,53391553.3,1
2026-01-21,190.7,190.7,185.0,185.5,-2.73,202038.0,37775735.9,-1
2026-01-22,187.0,192.0,184.6,191.5,2.41,257754.0,48746191.4,1
2026-01-25,187.7,208.0,187.7,207.5,10.55,557069.0,112546358.6,1
2026-01-26,210.0,213.0,200.3,206.0,-1.9,604579.0,124753779.5,-1
2026-01-27,202.0,210.0,196.6,197.0,-2.48,375868.0,75622541.4,-1
