published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,915.0,919.0,910.0,910.0,-0.55,5012.0,4577450.6,-1
2025-12-09,910.0,919.0,902.1,908.9,-0.12,5465.0,4963682.8,-1
2025-12-10,905.0,912.0,905.0,911.9,0.76,4727.0,4293493.7,1
2025-12-11,909.0,914.0,905.0,905.0,-0.44,3119.0,2827524.4,-1
2025-12-14,906.0,906.0,900.0,903.0,-0.33,5597.0,5046600.8,-1
2025-12-15,905.0,908.0,900.0,906.0,0.11,4449.0,4016875.3,1
2025-12-16,920.0,920.0,901.1,914.2,-0.63,3446.0,3126067.3,-1
2025-12-17,896.0,918.8,896.0,917.0,2.34,5911.0,5401039.6,1
2025-12-18,909.0,915.0,901.0,902.0,-0.77,8375.0,7581419.4,-1
2025-12-21,909.0,909.0,890.0,896.0,-1.43,9962.0,8945801.7,-1
2025-12-22,892.0,900.9,888.0,890.0,-0.22,5478.0,4881841.2,-1
2025-12-23,890.0,900.0,883.0,889.0,-0.11,7667.0,6826202.5,-1
2025-12-24,890.0,896.0,885.1,886.9,-0.35,5197.0,4608359.2,-1
2025-12-28,898.0,903.0,890.0,903.0,0.56,9968.0,8913191.1,1
2025-12-29,914.9,914.9,892.1,900.0,-1.63,11075.0,9960289.0,-1
2025-12-31,900.0,910.0,888.0,888.0,-1.33,17405.0,15560610.5,-1
2026-01-01,904.0,904.0,880.0,887.0,-1.88,15079.0,13364650.9,-1
2026-01-04,898.0,898.0,876.0,879.0,-2.12,10512.0,9252400.1,-1
2026-01-05,876.0,909.0,876.0,909.0,3.77,18990.0,16997990.3,1
2026-01-06,915.0,927.1,900.0,905.0,-1.09,11367.0,10350841.6,-1
2026-01-07,905.0,910.0,895.1,895.1,-1.09,5148.0,4632261.1,-1
2026-01-08,890.0,900.0,885.0,891.0,0.11,7483.0,6675799.8,1
2026-01-12,883.0,895.0,880.0,884.0,0.11,13643.0,12046600.8,1
2026-01-13,884.0,893.0,875.5,877.2,-0.77,11694.0,10297191.1,-1
2026-01-14,881.5,890.0,878.0,884.0,0.28,10963.0,9694419.7,1
2026-01-18,890.0,899.8,889.1,896.0,0.67,7992.0,7148416.2,1
2026-01-20,900.0,928.2,897.0,928.0,3.11,29411.0,26988555.4,1
2026-01-21,939.0,939.0,910.1,916.0,-2.45,15881.0,14609810.3,-1
2026-01-22,914.0,930.0,907.0,920.0,0.66,12579.0,11477048.3,1
2026-01-25,914.0,994.0,914.0,990.0,8.32,40903.0,38917782.4,1
2026-01-26,990.0,1008.0,962.0,976.0,-1.41,42501.0,41593295.2,-1
2026-01-27,990.0,990.0,933.0,940.0,-5.05,23931.0,22817024.3,-1
2026-01-28,935.0,950.1,930.0,942.0,0.75,15314.0,14394219.9,1
2026-01-29,932.0,949.9,932.0,932.6,0.06,16547.0,15533167.0,1
2026-02-01,925.0,930.0,915.0,915.0,-1.08,11222.0,10317517.5,-1
2026-02-02,915.0,932.5,910.0,920.0,0.55,7043.0,6435865.0,1
