published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,8.65,8.8,8.65,8.75,1.16,2200.0,19181.0,1
2025-12-09,8.75,8.97,8.75,8.84,1.03,34150.0,304344.0,1
2025-12-10,8.84,9.0,8.74,8.75,-1.02,2727.0,24407.0,-1
2025-12-11,8.75,8.79,8.75,8.79,0.46,1600.0,14044.0,1
2025-12-14,8.79,8.8,8.79,8.8,0.11,2200.0,19359.0,1
2025-12-15,8.67,8.72,8.67,8.72,0.58,1600.0,13939.0,1
2025-12-16,8.56,8.67,8.56,8.67,1.29,3150.0,27066.5,1
2025-12-17,8.62,8.77,8.62,8.77,1.74,2000.0,17437.0,1
2025-12-18,8.72,8.76,8.72,8.76,0.46,1200.0,10497.0,1
2025-12-21,8.76,9.0,8.76,8.96,2.28,5286.0,47150.0,1
2025-12-22,8.81,9.03,8.81,9.03,2.5,3000.0,26742.0,1
2025-12-23,8.85,9.06,8.34,9.06,2.37,6700.0,57451.0,1
2025-12-24,8.88,9.0,8.75,9.0,1.35,12600.0,112304.0,1
2025-12-28,8.82,9.18,8.82,9.18,4.08,18300.0,165369.0,1
2025-12-29,9.36,9.36,9.07,9.07,-3.1,5400.0,50144.0,-1
2025-12-31,9.17,9.25,8.91,8.92,-2.73,200900.0,1857289.0,-1
2026-01-01,8.8,9.1,8.8,9.0,2.27,4500.0,40651.0,1
2026-01-04,8.91,9.0,8.91,9.0,1.01,2500.0,22448.0,1
2026-01-05,9.0,9.17,9.0,9.1,1.11,6910.0,62405.0,1
2026-01-06,9.0,9.19,9.0,9.19,2.11,19020.0,174245.9,1
2026-01-07,9.05,9.19,9.05,9.11,0.66,18200.0,164889.0,1
2026-01-08,9.11,9.12,8.95,8.95,-1.76,1000.0,9004.0,-1
2026-01-12,8.8,9.0,8.8,8.88,0.91,2800.0,24879.0,1
2026-01-13,8.81,9.05,8.81,9.05,2.72,9250.0,82879.0,1
2026-01-14,8.91,9.1,8.91,9.1,2.13,1000.0,8984.0,1
2026-01-18,8.96,9.13,8.96,9.01,0.56,5420.0,48883.2,1
2026-01-20,8.84,9.19,8.84,9.01,1.92,6400.0,58157.0,1
2026-01-21,8.94,9.2,8.94,9.15,2.35,19195.0,175271.15,1
2026-01-22,9.05,9.23,9.05,9.08,0.33,800.0,7261.0,1
2026-01-25,9.15,9.15,9.04,9.15,0.0,4300.0,39045.0,0
2026-01-26,9.15,9.34,9.13,9.33,1.97,84473.0,787284.09,1
2026-01-27,9.15,9.18,9.15,9.18,0.33,9300.0,85274.0,1
2026-01-28,9.06,9.2,9.06,9.17,1.21,2450.0,22292.0,1
2026-01-29,9.15,9.38,9.15,9.27,1.31,40700.0,380002.0,1
2026-02-01,9.13,9.43,9.13,9.43,3.29,40300.0,379215.0,1
2026-02-02,9.25,9.26,9.25,9.26,0.11,1200.0,11102.0,1
2026-02-03,9.16,9.46,9.16,9.3,1.53,49320.0,465849.0,1
2026-02-04,9.13,9.48,9.13,9.48,3.83,35750.0,338418.0,1
2026-02-05,9.3,9.3,9.12,9.3,0.0,3500.0,32378.0,0
2026-02-08,9.3,9.48,9.16,9.35,0.54,9450.0,87775.0,1
2026-02-09,9.22,9.35,9.22,9.27,0.54,2700.0,24965.0,1
