published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,895.0,905.0,894.0,905.0,1.12,872.0,782435.4,1
2025-12-09,888.5,912.0,888.5,895.0,0.73,1560.0,1415881.0,1
2025-12-10,888.8,918.0,888.8,902.0,1.49,1797.0,1622639.2,1
2025-12-11,895.1,919.6,895.1,907.0,1.33,1423.0,1296999.5,1
2025-12-14,907.5,920.0,892.2,908.0,0.06,3494.0,3189994.0,1
2025-12-15,908.0,918.9,898.0,913.9,0.65,946.0,863097.4,1
2025-12-16,900.2,918.0,900.2,910.0,1.09,1415.0,1288891.5,1
2025-12-17,892.0,905.0,892.0,900.0,0.9,767.0,690517.0,1
2025-12-18,890.2,906.0,890.2,906.0,1.77,1051.0,948857.5,1
2025-12-21,897.0,914.0,896.1,907.9,1.22,830.0,751723.0,1
2025-12-22,912.0,912.0,896.2,896.2,-1.73,1625.0,1461845.9,-1
2025-12-23,897.0,909.0,895.5,905.9,0.99,2225.0,2014022.0,1
2025-12-24,911.0,920.0,908.1,918.0,0.77,2958.0,2702289.5,1
2025-12-28,800.1,878.0,800.1,874.0,9.24,6407.0,5367099.4,1
2025-12-29,875.0,875.0,835.0,854.0,-2.4,7945.0,6756275.5,-1
2025-12-31,864.0,865.0,845.2,845.7,-2.12,922.0,784789.0,-1
2026-01-01,835.1,840.0,830.0,840.0,0.59,2141.0,1790640.8,1
2026-01-04,840.0,863.0,830.0,830.0,-1.19,1970.0,1653566.0,-1
2026-01-05,830.0,830.0,815.0,824.0,-0.72,1215.0,995047.0,-1
2026-01-06,825.0,825.0,817.1,825.0,0.0,1600.0,1311926.4,0
2026-01-07,817.0,841.0,815.0,816.2,-0.1,1123.0,926222.0,-1
2026-01-08,814.1,830.0,807.0,830.0,1.95,856.0,701572.0,1
2026-01-12,815.0,828.0,814.0,828.0,1.6,2005.0,1635615.0,1
2026-01-13,815.0,832.0,813.0,832.0,2.09,1923.0,1583452.0,1
2026-01-14,825.0,830.0,815.1,830.0,0.61,1244.0,1023383.8,1
2026-01-18,815.0,843.5,815.0,830.0,1.84,436.0,361366.2,1
2026-01-20,820.0,833.0,820.0,820.0,0.0,4814.0,3959603.0,0
2026-01-21,820.0,836.0,815.0,819.1,-0.11,2805.0,2306502.0,-1
2026-01-22,820.0,830.0,815.0,825.0,0.61,3682.0,3031057.8,1
2026-01-25,825.0,850.0,821.0,840.0,1.82,2880.0,2415776.1,1
2026-01-26,840.0,840.0,825.0,833.0,-0.83,1295.0,1074022.0,-1
2026-01-27,826.0,836.0,823.0,824.0,-0.24,2130.0,1763533.0,-1
2026-01-28,815.0,829.0,815.0,829.0,1.72,1110.0,909938.0,1
2026-01-29,820.0,877.0,820.0,830.0,1.22,3154.0,2648131.5,1
2026-02-01,830.0,846.0,821.0,830.0,0.0,5185.0,4323298.6,0
2026-02-02,818.0,830.0,818.0,824.0,0.73,560.0,461040.0,1
2026-02-03,820.1,827.0,805.0,821.1,0.12,2398.0,1952252.4,1
2026-02-04,810.0,825.9,810.0,820.0,1.23,1697.0,1398459.7,1
2026-02-05,806.0,829.0,806.0,823.0,2.11,975.0,800791.4,1
2026-02-08,810.7,826.0,810.7,820.0,1.15,654.0,535971.0,1
2026-02-09,821.1,822.0,810.0,820.0,-0.13,2190.0,1786532.0,-1
2026-02-10,815.0,820.0,811.0,811.0,-0.49,995.0,808575.0,-1
2026-02-11,827.0,836.0,811.0,815.0,-1.45,4997.0,4097623.3,-1
2026-02-12,810.4,846.0,810.4,815.2,0.59,1508.0,1248643.6,1
2026-02-16,810.0,830.0,810.0,820.0,1.23,3306.0,2725084.9,1
2026-02-17,820.1,820.1,808.0,808.3,-1.44,1403.0,1135700.8,-1
2026-02-22,803.1,820.0,795.0,795.1,-1.0,1363.0,1098078.2,-1
2026-02-23,790.0,805.0,785.1,796.9,0.87,1672.0,1320125.0,1
2026-02-24,812.0,820.0,787.0,802.0,-1.23,462.0,372844.2,-1
2026-02-25,802.0,818.0,788.0,789.0,-1.62,1259.0,997362.0,-1
2026-02-26,782.0,800.0,782.0,793.0,1.41,2533.0,2002244.0,1
2026-03-01,790.0,798.9,789.0,791.0,0.13,1035.0,821662.5,1
2026-03-03,785.0,799.0,785.0,790.0,0.64,1520.0,1203201.0,1
2026-03-09,805.8,805.8,805.8,805.8,0.0,10.0,8058.0,0
2026-03-10,821.9,825.0,804.6,821.0,-0.11,6568.0,5372812.3,-1
2026-03-11,804.6,825.0,804.6,825.0,2.54,1626.0,1334737.0,1
2026-03-12,812.0,823.9,810.0,823.9,1.47,1760.0,1428875.5,1
2026-03-15,815.6,818.9,803.2,817.5,0.23,421.0,341946.6,1
2026-03-16,810.0,817.3,790.1,795.1,-1.84,3625.0,2916420.5,-1
2026-03-17,800.0,815.0,796.0,807.1,0.89,2384.0,1926677.9,1
2026-03-19,807.1,820.0,798.0,808.0,0.11,5759.0,4648316.5,1
2026-03-22,824.0,824.0,800.0,800.0,-2.91,5503.0,4427105.2,-1
