published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,678.6,747.0,678.6,698.0,2.86,5711.0,4000614.8,1
2025-12-09,690.3,712.0,690.3,709.9,2.84,6187.0,4359754.9,1
2025-12-10,695.8,723.0,695.8,710.0,2.04,8722.0,6165993.3,1
2025-12-11,695.8,737.0,695.8,713.0,2.47,11228.0,7896154.0,1
2025-12-14,698.8,750.0,692.0,750.0,7.33,8142.0,5707087.8,1
2025-12-15,735.0,735.0,678.0,707.0,-3.81,9821.0,6948164.0,-1
2025-12-16,696.0,709.8,696.0,704.0,1.15,4246.0,2976911.8,1
2025-12-17,695.0,714.0,693.1,695.0,0.0,6287.0,4419761.0,0
2025-12-18,690.5,690.5,685.3,689.0,-0.22,2582.0,1774304.2,-1
2025-12-21,676.2,692.0,675.3,688.0,1.75,2654.0,1805388.3,1
2025-12-22,676.5,685.0,676.4,685.0,1.26,1387.0,941575.0,1
2025-12-23,686.0,693.0,678.3,691.8,0.85,945.0,649415.5,1
2025-12-24,704.0,719.1,678.0,688.0,-2.27,1235.0,847819.1,-1
2025-12-28,685.1,741.5,675.1,707.0,3.2,7916.0,5552888.4,1
2025-12-29,715.0,721.1,693.0,707.6,-1.03,10678.0,7508372.2,-1
2025-12-31,707.6,707.6,685.0,697.6,-1.41,4031.0,2797256.4,-1
2026-01-01,711.0,711.0,680.0,694.0,-2.39,3074.0,2104728.8,-1
2026-01-04,680.3,690.0,680.3,689.9,1.41,1317.0,901216.0,1
2026-01-05,676.2,730.0,671.0,692.0,2.34,12640.0,8866574.2,1
2026-01-06,705.8,715.0,686.7,689.0,-2.38,1132.0,781828.3,-1
2026-01-07,700.0,702.7,684.0,684.0,-2.29,2608.0,1787902.7,-1
2026-01-08,680.0,691.9,680.0,685.0,0.74,3035.0,2067122.3,1
2026-01-12,698.7,698.7,680.0,683.9,-2.12,3394.0,2313518.3,-1
2026-01-13,673.7,687.0,673.7,681.0,1.08,1510.0,1033244.2,1
2026-01-14,688.0,731.0,675.5,731.0,6.25,4384.0,3002004.5,1
2026-01-18,745.6,745.6,690.6,709.0,-4.91,21075.0,14713487.4,-1
2026-01-20,710.0,714.5,701.0,706.2,-0.54,5952.0,4207686.3,-1
2026-01-21,719.7,719.7,696.0,696.0,-3.29,2095.0,1462898.4,-1
2026-01-22,690.0,699.9,680.0,684.1,-0.86,7053.0,4862337.7,-1
2026-01-25,697.0,714.0,688.0,704.0,1.0,8696.0,6071145.5,1
2026-01-26,718.0,718.0,691.0,692.1,-3.61,7023.0,4928244.8,-1
2026-01-27,705.0,705.9,684.1,685.6,-2.75,11879.0,8239246.3,-1
2026-01-28,699.0,699.0,683.1,687.1,-1.7,1689.0,1161337.8,-1
2026-01-29,695.0,697.0,681.6,681.6,-1.93,5095.0,3515160.3,-1
2026-02-01,695.0,695.0,680.0,684.0,-1.58,5280.0,3618422.3,-1
2026-02-02,684.0,689.8,681.0,681.4,-0.38,2281.0,1559258.9,-1
2026-02-03,681.4,683.8,675.2,675.2,-0.91,4091.0,2780728.7,-1
2026-02-04,683.0,685.0,675.6,677.1,-0.86,1770.0,1203727.5,-1
2026-02-05,685.0,690.0,677.0,677.0,-1.17,7471.0,5075042.9,-1
2026-02-08,677.1,682.0,668.1,669.3,-1.15,8331.0,5602796.7,-1
2026-02-09,670.3,675.0,665.0,665.0,-0.79,5717.0,3822142.9,-1
2026-02-10,665.0,674.8,663.0,665.0,0.0,2175.0,1447265.4,0
2026-02-11,677.0,677.0,663.0,663.0,-2.07,4060.0,2697338.0,-1
2026-02-12,670.9,670.9,656.0,658.9,-1.79,6897.0,4563322.5,-1
2026-02-16,650.1,663.1,650.1,657.0,1.06,629.0,414660.6,1
2026-02-17,652.0,665.1,652.0,660.0,1.23,2723.0,1794488.5,1
2026-02-22,651.2,651.8,647.1,648.0,-0.49,5243.0,3402079.9,-1
2026-02-23,650.0,655.0,646.0,646.0,-0.62,2017.0,1311779.5,-1
2026-02-24,640.3,651.9,640.3,651.9,1.81,1540.0,996097.3,1
2026-02-25,652.0,652.0,645.5,650.0,-0.31,2502.0,1622673.0,-1
2026-02-26,650.0,656.9,650.0,656.9,1.06,1513.0,991298.4,1
2026-03-01,645.0,660.0,645.0,660.0,2.33,2855.0,1861703.9,1
