published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,452.1,468.0,452.1,463.0,2.41,62559.0,28969184.1,1
2025-12-09,460.7,469.0,460.7,468.5,1.69,90541.0,42220585.9,1
2025-12-10,459.2,470.0,459.2,466.0,1.48,118715.0,55289818.7,1
2025-12-11,460.0,476.3,460.0,465.0,1.09,65762.0,30720960.0,1
2025-12-14,460.0,468.0,460.0,460.5,0.11,42595.0,19670992.9,1
2025-12-15,460.0,464.0,457.0,461.0,0.22,34782.0,15983165.1,1
2025-12-16,461.1,470.0,461.1,469.9,1.91,38536.0,17947607.5,1
2025-12-17,469.0,476.0,466.1,473.9,1.04,127511.0,60066159.4,1
2025-12-18,483.0,483.0,472.0,477.1,-1.22,93901.0,44715219.2,-1
2025-12-21,486.6,486.6,455.0,456.0,-6.29,184799.0,85246662.3,-1
2025-12-22,453.1,462.0,450.0,457.2,0.9,51656.0,23530307.7,1
2025-12-23,466.3,466.3,450.1,454.1,-2.62,101212.0,45989077.2,-1
2025-12-24,463.1,463.1,451.4,455.0,-1.75,55288.0,25229995.8,-1
2025-12-28,449.0,472.0,449.0,472.0,5.12,109682.0,50806912.5,1
2025-12-29,470.0,477.0,465.0,468.0,-0.43,76057.0,35590490.1,-1
2025-12-31,477.3,477.3,463.1,466.8,-2.2,136732.0,64162734.2,-1
2026-01-01,466.8,470.0,460.0,465.1,-0.36,125699.0,58378984.2,-1
2026-01-04,455.8,455.8,446.2,446.3,-2.08,42043.0,18878019.1,-1
2026-01-05,448.0,451.0,445.0,445.8,-0.49,54252.0,24279603.6,-1
2026-01-06,441.0,454.0,441.0,445.0,0.91,17653.0,7916340.0,1
2026-01-07,440.5,452.0,440.5,444.0,0.79,15081.0,6709846.6,1
2026-01-08,444.0,449.0,440.5,441.9,-0.47,21773.0,9638767.5,-1
2026-01-12,442.0,446.0,436.2,437.5,-1.02,30540.0,13431628.3,-1
2026-01-13,440.0,443.9,437.0,438.5,-0.34,19823.0,8729393.6,-1
2026-01-14,446.9,446.9,438.0,441.5,-1.21,25123.0,11094077.0,-1
2026-01-18,441.5,451.0,441.0,450.0,1.93,30016.0,13428619.0,1
2026-01-20,455.0,460.0,448.3,454.5,-0.11,78349.0,35604018.6,-1
2026-01-21,445.5,460.0,445.5,457.0,2.58,95391.0,43539379.0,1
2026-01-22,466.1,466.1,451.5,454.0,-2.6,52443.0,23818538.4,-1
2026-01-25,463.0,463.0,455.1,456.6,-1.38,74967.0,34267437.6,-1
2026-01-26,457.0,466.0,457.0,457.5,0.11,161364.0,74474473.4,1
2026-01-27,456.0,466.6,448.5,450.2,-1.27,42023.0,19063874.5,-1
2026-01-28,445.1,454.5,445.1,454.5,2.11,48160.0,21570678.0,1
2026-01-29,446.1,455.0,445.0,448.9,0.63,48868.0,22027721.1,1
2026-02-01,445.1,447.0,440.1,447.0,0.43,27552.0,12253019.9,1
2026-02-02,440.0,450.0,440.0,443.8,0.86,22950.0,10204181.0,1
2026-02-03,440.0,450.0,438.1,443.0,0.68,34965.0,15411416.6,1
2026-02-04,440.0,445.0,437.3,437.5,-0.57,26284.0,11562562.9,-1
2026-02-05,434.0,445.5,434.0,443.0,2.07,19080.0,8441473.8,1
2026-02-08,444.1,446.0,437.0,438.1,-1.35,38918.0,17236582.8,-1
2026-02-09,440.0,440.0,428.5,432.0,-1.82,60178.0,26035245.4,-1
2026-02-10,427.6,435.0,427.6,430.0,0.56,12919.0,5571961.0,1
2026-02-11,438.0,438.6,432.0,434.9,-0.71,43114.0,18730286.3,-1
2026-02-12,430.0,443.0,430.0,436.0,1.4,29255.0,12789340.9,1
2026-02-16,430.0,434.9,430.0,431.5,0.35,16638.0,7182677.6,1
2026-02-17,430.0,434.0,427.0,432.5,0.58,42433.0,18217790.0,1
2026-02-22,434.0,434.0,427.0,429.0,-1.15,13996.0,6006293.4,-1
2026-02-23,426.1,429.0,425.1,428.9,0.66,22422.0,9579408.6,1
2026-02-24,426.0,432.0,426.0,432.0,1.41,6813.0,2927291.2,1
2026-02-25,430.0,444.0,428.1,443.0,3.02,41350.0,18149193.6,1
2026-02-26,438.1,444.0,437.0,443.7,1.28,36569.0,16117580.7,1
2026-03-01,434.9,455.7,434.9,451.0,3.7,47074.0,21136126.6,1
2026-03-03,442.0,460.0,442.0,457.0,3.39,48442.0,22018606.1,1
2026-03-09,466.1,484.9,466.1,484.9,4.03,1258.0,593402.8,1
2026-03-10,480.0,485.0,456.5,481.0,0.21,159925.0,75674127.7,1
2026-03-11,475.0,478.8,463.1,463.4,-2.44,64858.0,30574550.3,-1
2026-03-12,458.1,470.0,458.0,462.0,0.85,46553.0,21547154.4,1
2026-03-15,461.1,465.0,457.5,461.9,0.17,28405.0,13091043.0,1
2026-03-16,458.0,463.0,456.1,456.5,-0.33,18250.0,8376621.6,-1
2026-03-17,450.0,457.0,450.0,451.0,0.22,38796.0,17524284.0,1
2026-03-19,456.0,472.0,455.0,472.0,3.51,64297.0,29894926.0,1
2026-03-22,471.0,480.0,470.0,474.0,0.64,127483.0,60572399.6,1
2026-03-23,477.0,478.0,467.0,473.0,-0.84,43109.0,20311024.2,-1
2026-03-24,469.1,473.0,465.3,468.0,-0.23,28304.0,13240717.1,-1
2026-03-25,477.3,477.3,460.2,460.6,-3.5,30610.0,14175738.2,-1
2026-03-26,460.0,465.0,456.0,462.2,0.48,31619.0,14556017.3,1
2026-03-29,455.0,465.0,450.2,450.2,-1.05,44917.0,20416670.6,-1
2026-03-30,459.2,459.2,447.8,448.1,-2.42,45501.0,20497455.3,-1
