published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,420.0,429.9,420.0,427.0,1.67,22739.0,9633961.7,1
2025-12-09,424.0,429.8,423.0,424.1,0.02,8787.0,3740038.2,1
2025-12-10,431.0,431.0,420.0,421.6,-2.18,28696.0,12123313.2,-1
2025-12-11,418.0,426.0,418.0,425.0,1.67,18944.0,8014542.9,1
2025-12-14,420.2,424.0,419.1,420.0,-0.05,22558.0,9507434.5,-1
2025-12-15,420.0,423.0,417.1,421.0,0.24,17656.0,7413106.1,1
2025-12-16,418.6,425.0,418.6,423.0,1.05,16462.0,6964913.8,1
2025-12-17,422.0,429.0,422.0,422.8,0.19,17792.0,7563633.3,1
2025-12-18,421.0,427.0,420.0,420.1,-0.21,21905.0,9226291.3,-1
2025-12-21,420.1,420.1,416.0,418.0,-0.5,24090.0,10067145.0,-1
2025-12-22,417.0,418.9,415.0,415.2,-0.43,22530.0,9370229.4,-1
2025-12-23,410.1,417.0,410.1,412.5,0.59,17959.0,7438806.7,1
2025-12-24,412.5,419.0,412.5,414.8,0.56,25341.0,10525028.6,1
2025-12-28,414.8,429.0,414.8,428.0,3.18,47913.0,20305798.4,1
2025-12-29,425.8,430.0,422.5,422.6,-0.75,25091.0,10657546.2,-1
2025-12-31,422.8,430.0,422.8,426.0,0.76,36506.0,15608582.1,1
