published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1074.0,1074.1,1074.0,1074.1,0.01,50.0,53702.5,1
2025-12-10,1080.0,1082.4,1080.0,1082.4,0.22,230.0,248760.0,1
2025-12-11,1082.0,1082.0,1077.0,1080.0,-0.18,175.0,189175.0,-1
2025-12-14,1077.0,1077.0,1072.0,1075.0,-0.19,100.0,107450.0,-1
2025-12-15,1077.0,1077.0,1077.0,1077.0,0.0,25.0,26925.0,0
2025-12-17,1088.0,1088.0,1088.0,1089.9,0.17,31.0,33739.4,1
2025-12-18,1073.1,1073.1,1073.0,1073.0,-0.01,25.0,26826.0,-1
2025-12-21,1070.0,1107.0,1070.0,1085.0,1.4,956.0,1052683.0,1
2025-12-22,1064.0,1085.0,1064.0,1077.0,1.22,85.0,91395.0,1
2025-12-23,1077.0,1077.0,1077.0,1077.0,0.0,25.0,26925.0,0
2025-12-31,1080.0,1103.0,1080.0,1103.0,2.13,474.0,521155.0,1
2026-01-01,1085.0,1085.0,1085.0,1085.0,0.0,100.0,108500.0,0
2026-01-04,1085.0,1085.0,1085.0,1085.0,0.0,25.0,27125.0,0
2026-01-05,1070.0,1070.0,1070.0,1070.0,0.0,25.0,26750.0,0
2026-01-12,1072.0,1072.0,1060.0,1060.0,-1.12,50.0,53300.0,-1
2026-01-13,1060.0,1106.0,1060.0,1102.8,4.04,384.0,424570.4,1
2026-01-18,1080.8,1080.8,1080.8,1080.8,0.0,10.0,10808.0,0
2026-01-20,1059.2,1059.2,1059.2,1059.2,0.0,25.0,26480.0,0
2026-01-22,1045.2,1055.1,1045.2,1055.1,0.95,50.0,52507.5,1
2026-01-25,1050.2,1050.2,1050.2,1050.2,0.0,25.0,26255.0,0
2026-01-26,1050.0,1050.0,1044.0,1047.0,-0.29,75.0,78525.0,-1
2026-01-28,1054.0,1054.0,1054.0,1054.0,0.0,25.0,26350.0,0
2026-02-01,1046.0,1052.0,1045.0,1047.0,0.1,330.0,345825.0,1
2026-02-04,1047.0,1047.0,1047.0,1067.9,2.0,5.0,5339.5,1
2026-02-05,1050.1,1060.0,1050.1,1060.0,0.94,225.0,238252.5,1
