published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,8.94,9.02,8.85,8.91,-0.34,2700.0,24137.0,-1
2025-12-09,8.74,9.1,8.74,9.0,2.97,4800.0,43085.0,1
2025-12-10,9.0,9.18,8.92,9.18,2.0,3130.0,28507.5,1
2025-12-11,9.01,9.15,9.01,9.02,0.11,2800.0,25255.0,1
2025-12-14,8.85,9.02,8.85,8.97,1.36,2550.0,22851.0,1
2025-12-15,8.85,9.05,8.85,8.94,1.02,2050.0,18269.5,1
2025-12-16,9.07,9.15,9.0,9.0,-0.77,4100.0,37022.5,-1
2025-12-17,8.85,9.3,8.85,9.3,5.08,9000.0,82845.0,1
2025-12-18,9.12,9.2,9.0,9.1,-0.22,1200.0,10926.0,-1
2025-12-21,9.28,9.28,8.94,8.99,-3.12,2100.0,18943.0,-1
2025-12-22,8.83,9.18,8.83,8.96,1.47,3650.0,32709.0,1
2025-12-23,8.8,8.96,8.8,8.91,1.25,5430.0,48098.2,1
2025-12-24,8.76,9.25,8.76,9.25,5.59,6500.0,58981.0,1
2025-12-28,9.1,9.4,9.05,9.38,3.08,15470.0,144190.1,1
2025-12-29,9.2,9.3,9.2,9.25,0.54,2400.0,22105.0,1
2025-12-31,9.1,9.29,9.1,9.29,2.09,507620.0,4622098.9,1
2026-01-01,9.11,9.11,9.11,9.11,0.0,2000.0,18220.0,0
2026-01-04,9.0,9.2,9.0,9.05,0.56,4200.0,38011.7,1
2026-01-05,9.0,9.18,9.0,9.1,1.11,2550.0,23093.0,1
2026-01-06,8.92,9.2,8.92,9.2,3.14,4700.0,42567.0,1
2026-01-07,9.2,9.22,9.2,9.22,0.22,1250.0,11522.0,1
2026-01-08,9.05,9.06,9.05,9.06,0.11,900.0,8146.0,1
2026-01-12,8.93,9.11,8.93,9.0,0.78,4000.0,36233.0,1
2026-01-13,8.82,9.25,8.82,9.15,3.74,4100.0,36843.0,1
2026-01-14,8.98,9.0,8.98,9.0,0.22,2400.0,21572.0,1
2026-01-18,8.97,9.22,8.97,9.22,2.79,3900.0,35382.0,1
