published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1099.0,1121.8,1099.0,1121.8,2.07,210.0,232163.0,1
2025-12-09,1140.0,1150.0,1105.0,1105.0,-3.07,460.0,527300.0,-1
2025-12-10,1084.0,1090.0,1084.0,1084.0,0.0,125.0,135650.0,0
2025-12-11,1084.0,1149.5,1084.0,1149.5,6.04,510.0,576670.0,1
2025-12-14,1149.5,1149.5,1105.0,1105.0,-3.87,54.0,60395.6,-1
2025-12-15,1083.0,1085.0,1083.0,1085.0,0.18,53.0,57455.0,1
2025-12-16,1104.0,1106.5,1104.0,1106.5,0.23,215.0,237597.5,1
2025-12-18,1086.0,1086.1,1086.0,1086.1,0.01,50.0,54302.5,1
2025-12-21,1090.0,1124.0,1090.0,1102.0,1.1,1078.0,1205597.0,1
2025-12-22,1110.0,1112.0,1110.0,1110.1,0.01,260.0,288777.5,1
2025-12-24,1094.0,1094.0,1094.0,1094.0,0.0,25.0,27350.0,0
2025-12-28,1110.0,1110.0,1101.0,1101.0,-0.81,75.0,82800.0,-1
2025-12-29,1110.1,1110.1,1110.1,1110.1,0.0,50.0,55505.0,0
2025-12-31,1122.0,1122.0,1122.0,1122.0,0.0,576.0,646272.0,0
2026-01-04,1102.0,1102.0,1102.0,1102.0,0.0,50.0,55100.0,0
2026-01-07,1082.3,1082.3,1082.3,1082.3,0.0,25.0,27057.5,0
2026-01-08,1084.0,1105.0,1084.0,1105.0,1.94,150.0,164700.0,1
2026-01-13,1105.0,1124.0,1105.0,1124.0,1.72,475.0,533425.0,1
2026-01-14,1102.0,1102.0,1102.0,1102.0,0.0,25.0,27550.0,0
2026-01-18,1080.1,1080.1,1074.1,1074.1,-0.56,75.0,80857.5,-1
2026-01-21,1058.0,1058.0,1058.0,1058.0,0.0,25.0,26450.0,0
2026-01-22,1059.0,1065.0,1059.0,1065.0,0.57,50.0,53100.0,1
2026-01-25,1056.4,1056.4,1056.4,1056.4,0.0,25.0,26410.0,0
2026-01-27,1060.0,1075.0,1060.0,1071.0,1.04,275.0,295050.0,1
2026-01-28,1071.0,1071.0,1071.0,1092.0,1.96,26.0,27867.0,1
