published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,578.0,589.5,575.0,586.9,1.54,19369.0,11234992.6,1
2025-12-09,596.9,645.5,586.7,645.5,8.14,117207.0,73131664.8,1
2025-12-10,657.0,667.0,641.0,659.0,0.3,55998.0,36678707.1,1
2025-12-11,645.9,650.0,625.0,632.0,-2.15,31023.0,19788192.7,-1
2025-12-14,619.4,635.0,605.0,610.0,-1.52,32999.0,20293729.1,-1
2025-12-15,601.2,631.9,601.2,619.0,2.96,25483.0,15677231.5,1
2025-12-16,631.0,631.0,603.0,620.0,-1.74,20333.0,12504945.7,-1
2025-12-17,607.6,644.6,607.6,623.1,2.55,18877.0,11783850.6,1
2025-12-18,610.7,646.0,610.7,625.0,2.34,30671.0,19063075.8,1
2025-12-21,617.0,625.0,600.0,603.5,-2.19,21264.0,12974224.6,-1
2025-12-22,603.5,609.6,585.1,585.2,-3.03,28318.0,16742312.5,-1
2025-12-23,573.5,626.0,573.5,605.0,5.49,21808.0,13098899.4,1
2025-12-24,592.9,629.0,582.0,606.9,2.36,18668.0,11271054.6,1
2025-12-28,602.0,626.0,598.0,613.0,1.83,18193.0,11023952.4,1
2025-12-29,600.8,625.0,600.8,617.8,2.83,22383.0,13813453.9,1
2025-12-31,605.5,650.0,605.5,627.0,3.55,37956.0,23864202.5,1
2026-01-01,620.0,654.0,605.0,614.8,-0.84,24698.0,15302043.0,-1
2026-01-04,602.6,619.0,594.3,606.0,0.56,25656.0,15400520.7,1
2026-01-05,593.9,621.9,593.9,609.0,2.54,55313.0,33210074.2,1
2026-01-06,597.0,620.8,597.0,600.0,0.5,19184.0,11548069.8,1
2026-01-07,600.0,600.0,588.0,597.5,-0.42,15674.0,9292485.7,-1
2026-01-08,590.1,623.2,588.0,600.0,1.68,40733.0,24316694.0,1
2026-01-12,601.0,609.0,588.0,595.0,-1.0,24982.0,14757137.6,-1
2026-01-13,606.0,606.0,583.2,600.0,-0.99,20149.0,11869319.9,-1
2026-01-14,590.3,611.0,585.0,587.0,-0.56,20011.0,11971175.9,-1
