published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1238.0,1238.0,1238.0,1238.0,0.0,25.0,30950.0,0
2025-12-14,1214.0,1214.0,1214.0,1214.0,0.0,25.0,30350.0,0
2025-12-16,1220.0,1220.0,1220.0,1220.0,0.0,25.0,30500.0,0
2025-12-18,1240.0,1240.0,1230.0,1230.0,-0.81,100.0,123600.0,-1
2025-12-21,1233.0,1233.0,1233.0,1233.0,0.0,40.0,49320.0,0
2025-12-22,1257.6,1257.6,1257.6,1257.6,0.0,25.0,31440.0,0
2025-12-24,1250.0,1250.0,1250.0,1250.0,0.0,25.0,31250.0,0
2025-12-29,1236.0,1303.0,1236.0,1303.0,5.42,251.0,325318.6,1
2026-01-01,1277.0,1277.0,1277.0,1277.0,0.0,30.0,38310.0,0
2026-01-06,1252.0,1252.0,1252.0,1252.0,0.0,25.0,31300.0,0
2026-01-08,1242.0,1242.0,1242.0,1242.0,0.0,55.0,68310.0,0
2026-01-13,1240.0,1240.0,1240.0,1240.0,0.0,25.0,31000.0,0
2026-02-05,1216.0,1216.0,1216.0,1216.0,0.0,25.0,30400.0,0
2026-02-12,1216.0,1239.8,1216.0,1264.0,3.95,54.0,67023.4,1
2026-02-16,1239.0,1239.0,1239.0,1239.0,0.0,100.0,123900.0,0
2026-02-17,1214.5,1214.5,1187.0,1187.0,-2.26,136.0,162472.0,-1
2026-02-26,1191.0,1210.0,1191.0,1210.0,1.6,50.0,60025.0,1
2026-03-03,1212.0,1212.0,1212.0,1212.0,0.0,25.0,30300.0,0
2026-03-10,1197.0,1198.0,1197.0,1198.0,0.08,50.0,59875.0,1
2026-03-22,1198.0,1270.0,1198.0,1270.0,6.01,361.0,458397.9,1
2026-03-30,1250.0,1250.0,1250.0,1250.0,0.0,25.0,31250.0,0
2026-04-01,1250.0,1250.0,1250.0,1250.0,0.0,75.0,93750.0,0
2026-04-06,1274.0,1275.0,1240.0,1240.0,-2.67,155.0,194820.0,-1
2026-04-10,1216.0,1216.0,1216.0,1216.0,0.0,25.0,30400.0,0
2026-04-13,1216.0,1240.3,1216.0,1240.3,2.0,35.0,42803.0,1
2026-04-15,1265.0,1265.0,1265.0,1265.0,0.0,15.0,18975.0,0
2026-04-17,1242.0,1242.0,1242.0,1242.0,0.0,25.0,31050.0,0
2026-04-22,1279.0,1279.0,1279.0,1279.0,0.0,25.0,31975.0,0
2026-04-30,1240.7,1240.7,1240.7,1277.9,3.0,30.0,37407.0,1
2026-05-08,1277.9,1277.9,1265.0,1265.0,-1.01,97.0,122755.0,-1
2026-05-12,1227.7,1227.7,1227.7,1227.7,0.0,25.0,30692.5,0
2026-05-13,1197.0,1197.0,1157.0,1157.0,-3.34,50.0,58990.0,-1
2026-05-27,1191.7,1195.0,1191.7,1195.0,0.28,1444.0,1725547.0,1
2026-06-01,1210.0,1266.9,1210.0,1266.9,4.7,110.0,135586.5,1
2026-06-02,1230.0,1230.0,1230.0,1230.0,0.0,25.0,30750.0,0
2026-06-03,1266.9,1266.9,1266.9,1266.9,0.0,25.0,31672.5,0
2026-06-10,1300.0,1300.0,1300.0,1300.0,0.0,10.0,13000.0,0
2026-06-12,1261.0,1261.0,1188.0,1315.0,4.28,100933.0,120140679.3,1
2026-06-19,1258.0,1258.0,1203.0,1203.0,-4.37,10355.0,13011245.0,-1
2026-06-22,1205.0,1205.0,1205.0,1205.0,0.0,25.0,30125.0,0
2026-06-23,1241.0,1241.0,1241.0,1241.0,0.0,15.0,18615.0,0
2026-06-26,1223.0,1223.0,1223.0,1223.0,0.0,2647.0,3237281.0,0
2026-06-29,1200.0,1210.0,1200.0,1210.0,0.83,35.0,42250.0,1
2026-06-30,1240.0,1246.3,1202.8,1202.8,-3.0,150.0,185227.5,-1
2026-07-02,1202.0,1202.0,1202.0,1202.0,0.0,25.0,30050.0,0
2026-07-06,1202.0,1202.0,1202.0,1202.0,0.0,50.0,60100.0,0
2026-07-07,1215.0,1215.0,1106.0,1106.0,-8.97,12270.0,14899297.0,-1
2026-07-08,1139.1,1150.0,1010.0,1204.1,5.71,93146.0,103582705.0,1
2026-07-10,1210.0,1225.0,1195.0,1225.0,1.24,4705.0,5692915.0,1
2026-07-13,1188.3,1189.6,1155.0,1175.0,-1.12,1295.0,1511164.5,-1
2026-07-14,1175.0,1210.0,1173.7,1210.0,2.98,3920.0,4688113.7,1
2026-07-15,1224.0,1230.0,1224.0,1230.0,0.49,215.0,263849.0,1
2026-07-16,1225.0,1245.0,1210.0,1210.0,-1.22,101780.0,126688876.5,-1
2026-07-17,1175.0,1175.0,1175.0,1175.0,0.0,1900.0,2232500.0,0
2026-07-21,1177.0,1215.0,1177.0,1215.0,3.23,75.0,89300.0,1
2026-07-23,1215.0,1240.0,1215.0,1240.0,2.06,450.0,550925.0,1
