published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,8.71,8.85,8.71,8.85,1.61,5948.0,52497.8,1
2025-12-09,9.02,9.02,8.7,8.7,-3.55,2200.0,19464.0,-1
2025-12-10,8.54,8.71,8.54,8.71,1.99,1100.0,9444.0,1
2025-12-11,8.55,8.88,8.41,8.78,2.69,23428.0,205543.56,1
2025-12-14,8.61,8.95,8.61,8.78,1.97,7600.0,66768.5,1
2025-12-15,8.7,8.87,8.7,8.87,1.95,1120.0,9826.2,1
2025-12-16,8.7,8.87,8.7,8.8,1.15,2900.0,25365.0,1
2025-12-17,8.82,8.88,8.82,8.88,0.68,1000.0,8852.0,1
2025-12-18,8.87,9.0,8.87,8.87,0.0,850.0,7541.8,0
2025-12-21,8.81,9.04,8.81,8.98,1.93,30850.0,277797.0,1
2025-12-22,8.98,9.15,8.82,8.89,-1.0,3000.0,27045.2,-1
2025-12-23,8.83,9.06,8.83,8.89,0.68,4000.0,35887.0,1
2025-12-24,8.85,8.96,8.85,8.96,1.24,1600.0,14300.0,1
2025-12-28,8.8,8.93,8.8,8.93,1.48,3550.0,31616.5,1
2025-12-29,8.89,9.1,8.89,9.0,1.24,7810.0,70865.0,1
2025-12-31,8.9,9.18,8.9,9.1,2.25,19087.0,174995.66,1
2026-01-01,8.96,9.18,8.96,9.1,1.56,6900.0,63112.0,1
2026-01-04,8.96,8.98,8.96,8.98,0.22,600.0,5382.0,1
2026-01-05,8.9,9.15,8.9,9.14,2.7,8803.0,79377.91,1
2026-01-06,9.0,9.21,9.0,9.1,1.11,18000.0,163929.55,1
2026-01-07,9.0,9.1,9.0,9.01,0.11,400.0,3612.0,1
2026-01-08,8.86,9.0,8.86,9.0,1.58,1100.0,9850.0,1
2026-01-12,8.85,9.08,8.85,9.08,2.6,6490.0,58473.7,1
