published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1800.0,1892.0,1733.0,1830.0,1.67,134790.0,239760971.0,1
2025-12-09,1830.0,1836.0,1794.1,1801.0,-1.58,32590.0,58915567.0,-1
2025-12-10,1801.0,1810.4,1752.0,1754.1,-2.6,60435.0,106903538.5,-1
2025-12-11,1741.0,1805.0,1735.0,1796.0,3.16,54615.0,96570613.5,1
2025-12-14,1796.0,1808.0,1756.1,1765.0,-1.73,39348.0,69845436.0,-1
2025-12-15,1756.0,1805.0,1751.0,1772.0,0.91,35750.0,63588966.8,1
2025-12-16,1772.0,1785.0,1766.5,1770.0,-0.11,21380.0,37946262.0,-1
2025-12-17,1805.4,1805.4,1740.2,1773.0,-1.79,21614.0,38320564.1,-1
2025-12-18,1740.0,1777.0,1740.0,1740.3,0.02,37422.0,65620505.2,1
2025-12-21,1720.3,1740.0,1670.0,1680.2,-2.33,48656.0,82956336.7,-1
2025-12-22,1666.0,1679.9,1652.1,1676.1,0.61,33929.0,56490001.1,1
2025-12-23,1654.0,1754.8,1653.4,1720.0,3.99,49483.0,85345522.0,1
2025-12-24,1690.0,1744.2,1685.0,1690.1,0.01,17378.0,29555653.7,1
2025-12-28,1690.0,1710.0,1670.0,1687.0,-0.18,28702.0,48606775.1,-1
2025-12-29,1697.0,1700.0,1672.0,1678.9,-1.07,29857.0,50348098.2,-1
2025-12-31,1680.0,1725.0,1676.6,1678.0,-0.12,31924.0,54196375.4,-1
2026-01-01,1650.5,1725.0,1650.5,1699.9,2.99,61283.0,104468595.2,1
2026-01-04,1666.0,1849.0,1666.0,1833.0,10.02,105590.0,189252275.8,1
2026-01-05,1833.0,2016.3,1833.0,2016.3,10.0,81032.0,156892528.1,1
2026-01-06,2020.0,2060.0,1931.7,1932.0,-4.36,93360.0,184563766.2,-1
2026-01-07,1932.0,2009.0,1915.0,1969.0,1.92,79760.0,156867977.3,1
2026-01-08,1955.0,2038.8,1955.0,1980.0,1.28,75232.0,150347504.9,1
2026-01-12,1980.0,2047.0,1980.0,2001.0,1.06,92460.0,186314527.6,1
2026-01-13,2010.0,2020.0,1960.0,1966.0,-2.19,75443.0,150017921.5,-1
2026-01-14,1960.0,2019.6,1960.0,2005.0,2.3,54968.0,109379702.2,1
2026-01-18,2039.0,2205.5,2020.0,2205.5,8.17,115153.0,246989458.4,1
2026-01-20,2249.6,2320.0,2191.5,2235.0,-0.65,56353.0,127408151.6,-1
