published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,8.83,9.17,8.82,9.14,3.51,4600.0,40841.0,1
2025-12-09,9.32,9.32,9.08,9.19,-1.39,159457.0,1479049.23,-1
2025-12-10,9.01,9.19,9.01,9.16,1.66,9145.0,83213.9,1
2025-12-11,8.98,9.16,8.98,9.02,0.45,2750.0,24874.0,1
2025-12-14,9.02,9.2,8.87,9.1,0.89,24900.0,224434.0,1
2025-12-15,9.0,9.12,9.0,9.03,0.33,5540.0,49982.0,1
2025-12-16,8.93,9.1,8.92,9.03,1.12,29070.0,262371.1,1
2025-12-17,8.95,9.21,8.95,9.03,0.89,36300.0,330739.25,1
2025-12-18,8.93,9.21,8.93,9.19,2.91,13150.0,120320.4,1
2025-12-21,9.3,9.3,8.94,9.1,-2.15,14100.0,128502.0,-1
2025-12-22,8.95,9.12,8.95,9.02,0.78,17300.0,156241.0,1
2025-12-23,8.84,9.19,8.84,9.0,1.81,5210.0,46565.9,1
2025-12-24,9.1,9.18,8.92,9.18,0.88,7900.0,70767.0,1
2025-12-28,9.36,9.36,8.93,9.17,-2.03,35000.0,316397.0,-1
2025-12-29,9.35,9.35,8.82,9.11,-2.57,27725.0,253494.0,-1
2025-12-31,8.98,9.18,8.98,9.02,0.45,6497.0,59303.99,1
2026-01-01,9.2,9.28,9.02,9.2,0.0,20800.0,189729.5,0
2026-01-04,9.3,9.38,9.02,9.2,-1.08,3710.0,33778.4,-1
2026-01-05,9.3,9.3,9.11,9.11,-2.04,10900.0,100257.0,-1
2026-01-06,9.29,9.29,8.93,9.07,-2.37,6163.0,55858.07,-1
2026-01-07,9.25,9.25,8.95,9.24,-0.11,27230.0,250032.7,-1
2026-01-08,9.4,9.4,9.06,9.24,-1.7,1710.0,15728.4,-1
2026-01-12,9.42,9.42,9.15,9.25,-1.8,7300.0,67381.0,-1
2026-01-13,9.07,9.25,9.07,9.2,1.43,6200.0,56513.0,1
2026-01-14,9.38,9.38,8.31,9.29,-0.96,20186.0,180258.2,-1
