published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,790.0,805.0,790.0,795.5,0.7,1530.0,1217065.5,1
2025-12-09,790.0,812.9,790.0,807.5,2.22,1810.0,1461551.0,1
2025-12-10,800.1,807.0,800.1,802.0,0.24,523.0,419849.0,1
2025-12-11,814.0,818.0,801.1,805.0,-1.11,1691.0,1362647.0,-1
2025-12-14,805.0,817.9,802.0,806.0,0.12,3417.0,2754400.2,1
2025-12-15,806.0,819.8,805.0,808.0,0.25,2261.0,1825681.3,1
2025-12-16,810.0,819.7,807.1,810.1,0.01,1398.0,1133295.0,1
2025-12-17,800.3,815.0,800.3,808.3,1.0,1423.0,1152278.5,1
2025-12-18,810.0,810.1,800.0,800.0,-1.23,1822.0,1463674.0,-1
2025-12-21,790.0,800.0,790.0,792.9,0.37,660.0,523561.0,1
2025-12-22,799.0,800.0,784.1,790.0,-1.13,3955.0,3133973.8,-1
2025-12-23,805.8,810.0,790.2,791.0,-1.84,1743.0,1391648.0,-1
2025-12-24,791.0,807.0,791.0,793.5,0.32,1067.0,856860.5,1
2025-12-28,800.0,805.0,793.0,805.0,0.62,1341.0,1072051.0,1
2025-12-29,792.1,811.0,792.1,805.0,1.63,1384.0,1111133.3,1
2025-12-31,800.0,805.0,796.1,797.1,-0.36,1524.0,1218245.0,-1
2026-01-01,783.1,800.0,783.1,793.0,1.26,2154.0,1703924.0,1
2026-01-04,785.2,800.0,785.2,793.5,1.06,1217.0,967613.2,1
2026-01-05,793.0,805.9,793.0,796.0,0.38,3650.0,2910777.8,1
2026-01-06,796.0,812.0,795.7,805.0,1.13,4236.0,3384080.2,1
2026-01-07,800.0,800.0,795.0,800.0,0.0,4045.0,3226056.0,0
2026-01-08,800.0,805.0,795.1,800.0,0.0,2973.0,2384751.0,0
2026-01-12,793.0,811.8,792.5,800.0,0.88,2632.0,2109827.4,1
2026-01-13,800.0,804.5,795.1,800.0,0.0,2154.0,1721838.2,0
2026-01-14,795.0,812.0,795.0,807.0,1.51,5994.0,4853879.9,1
2026-01-18,800.0,832.3,793.0,817.9,2.24,4737.0,3884188.6,1
2026-01-20,801.6,830.0,801.6,830.0,3.54,5014.0,4098769.8,1
2026-01-21,813.4,909.0,813.4,868.0,6.71,13035.0,11292730.1,1
2026-01-22,850.7,880.0,834.0,852.1,0.16,5425.0,4635018.5,1
2026-01-25,860.0,862.0,843.0,858.0,-0.23,3105.0,2640387.0,-1
2026-01-26,850.0,860.0,835.0,836.0,-1.65,5083.0,4285550.1,-1
2026-01-27,832.2,852.0,824.0,830.0,-0.26,7725.0,6461156.1,-1
2026-01-28,844.9,844.9,815.0,820.0,-2.95,5543.0,4568124.0,-1
2026-01-29,821.0,835.0,811.1,820.0,-0.12,2913.0,2381741.5,-1
2026-02-01,810.0,836.0,803.6,810.1,0.01,2379.0,1927665.7,1
2026-02-02,815.0,846.0,800.0,810.1,-0.6,1046.0,852205.0,-1
2026-02-03,810.1,840.0,810.1,817.9,0.96,3515.0,2864334.5,1
2026-02-04,806.0,826.2,806.0,816.1,1.25,1115.0,910619.0,1
2026-02-05,815.0,835.0,815.0,835.0,2.45,3322.0,2736193.0,1
2026-02-08,821.0,846.0,821.0,827.9,0.84,6576.0,5470264.5,1
2026-02-09,813.1,829.1,813.0,813.0,-0.01,1270.0,1036104.0,-1
2026-02-10,815.0,829.2,805.7,807.0,-0.98,3211.0,2619656.6,-1
2026-02-11,823.0,835.0,806.1,812.0,-1.34,2395.0,1950086.0,-1
2026-02-12,805.0,830.0,805.0,830.0,3.11,3644.0,2993106.0,1
2026-02-16,818.0,819.0,814.0,814.0,-0.49,840.0,685627.0,-1
2026-02-17,803.1,820.0,803.1,803.7,0.07,2642.0,2128354.5,1
2026-02-22,804.0,810.0,798.0,798.1,-0.73,1092.0,874525.8,-1
2026-02-23,798.0,804.9,791.0,800.0,0.25,2193.0,1751629.8,1
2026-02-24,800.0,812.0,797.1,811.0,1.38,1149.0,926690.5,1
2026-02-25,800.0,813.0,800.0,810.0,1.25,1001.0,808332.5,1
2026-02-26,800.0,807.0,796.0,802.0,0.25,867.0,695041.4,1
2026-03-01,805.0,810.0,791.0,810.0,0.62,1676.0,1344590.5,1
2026-03-03,805.1,829.9,801.1,816.0,1.35,1049.0,858521.1,1
2026-03-09,832.0,848.6,832.0,848.6,2.0,160.0,133286.0,1
2026-03-10,865.5,882.0,833.0,850.0,-1.79,8008.0,6804311.5,-1
2026-03-11,836.0,866.0,835.0,845.0,1.08,3507.0,2959035.3,1
2026-03-12,845.0,859.0,838.0,849.0,0.47,1890.0,1596008.0,1
2026-03-15,833.3,845.0,828.6,828.6,-0.56,3448.0,2875193.0,-1
2026-03-16,821.3,833.1,821.2,828.0,0.82,1383.0,1143859.0,1
2026-03-17,844.5,844.5,819.1,821.6,-2.71,1192.0,983696.0,-1
2026-03-19,820.0,840.0,818.0,831.9,1.45,2819.0,2333840.2,1
2026-03-22,832.1,843.0,822.2,835.0,0.35,6077.0,5041855.8,1
2026-03-23,844.0,860.0,835.2,860.0,1.9,9435.0,8008781.8,1
2026-03-24,870.0,870.0,845.2,862.0,-0.92,4324.0,3698072.0,-1
2026-03-25,851.0,865.0,848.0,850.0,-0.12,3127.0,2666460.9,-1
2026-03-26,838.0,859.8,838.0,859.5,2.57,5120.0,4329367.8,1
2026-03-29,844.2,859.5,815.0,849.9,0.68,9410.0,7918238.8,1
2026-03-30,836.0,853.5,820.0,848.0,1.44,5126.0,4314247.8,1
