published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1520.0,1558.0,1520.0,1558.0,2.5,309.0,473155.0,1
2025-12-09,1586.0,1586.0,1524.0,1549.0,-2.33,1293.0,1979984.0,-1
2025-12-10,1521.6,1552.0,1521.6,1552.0,2.0,284.0,438351.4,1
2025-12-11,1580.0,1580.0,1500.0,1535.0,-2.85,254.0,387436.6,-1
2025-12-14,1515.0,1597.0,1514.0,1515.5,0.03,1843.0,2857588.6,1
2025-12-15,1516.0,1525.0,1500.0,1525.0,0.59,1488.0,2251105.5,1
2025-12-16,1500.1,1529.0,1500.1,1505.0,0.33,163.0,245956.4,1
2025-12-17,1505.0,1507.9,1505.0,1506.3,0.09,270.0,406603.7,1
2025-12-18,1506.0,1506.0,1482.6,1483.3,-1.51,806.0,1200140.0,-1
2025-12-21,1485.9,1497.9,1475.0,1497.9,0.81,542.0,803805.7,1
2025-12-22,1525.0,1525.0,1471.8,1518.0,-0.46,219.0,326973.6,-1
2025-12-23,1518.0,1524.0,1518.0,1524.0,0.4,35.0,53234.0,1
2025-12-24,1520.0,1524.0,1520.0,1520.0,0.0,144.0,219053.0,0
2025-12-28,1490.1,1529.0,1490.1,1529.0,2.61,846.0,1269824.6,1
2025-12-29,1499.0,1510.0,1470.0,1486.0,-0.87,972.0,1450868.0,-1
2025-12-31,1515.0,1524.0,1482.1,1524.0,0.59,370.0,556677.0,1
2026-01-01,1495.0,1524.0,1490.1,1524.0,1.94,229.0,342608.3,1
2026-01-04,1494.5,1510.0,1471.0,1510.0,1.04,802.0,1197712.5,1
2026-01-05,1483.1,1520.0,1480.0,1520.0,2.49,746.0,1110325.9,1
2026-01-06,1501.2,1521.5,1492.0,1521.5,1.35,509.0,762947.9,1
2026-01-07,1500.0,1518.9,1500.0,1518.9,1.26,397.0,595689.0,1
2026-01-08,1518.9,1524.0,1480.2,1480.4,-2.53,759.0,1141900.6,-1
2026-01-12,1510.0,1525.0,1486.0,1500.0,-0.66,504.0,761194.0,-1
2026-01-13,1505.0,1508.0,1485.1,1495.0,-0.66,974.0,1452965.4,-1
2026-01-14,1495.0,1498.9,1470.0,1498.9,0.26,1170.0,1728408.5,1
2026-01-18,1515.0,1525.0,1493.5,1519.0,0.26,786.0,1187466.0,1
2026-01-20,1520.0,1534.8,1492.1,1524.0,0.26,4390.0,6669900.6,1
2026-01-21,1550.8,1550.8,1495.0,1510.0,-2.63,849.0,1285944.4,-1
2026-01-22,1480.0,1510.0,1480.0,1510.0,2.03,2144.0,3193593.8,1
2026-01-25,1535.0,1565.0,1452.0,1520.0,-0.98,1760.0,2662532.4,-1
2026-01-26,1525.0,1528.9,1490.0,1513.0,-0.79,2627.0,3935143.1,-1
