published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,8.85,9.07,8.74,9.06,2.37,44450.0,401511.0,1
2025-12-09,9.0,9.18,9.0,9.01,0.11,7000.0,63118.5,1
2025-12-10,8.85,9.15,8.85,9.0,1.69,9200.0,83052.0,1
2025-12-11,8.83,9.01,8.83,9.0,1.93,10970.0,98669.0,1
2025-12-14,8.82,9.15,8.82,9.0,2.04,13210.0,118345.0,1
2025-12-15,9.0,9.16,8.84,9.16,1.78,6650.0,59381.0,1
2025-12-16,9.0,9.15,8.98,8.99,-0.11,86700.0,780667.0,-1
2025-12-17,9.0,9.1,8.82,8.96,-0.44,48100.0,432243.0,-1
2025-12-18,9.0,9.0,8.72,8.72,-3.11,990120.0,8821072.8,-1
2025-12-21,8.72,9.15,8.72,9.12,4.59,87000.0,783714.0,1
2025-12-22,8.95,9.3,8.95,9.05,1.12,1277180.0,11721044.15,1
2025-12-23,9.22,9.22,8.89,8.92,-3.25,4945.0,44331.9,-1
2025-12-24,8.9,8.95,8.88,8.95,0.56,3800.0,33828.0,1
2025-12-28,8.86,9.21,8.85,9.1,2.71,20000.0,180190.0,1
2025-12-29,9.0,9.2,8.95,9.1,1.11,5530.0,49826.6,1
2025-12-31,8.93,9.11,8.93,9.11,2.02,5300.0,47693.0,1
2026-01-01,8.95,9.38,8.95,9.18,2.57,15150.0,139851.0,1
2026-01-04,9.0,9.3,8.86,9.01,0.11,8500.0,77540.0,1
2026-01-05,9.0,9.2,8.9,9.05,0.56,9400.0,85232.0,1
2026-01-06,9.0,9.01,9.0,9.0,0.0,9200.0,82811.0,0
2026-01-07,8.84,9.2,8.84,9.2,4.07,16115.0,146333.7,1
2026-01-08,9.02,9.22,8.85,9.2,2.0,8150.0,74024.8,1
2026-01-12,9.02,9.15,8.95,9.15,1.44,4623.0,41802.3,1
2026-01-13,8.97,9.2,8.97,9.1,1.45,17740.0,161688.4,1
2026-01-14,9.01,9.06,9.01,9.06,0.55,6155.0,55641.3,1
2026-01-18,8.95,9.24,8.95,9.11,1.79,10020.0,91518.3,1
2026-01-20,9.01,9.29,9.01,9.14,1.44,40830.0,374262.3,1
2026-01-21,9.05,9.23,9.05,9.17,1.33,10720.0,98637.4,1
2026-01-22,9.1,9.36,9.1,9.21,1.21,82936.0,770705.9,1
2026-01-25,9.1,9.38,9.1,9.26,1.76,26150.0,241543.5,1
2026-01-26,9.11,9.76,9.11,9.69,6.37,120885.0,1167749.12,1
2026-01-27,9.5,9.53,9.35,9.4,-1.05,6000.0,56901.0,-1
2026-01-28,9.24,9.58,9.24,9.41,1.84,32284.0,303318.32,1
2026-01-29,9.3,9.76,9.3,9.57,2.9,17895.0,172636.8,1
2026-02-01,9.38,9.59,9.38,9.4,0.21,7650.0,72251.5,1
2026-02-02,9.4,9.67,9.4,9.5,1.06,62441.0,600410.07,1
2026-02-03,9.32,9.59,9.32,9.59,2.9,24370.0,228995.5,1
2026-02-04,9.4,9.68,9.4,9.53,1.38,12900.0,122826.0,1
2026-02-05,9.41,9.72,9.4,9.72,3.29,8510.0,80429.0,1
2026-02-08,9.53,9.79,9.34,9.6,0.73,76299.0,740284.59,1
2026-02-09,9.41,9.45,9.41,9.42,0.11,4400.0,41473.0,1
2026-02-10,9.5,9.78,9.24,9.5,0.0,25699.0,242384.9,0
2026-02-11,9.31,10.4,9.31,9.5,2.04,14000.0,135293.0,1
2026-02-12,9.36,9.85,9.36,9.65,3.1,16100.0,155492.0,1
2026-02-16,9.46,9.8,9.27,9.6,1.48,16350.0,156818.3,1
2026-02-17,9.58,9.7,9.46,9.7,1.25,31200.0,299538.2,1
2026-02-22,9.75,9.75,9.39,9.43,-3.28,18880.0,177709.6,-1
2026-02-23,9.26,9.55,9.26,9.4,1.51,3600.0,33893.0,1
2026-02-24,9.33,9.41,9.33,9.41,0.86,1850.0,17347.5,1
2026-02-25,9.32,9.59,9.32,9.47,1.61,7800.0,74243.0,1
2026-02-26,9.3,9.65,9.3,9.51,2.26,15500.0,147151.0,1
2026-03-01,9.4,9.5,9.31,9.48,0.85,34000.0,317896.0,1
2026-03-03,9.48,9.82,9.35,9.6,1.27,4300.0,41426.0,1
2026-03-10,9.6,9.89,9.41,9.79,1.98,48150.0,467578.5,1
2026-03-11,9.6,9.65,9.45,9.65,0.52,22900.0,219019.0,1
2026-03-12,9.5,9.85,9.5,9.85,3.68,33325.0,321581.0,1
2026-03-15,9.66,9.95,9.66,9.95,3.0,53720.0,531018.0,1
2026-03-16,9.76,9.97,9.47,9.8,0.41,6710.0,65544.7,1
2026-03-17,9.7,9.99,9.7,9.9,2.06,76238.0,754020.7,1
2026-03-19,9.8,9.99,9.79,9.9,1.02,91566.0,899746.74,1
2026-03-22,9.71,9.9,9.71,9.9,1.96,19126.0,187930.06,1
2026-03-23,10.08,10.08,9.72,10.0,-0.79,30810.0,307788.5,-1
2026-03-24,9.9,10.02,9.82,9.96,0.61,17890.0,178439.0,1
2026-03-25,9.88,10.09,9.88,9.98,1.01,101795.0,1022629.1,1
2026-03-26,9.95,10.1,9.95,10.01,0.6,45762.0,458817.23,1
2026-03-29,9.95,10.05,9.95,10.05,1.01,13830.0,138230.6,1
2026-03-30,9.86,10.0,9.86,10.0,1.42,6950.0,69269.0,1
2026-03-31,9.97,10.05,9.97,10.01,0.4,163045.0,1631698.45,1
2026-04-01,10.0,10.0,9.9,10.0,0.0,15950.0,159444.0,0
2026-04-02,9.81,9.95,9.73,9.91,1.02,8040.0,79094.5,1
2026-04-05,9.86,9.9,9.68,9.78,-0.81,72750.0,716622.8,-1
2026-04-06,9.63,9.95,9.63,9.95,3.32,13000.0,126531.0,1
