published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,2108.0,2108.0,1935.9,2040.0,-3.23,12702.0,25287748.6,-1
2025-12-09,2040.0,2040.0,2001.0,2030.0,-0.49,1814.0,3662999.7,-1
2025-12-10,2035.0,2047.0,1993.0,2037.0,0.1,2578.0,5163968.2,1
2025-12-11,1997.0,2030.0,1961.0,2015.0,0.9,2211.0,4420614.3,1
2025-12-14,2010.0,2020.0,1990.5,1997.0,-0.65,1605.0,3229031.7,-1
2025-12-15,1985.3,2018.0,1985.3,2005.0,0.99,995.0,1989745.3,1
2025-12-16,2005.0,2015.0,2000.0,2015.0,0.5,1053.0,2114802.0,1
2025-12-17,2005.0,2007.0,1995.0,1996.1,-0.44,1584.0,3170171.0,-1
2025-12-18,1990.1,1995.0,1981.0,1985.3,-0.24,595.0,1181767.0,-1
2025-12-21,1980.0,1990.0,1950.1,1952.0,-1.41,3843.0,7521484.1,-1
2025-12-22,1945.0,1950.0,1925.0,1926.0,-0.98,1947.0,3768684.5,-1
2025-12-23,1902.0,1935.0,1891.5,1935.0,1.74,1348.0,2574488.7,1
2025-12-24,1935.0,1935.0,1900.0,1900.0,-1.81,2036.0,3874225.0,-1
2025-12-28,1900.0,1910.0,1886.5,1891.0,-0.47,3550.0,6731291.6,-1
2025-12-29,1928.0,1928.0,1882.2,1886.0,-2.18,2892.0,5477431.3,-1
2025-12-31,1756.8,1791.9,1740.0,1740.0,-0.96,2930.0,5149090.5,-1
2026-01-01,1740.0,1760.0,1740.0,1745.0,0.29,1269.0,2218215.5,1
2026-01-04,1745.0,1760.0,1710.1,1750.0,0.29,1809.0,3139921.5,1
2026-01-05,1750.1,1799.0,1750.0,1799.0,2.79,2320.0,4124962.9,1
2026-01-06,1834.0,1834.0,1785.0,1813.0,-1.15,6591.0,11852138.8,-1
2026-01-07,1800.0,1810.0,1785.0,1790.0,-0.56,1335.0,2399648.0,-1
2026-01-08,1800.0,1817.0,1790.0,1790.0,-0.56,2713.0,4873841.9,-1
2026-01-12,1770.0,1805.0,1740.0,1780.0,0.56,1529.0,2698977.3,1
