published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,450.0,462.0,450.0,458.5,1.89,17501.0,7984959.4,1
2025-12-09,450.3,476.1,450.3,471.9,4.8,28330.0,13301979.7,1
2025-12-10,462.5,486.8,462.5,481.0,4.0,29707.0,14286647.6,1
2025-12-11,471.4,487.0,471.0,474.0,0.55,22209.0,10596354.3,1
2025-12-14,479.0,480.0,458.0,458.0,-4.38,12932.0,6024978.6,-1
2025-12-15,455.5,465.0,455.5,462.0,1.43,7926.0,3650528.5,1
2025-12-16,462.0,472.6,462.0,469.0,1.52,8742.0,4072824.6,1
2025-12-17,462.0,474.0,461.1,466.0,0.87,10417.0,4838854.5,1
2025-12-18,462.0,471.8,462.0,469.4,1.6,8381.0,3911567.7,1
2025-12-21,462.0,468.0,455.0,460.0,-0.43,7255.0,3328926.9,-1
2025-12-22,453.0,457.1,447.2,451.0,-0.44,9043.0,4084174.7,-1
2025-12-23,447.5,457.1,447.5,454.9,1.65,13627.0,6170570.5,1
2025-12-24,456.0,462.9,452.0,457.0,0.22,4936.0,2243828.9,1
2025-12-28,453.1,467.0,453.1,458.0,1.08,5257.0,2412022.8,1
2025-12-29,458.0,465.0,455.6,460.0,0.44,8399.0,3844943.4,1
2025-12-31,460.0,469.0,460.0,465.4,1.17,13437.0,6240198.8,1
2026-01-01,463.0,467.0,455.6,459.0,-0.86,18870.0,8688471.1,-1
2026-01-04,459.1,462.0,455.1,460.0,0.2,9400.0,4295285.2,1
2026-01-05,463.9,467.0,456.3,466.0,0.45,13679.0,6326727.1,1
2026-01-06,465.0,480.0,461.0,469.0,0.86,18000.0,8494844.6,1
2026-01-07,478.0,478.0,457.1,464.0,-2.93,7886.0,3667384.6,-1
2026-01-08,463.0,466.0,456.0,460.0,-0.65,13361.0,6146447.0,-1
2026-01-12,451.1,469.0,451.1,456.0,1.09,9067.0,4171659.1,1
2026-01-13,465.0,465.0,451.6,453.1,-2.56,11889.0,5417008.5,-1
2026-01-14,453.0,460.9,450.1,450.3,-0.6,9855.0,4471871.7,-1
2026-01-18,444.5,459.2,444.5,451.1,1.48,8616.0,3896258.1,1
2026-01-20,460.0,464.0,450.0,450.0,-2.17,21895.0,9967056.4,-1
2026-01-21,454.0,468.0,454.0,468.0,3.08,27792.0,12865881.1,1
2026-01-22,460.0,469.0,459.0,462.5,0.54,8432.0,3891561.7,1
2026-01-25,457.0,474.9,457.0,472.0,3.28,19758.0,9277529.2,1
2026-01-26,470.0,476.7,466.0,476.0,1.28,17220.0,8122538.0,1
2026-01-27,468.3,500.0,468.3,485.2,3.61,55557.0,26976507.4,1
2026-01-28,486.0,517.0,486.0,506.0,4.12,83479.0,42029085.2,1
2026-01-29,501.0,516.0,492.0,493.0,-1.6,32215.0,16219830.9,-1
2026-02-01,488.1,494.0,480.0,485.0,-0.64,17033.0,8257792.6,-1
2026-02-02,481.5,492.0,481.5,486.6,1.06,32206.0,15668208.6,1
2026-02-03,485.0,500.0,485.0,494.0,1.86,31599.0,15516841.2,1
2026-02-04,491.2,515.9,491.2,503.0,2.4,35249.0,17859662.0,1
2026-02-05,493.1,539.0,493.1,538.0,9.11,146008.0,76299056.1,1
2026-02-08,528.0,551.9,528.0,549.0,3.98,65395.0,35618290.7,1
2026-02-09,538.1,568.0,538.1,551.0,2.4,93784.0,51474473.3,1
2026-02-10,540.0,553.5,538.0,544.0,0.74,44874.0,24329243.8,1
2026-02-11,538.0,550.0,530.0,539.0,0.19,42452.0,22704120.4,1
2026-02-12,530.0,540.0,530.0,533.1,0.58,31168.0,16636348.8,1
2026-02-16,535.0,538.9,531.0,535.0,0.0,20168.0,10775632.2,0
2026-02-17,525.0,540.0,525.0,530.1,0.97,20213.0,10742393.0,1
2026-02-22,522.0,527.0,500.0,502.0,-3.83,20657.0,10616822.3,-1
2026-02-23,502.0,516.0,501.2,503.2,0.24,13761.0,6945260.5,1
2026-02-24,500.0,550.8,500.0,532.0,6.4,39567.0,20787234.7,1
2026-02-25,542.6,555.0,538.0,554.1,2.12,87723.0,48157278.1,1
2026-02-26,545.0,565.0,545.0,558.0,2.39,49101.0,27299838.5,1
2026-03-01,546.9,561.0,544.0,551.9,0.91,22044.0,12125534.8,1
2026-03-03,543.5,565.9,543.5,564.8,3.92,33914.0,18996030.1,1
2026-03-09,576.0,587.5,576.0,587.5,2.0,710.0,413675.0,1
2026-03-10,599.0,599.0,566.1,570.0,-4.84,51881.0,29709633.5,-1
2026-03-11,570.0,578.9,551.3,551.8,-3.19,30497.0,17143229.7,-1
2026-03-12,542.5,560.0,542.5,555.0,2.3,31600.0,17437986.0,1
2026-03-15,545.0,565.0,545.0,546.2,0.22,36764.0,20230500.7,1
2026-03-16,540.0,549.0,540.0,548.0,1.48,45431.0,24689522.5,1
2026-03-17,541.0,582.0,541.0,571.4,5.62,207373.0,115507722.6,1
2026-03-19,581.0,582.0,565.1,565.1,-2.74,83634.0,47678362.1,-1
2026-03-22,565.2,572.0,548.0,561.0,-0.74,53101.0,29454168.3,-1
2026-03-23,550.3,559.0,544.2,559.0,1.58,24622.0,13527637.7,1
2026-03-24,547.9,557.0,547.9,553.0,0.93,36014.0,19869178.2,1
2026-03-25,559.0,559.0,546.0,547.0,-2.15,40535.0,22291232.9,-1
2026-03-26,555.0,557.9,545.0,556.0,0.18,29386.0,16250171.5,1
2026-03-29,556.0,556.0,532.0,532.0,-4.32,22903.0,12396091.2,-1
2026-03-30,530.0,535.0,520.0,521.0,-1.7,24797.0,13011132.2,-1
2026-03-31,515.0,529.0,513.0,521.0,1.17,12618.0,6575760.6,1
2026-04-01,511.0,530.0,500.0,500.5,-2.05,21440.0,10847794.0,-1
2026-04-02,510.0,519.0,491.0,506.0,-0.78,20494.0,10358612.9,-1
2026-04-05,495.9,498.0,470.0,476.0,-4.01,139525.0,67948345.4,-1
2026-04-06,470.0,519.0,470.0,519.0,10.43,10927.0,5377876.7,1
2026-04-07,509.0,515.0,498.9,500.0,-1.77,14395.0,7266945.5,-1
