published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1240.0,1240.0,1231.0,1235.1,-0.4,110.0,136126.0,-1
2025-12-09,1236.1,1241.0,1236.1,1241.0,0.4,100.0,123952.5,1
2025-12-10,1262.0,1262.0,1262.0,1262.0,0.0,220.0,277640.0,0
2025-12-16,1237.0,1237.0,1237.0,1237.0,0.0,85.0,105145.0,0
2025-12-17,1212.3,1212.3,1212.3,1212.3,0.0,25.0,30307.5,0
2025-12-18,1200.0,1225.0,1200.0,1225.0,2.08,155.0,187850.0,1
2025-12-21,1225.0,1251.0,1202.0,1251.0,2.12,1130.0,1408312.5,1
2025-12-22,1240.0,1240.0,1240.0,1240.0,0.0,25.0,31000.0,0
2025-12-23,1241.1,1245.0,1241.1,1245.0,0.31,100.0,124402.5,1
2025-12-29,1245.0,1245.0,1243.0,1243.0,-0.16,55.0,68415.0,-1
2025-12-31,1245.0,1252.0,1245.0,1252.0,0.56,325.0,406550.0,1
2026-01-01,1245.0,1245.0,1245.0,1245.0,0.0,25.0,31125.0,0
2026-01-04,1250.0,1250.0,1250.0,1250.0,0.0,35.0,43750.0,0
2026-01-05,1240.0,1242.0,1240.0,1242.0,0.16,75.0,93100.0,1
2026-01-06,1235.0,1235.0,1235.0,1235.0,0.0,25.0,30875.0,0
2026-01-07,1227.0,1245.0,1227.0,1236.0,0.73,150.0,185402.5,1
2026-01-08,1215.0,1215.0,1215.0,1215.0,0.0,25.0,30375.0,0
2026-01-12,1232.0,1274.0,1232.0,1250.0,1.46,210.0,263890.0,1
2026-01-13,1245.0,1255.0,1245.0,1250.0,0.4,340.0,424900.0,1
2026-01-14,1250.0,1250.0,1250.0,1250.0,0.0,50.0,62500.0,0
2026-01-18,1225.0,1225.0,1200.5,1200.5,-2.0,35.0,42262.5,-1
2026-01-20,1178.0,1178.0,1155.0,1155.0,-1.95,135.0,157075.0,-1
2026-01-21,1151.0,1158.0,1151.0,1158.0,0.61,70.0,80827.0,1
2026-01-22,1151.0,1151.0,1151.0,1151.0,0.0,25.0,28775.0,0
2026-01-25,1151.0,1151.0,1145.1,1150.0,-0.09,210.0,240833.5,-1
2026-01-26,1150.0,1151.0,1150.0,1151.0,0.09,45.0,51815.0,1
2026-01-28,1160.0,1160.0,1160.0,1160.0,0.0,25.0,29000.0,0
2026-01-29,1160.0,1160.0,1160.0,1183.2,2.0,5.0,5916.0,1
2026-02-01,1183.2,1183.2,1183.2,1206.8,1.99,5.0,6034.0,1
2026-02-02,1209.0,1209.0,1209.0,1209.0,0.0,470.0,568230.0,0
2026-02-03,1200.0,1200.0,1192.6,1192.6,-0.62,75.0,89630.0,-1
2026-02-04,1188.0,1189.1,1188.0,1189.1,0.09,50.0,59427.5,1
2026-02-05,1195.1,1195.1,1195.1,1195.1,0.0,25.0,29877.5,0
2026-02-08,1201.0,1201.0,1179.0,1179.0,-1.83,100.0,119540.0,-1
2026-02-09,1190.0,1191.1,1190.0,1191.1,0.09,50.0,59527.5,1
2026-02-10,1185.0,1193.1,1181.0,1193.1,0.68,136.0,161318.5,1
2026-02-12,1210.0,1210.0,1210.0,1210.0,0.0,50.0,60500.0,0
2026-02-16,1186.0,1186.0,1186.0,1186.0,0.0,25.0,29650.0,0
2026-02-17,1182.0,1189.0,1182.0,1189.0,0.59,145.0,172005.0,1
2026-02-22,1190.0,1190.0,1190.0,1190.0,0.0,10.0,11900.0,0
2026-02-23,1190.0,1190.0,1190.0,1213.8,2.0,5.0,6069.0,1
2026-02-24,1190.1,1190.1,1190.1,1190.1,0.0,50.0,59509.5,0
2026-03-01,1213.0,1215.0,1213.0,1215.0,0.16,426.0,517480.0,1
2026-03-03,1200.0,1200.0,1200.0,1200.0,0.0,50.0,60000.0,0
2026-03-10,1195.1,1195.1,1195.0,1195.0,-0.01,65.0,77677.5,-1
2026-03-11,1185.0,1185.0,1185.0,1185.0,0.0,25.0,29625.0,0
2026-03-12,1191.0,1194.0,1191.0,1194.0,0.25,75.0,89452.5,1
2026-03-15,1194.0,1194.0,1181.1,1181.1,-1.08,75.0,89227.5,-1
2026-03-16,1171.1,1171.1,1171.0,1171.0,-0.01,100.0,117102.5,-1
2026-03-19,1171.0,1200.0,1171.0,1200.0,2.48,81.0,97194.4,1
2026-03-22,1219.0,1219.0,1200.0,1200.0,-1.56,537.0,654128.0,-1
2026-03-23,1200.0,1200.0,1200.0,1200.0,0.0,50.0,60000.0,0
2026-03-25,1176.1,1199.6,1176.1,1199.6,2.0,50.0,59392.5,1
2026-03-26,1223.5,1223.5,1223.5,1223.5,0.0,50.0,61175.0,0
2026-03-29,1199.1,1199.1,1199.1,1199.1,0.0,25.0,29977.5,0
