published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,705.6,760.0,705.6,725.0,2.75,33327.0,24294507.3,1
2025-12-09,710.5,744.0,710.5,728.0,2.46,28643.0,20814916.8,1
2025-12-10,715.0,746.0,695.0,695.3,-2.76,46274.0,32792481.0,-1
2025-12-11,687.0,707.0,680.0,689.9,0.42,29864.0,20598893.5,1
2025-12-14,680.0,700.0,671.2,683.0,0.44,23232.0,15835651.0,1
2025-12-15,683.0,714.9,670.8,709.0,3.81,44099.0,30991321.1,1
2025-12-16,710.0,726.0,706.0,707.0,-0.42,35862.0,25745235.4,-1
2025-12-17,700.0,718.0,690.1,699.0,-0.14,22832.0,15972028.3,-1
2025-12-18,686.0,712.0,686.0,697.9,1.73,29522.0,20515532.3,1
2025-12-21,711.7,711.7,676.4,688.0,-3.33,17851.0,12197005.1,-1
2025-12-22,676.0,715.0,671.1,698.7,3.36,32693.0,22616689.5,1
2025-12-23,685.0,701.0,680.0,693.7,1.27,23074.0,15915739.6,1
2025-12-24,682.1,702.0,682.1,690.0,1.16,14037.0,9653854.5,1
2025-12-28,677.0,702.0,677.0,698.9,3.23,31399.0,21781249.0,1
2025-12-29,687.0,700.0,684.1,695.0,1.16,12200.0,8441731.7,1
2025-12-31,686.1,702.0,685.0,687.4,0.19,32463.0,22496225.9,1
2026-01-01,685.0,722.0,685.0,717.0,4.67,93999.0,66949675.0,1
2026-01-04,712.0,750.0,712.0,750.0,5.34,66818.0,48672624.7,1
2026-01-05,755.0,780.0,745.0,764.5,1.26,81778.0,62363308.8,1
2026-01-06,764.1,805.0,725.2,736.0,-3.68,68886.0,52025525.4,-1
2026-01-07,722.0,745.0,711.0,719.0,-0.42,27353.0,19851384.5,-1
2026-01-08,708.1,741.0,708.1,735.0,3.8,35313.0,25784856.1,1
2026-01-12,732.0,768.2,731.3,759.8,3.8,45889.0,34566261.3,1
2026-01-13,750.0,774.0,730.0,732.6,-2.32,34028.0,25365185.1,-1
2026-01-14,727.2,745.0,716.3,725.0,-0.3,29212.0,21261015.7,-1
2026-01-18,710.5,755.1,710.5,736.0,3.59,40703.0,30218339.2,1
2026-01-20,736.0,761.0,735.0,741.0,0.68,43808.0,32690661.9,1
2026-01-21,741.0,753.8,727.0,736.0,-0.67,30294.0,22286225.4,-1
2026-01-22,728.1,767.0,728.0,756.0,3.83,45011.0,33534881.6,1
2026-01-25,770.0,831.6,758.0,831.6,8.0,92708.0,74617262.2,1
2026-01-26,848.2,897.0,821.3,880.0,3.75,108598.0,92651353.8,1
2026-01-27,880.0,927.0,850.1,851.1,-3.28,71930.0,63577043.7,-1
2026-01-28,850.5,890.0,833.0,884.8,4.03,83358.0,71357110.1,1
2026-01-29,900.0,900.0,835.0,838.0,-6.89,79872.0,68405042.8,-1
2026-02-01,838.0,838.0,807.0,814.0,-2.86,37523.0,30706427.6,-1
2026-02-02,810.0,865.0,810.0,845.0,4.32,38649.0,32693822.3,1
2026-02-03,859.1,860.0,815.0,819.0,-4.67,27151.0,22448152.7,-1
2026-02-04,820.1,845.0,785.6,799.0,-2.57,30041.0,24385975.5,-1
2026-02-05,799.0,814.0,790.0,811.0,1.5,32973.0,26370894.9,1
2026-02-08,800.0,825.9,796.0,806.0,0.75,24015.0,19393733.4,1
2026-02-09,791.0,806.0,765.1,766.3,-3.12,19184.0,15049084.4,-1
2026-02-10,751.0,819.0,751.0,780.0,3.86,32393.0,25627438.1,1
2026-02-11,795.0,809.9,759.0,759.0,-4.53,16135.0,12421608.2,-1
2026-02-12,762.0,783.7,750.0,755.0,-0.92,24759.0,18855552.9,-1
2026-02-16,760.0,777.2,750.3,777.0,2.24,8998.0,6882643.8,1
2026-02-17,777.0,785.0,756.1,767.0,-1.29,15961.0,12270561.4,-1
2026-02-22,760.0,760.0,722.0,730.0,-3.95,22696.0,16571240.9,-1
2026-02-23,716.0,740.0,716.0,740.0,3.35,15519.0,11257835.7,1
2026-02-24,731.1,765.0,729.0,755.0,3.27,14703.0,10927900.5,1
2026-02-25,755.0,767.0,742.1,756.1,0.15,9164.0,6956067.5,1
2026-02-26,770.0,770.0,737.1,750.0,-2.6,7594.0,5656749.6,-1
2026-03-01,735.0,750.0,726.3,740.2,0.71,11832.0,8772004.7,1
2026-03-03,725.4,770.0,725.4,770.0,6.15,20005.0,15131812.1,1
2026-03-09,785.4,832.3,785.4,816.0,3.9,1842.0,1501672.0,1
2026-03-10,820.0,821.0,764.0,798.6,-2.61,38159.0,30330144.7,-1
2026-03-11,782.7,800.0,770.1,780.0,-0.34,23572.0,18454801.7,-1
2026-03-12,764.4,787.0,764.4,780.0,2.04,21246.0,16401430.0,1
