published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,475.0,487.0,475.0,485.0,2.11,17930.0,8678195.4,1
2025-12-09,477.5,491.8,477.5,489.4,2.49,18826.0,9181436.2,1
2025-12-10,499.1,499.1,494.0,498.0,-0.22,103150.0,51290483.9,-1
2025-12-11,500.0,506.0,496.0,499.7,-0.06,70476.0,35279062.1,-1
2025-12-14,499.7,506.0,498.2,499.1,-0.12,70636.0,35389150.2,-1
2025-12-15,497.0,504.0,497.0,501.0,0.8,60873.0,30429782.8,1
2025-12-16,500.0,508.6,498.9,507.0,1.4,70846.0,35655268.5,1
2025-12-17,509.0,526.0,506.0,519.0,1.96,135518.0,70263113.1,1
2025-12-18,520.0,523.0,515.1,519.9,-0.02,104340.0,54172771.0,-1
2025-12-21,519.9,523.0,513.5,516.0,-0.75,123345.0,63808480.7,-1
2025-12-22,513.5,522.0,512.2,519.0,1.07,137877.0,71234523.1,1
2025-12-23,508.7,508.7,483.0,488.0,-4.07,103198.0,50408471.8,-1
2025-12-24,497.7,497.7,470.0,471.5,-5.26,67041.0,31887724.0,-1
2025-12-28,471.0,480.0,465.2,473.1,0.45,69482.0,32943080.8,1
2025-12-29,482.5,482.5,466.0,467.9,-3.03,36302.0,17052944.7,-1
2025-12-31,477.2,477.5,468.2,470.0,-1.51,38232.0,18001672.5,-1
2026-01-01,473.0,473.0,464.2,467.0,-1.27,38469.0,17936196.0,-1
2026-01-04,470.0,470.0,461.0,464.8,-1.11,23596.0,10944320.5,-1
2026-01-05,464.8,468.0,461.4,467.0,0.47,32647.0,15178535.7,1
2026-01-06,467.0,476.0,464.0,473.9,1.48,42620.0,20141483.8,1
2026-01-07,470.1,480.0,468.3,479.9,2.08,40390.0,19194010.9,1
2026-01-08,472.5,483.0,472.4,479.0,1.38,33195.0,15847818.0,1
2026-01-12,471.2,480.0,471.1,475.5,0.91,47799.0,22769497.2,1
2026-01-13,471.0,475.0,471.0,475.0,0.85,30707.0,14544815.3,1
2026-01-14,475.0,480.0,471.5,474.0,-0.21,25644.0,12154295.4,-1
2026-01-18,472.1,480.0,471.5,476.9,1.02,29464.0,14005880.1,1
2026-01-20,485.0,486.4,478.0,480.5,-0.93,59499.0,28648034.9,-1
2026-01-21,483.0,490.0,474.0,474.6,-1.74,32863.0,15710904.6,-1
2026-01-22,474.0,477.0,470.0,476.0,0.42,19471.0,9228536.8,1
2026-01-25,476.0,484.0,473.2,482.0,1.26,57147.0,27457966.1,1
2026-01-26,482.0,493.0,480.2,486.0,0.83,62452.0,30372701.4,1
2026-01-27,481.0,490.0,477.0,479.8,-0.25,44867.0,21644739.7,-1
2026-01-28,475.0,482.0,475.0,477.3,0.48,29616.0,14181353.7,1
2026-01-29,475.0,483.0,472.8,474.1,-0.19,31671.0,15088313.2,-1
2026-02-01,471.6,475.0,468.0,472.0,0.08,28836.0,13574061.6,1
2026-02-02,472.0,475.0,465.3,468.5,-0.74,15315.0,7180920.2,-1
2026-02-03,469.2,473.0,465.0,465.2,-0.85,27227.0,12700881.7,-1
2026-02-04,462.0,470.0,462.0,470.0,1.73,19319.0,9056019.6,1
2026-02-05,468.0,474.0,466.2,473.0,1.07,20837.0,9792266.9,1
2026-02-08,473.0,478.0,466.2,471.8,-0.25,21293.0,10024312.4,-1
2026-02-09,471.8,471.8,465.0,465.1,-1.42,31226.0,14570492.0,-1
2026-02-10,463.3,466.0,462.2,462.5,-0.17,15691.0,7273635.1,-1
2026-02-11,462.5,469.9,461.9,462.1,-0.09,12674.0,5866668.6,-1
2026-02-12,462.6,467.0,459.2,464.0,0.3,27426.0,12663190.8,1
2026-02-16,459.2,466.0,459.0,460.0,0.17,17216.0,7931874.9,1
2026-02-17,460.0,463.7,456.3,456.9,-0.67,18647.0,8566219.1,-1
2026-02-22,454.0,457.0,450.1,452.0,-0.44,19375.0,8787379.6,-1
2026-02-23,447.0,457.0,447.0,455.0,1.79,12983.0,5885597.4,1
2026-02-24,455.0,462.0,450.0,462.0,1.54,18695.0,8499757.3,1
2026-02-25,456.1,472.2,456.1,471.0,3.27,19924.0,9340544.3,1
2026-02-26,462.1,474.3,462.1,474.0,2.58,13648.0,6423639.9,1
2026-03-01,470.0,474.5,453.0,469.0,-0.21,20615.0,9650637.7,-1
2026-03-03,470.0,474.9,462.1,473.8,0.81,15877.0,7486164.7,1
2026-03-09,483.2,492.8,483.2,492.8,1.99,1010.0,488128.0,1
2026-03-10,502.0,502.0,483.0,495.0,-1.39,86553.0,42576347.8,-1
2026-03-11,495.0,497.3,484.0,486.0,-1.82,25020.0,12259283.6,-1
2026-03-12,480.0,492.0,480.0,485.1,1.06,19593.0,9529206.9,1
2026-03-15,481.0,490.0,481.0,484.2,0.67,20602.0,10019254.3,1
2026-03-16,481.0,484.9,473.5,480.0,-0.21,32513.0,15527733.9,-1
2026-03-17,475.0,479.9,475.0,478.7,0.78,12040.0,5752301.9,1
2026-03-19,475.0,491.9,475.0,490.0,3.16,55838.0,27246449.6,1
2026-03-22,495.0,502.4,488.0,502.0,1.41,73644.0,36672522.9,1
2026-03-23,503.0,511.0,496.1,500.0,-0.6,43211.0,21597830.5,-1
2026-03-24,496.0,500.0,491.0,498.0,0.4,39060.0,19389195.5,1
2026-03-25,490.0,499.0,490.0,490.3,0.06,41452.0,20465946.7,1
2026-03-26,486.0,494.8,486.0,491.0,1.03,19843.0,9711687.1,1
2026-03-29,492.0,492.0,480.5,481.0,-2.24,39927.0,19333110.0,-1
2026-03-30,490.0,490.0,472.1,474.8,-3.1,24301.0,11556668.1,-1
2026-03-31,472.0,480.0,467.2,479.9,1.67,21955.0,10369547.0,1
2026-04-01,475.0,480.0,466.0,470.5,-0.95,33633.0,15853063.8,-1
2026-04-02,466.0,470.0,460.0,467.1,0.24,19783.0,9224445.7,1
2026-04-05,461.1,463.9,453.0,454.0,-1.54,48556.0,22201047.6,-1
2026-04-06,450.0,468.9,450.0,468.0,4.0,19674.0,9095456.1,1
2026-04-07,467.0,475.5,465.5,466.0,-0.21,12120.0,5679204.4,-1
2026-04-08,465.0,469.0,457.1,467.0,0.43,9911.0,4619803.5,1
2026-04-09,467.0,473.0,467.0,472.0,1.07,14718.0,6926936.8,1
2026-04-10,472.0,475.0,465.0,468.5,-0.74,9688.0,4544617.7,-1
2026-04-13,468.5,468.5,461.1,466.0,-0.53,11890.0,5532518.9,-1
2026-04-15,466.0,470.0,461.2,467.0,0.21,14824.0,6917638.0,1
2026-04-16,467.0,470.0,463.0,464.0,-0.64,13096.0,6076224.8,-1
2026-04-17,460.0,466.5,460.0,465.0,1.09,15161.0,7003378.1,1
2026-04-20,465.0,465.0,460.2,463.8,-0.26,9333.0,4308620.4,-1
2026-04-21,461.0,465.0,460.0,463.0,0.43,10134.0,4686084.3,1
2026-04-22,460.1,463.0,455.0,458.2,-0.41,19796.0,9059995.2,-1
2026-04-23,455.0,457.8,452.0,456.3,0.29,9923.0,4516320.1,1
