published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,521.0,533.0,521.0,529.1,1.55,5379.0,2845799.8,1
2025-12-09,522.2,532.9,522.2,532.9,2.05,2364.0,1250688.0,1
2025-12-10,523.1,533.0,523.1,533.0,1.89,2853.0,1513662.2,1
2025-12-11,523.0,530.0,523.0,527.0,0.76,902.0,475625.0,1
2025-12-14,516.5,516.5,486.8,494.0,-4.36,52226.0,26097967.8,-1
2025-12-15,490.1,494.5,485.1,489.0,-0.22,14626.0,7155019.6,-1
2025-12-16,489.0,495.0,489.0,490.0,0.2,11055.0,5430496.4,1
2025-12-17,490.1,492.8,488.0,489.0,-0.22,11800.0,5778506.1,-1
2025-12-18,488.0,492.0,485.1,485.2,-0.57,8684.0,4231032.6,-1
2025-12-21,485.0,485.0,471.4,473.3,-2.41,21280.0,10152377.5,-1
2025-12-22,467.0,479.4,464.0,470.0,0.64,6808.0,3203830.1,1
2025-12-23,468.0,470.0,464.0,464.0,-0.85,6914.0,3225993.1,-1
2025-12-24,464.9,478.7,464.9,476.0,2.39,11467.0,5422947.3,1
2025-12-28,480.0,490.0,474.0,488.0,1.67,11235.0,5424180.0,1
2025-12-29,485.0,491.0,480.0,480.0,-1.03,7210.0,3486398.5,-1
2025-12-31,475.0,484.0,475.0,480.4,1.14,8012.0,3844553.1,1
2026-01-01,474.0,483.4,474.0,475.1,0.23,12239.0,5841890.7,1
2026-01-04,470.1,479.0,468.8,468.8,-0.28,10743.0,5065091.4,-1
2026-01-05,468.0,475.8,465.5,472.3,0.92,13451.0,6355496.0,1
2026-01-06,473.1,485.0,473.0,477.0,0.82,16965.0,8158281.3,1
2026-01-07,477.0,484.9,472.4,474.0,-0.63,11609.0,5542795.5,-1
2026-01-08,470.0,480.0,470.0,472.0,0.43,8899.0,4217214.2,1
2026-01-12,473.0,475.0,467.0,470.0,-0.63,4605.0,2168346.7,-1
2026-01-13,470.0,475.0,468.0,470.0,0.0,4838.0,2269534.8,0
2026-01-14,461.0,474.8,461.0,470.0,1.95,5366.0,2528383.2,1
2026-01-18,470.0,479.4,470.0,478.9,1.89,15158.0,7224281.1,1
2026-01-20,484.0,491.8,481.0,486.0,0.41,23961.0,11661713.9,1
2026-01-21,491.0,492.0,482.0,485.0,-1.22,9188.0,4476630.3,-1
2026-01-22,492.0,492.0,477.1,481.0,-2.24,11589.0,5579878.9,-1
2026-01-25,489.0,502.0,480.2,498.3,1.9,25449.0,12501451.3,1
2026-01-26,498.5,500.0,487.0,493.3,-1.04,17860.0,8833794.3,-1
2026-01-27,494.0,503.3,485.0,488.0,-1.21,28583.0,14153169.5,-1
2026-01-28,481.4,493.6,481.4,486.0,0.96,10748.0,5212177.6,1
2026-01-29,487.0,495.5,484.1,485.0,-0.41,13170.0,6427620.5,-1
2026-02-01,490.0,495.0,480.0,482.0,-1.63,15976.0,7752306.9,-1
2026-02-02,480.5,485.0,480.0,480.0,-0.1,7215.0,3472448.3,-1
2026-02-03,480.0,519.0,479.0,500.0,4.17,46879.0,23546356.7,1
2026-02-04,505.0,510.0,495.2,499.6,-1.07,28694.0,14420714.9,-1
2026-02-05,501.3,505.4,497.0,497.0,-0.86,12835.0,6421212.9,-1
2026-02-08,500.0,506.6,485.2,492.9,-1.42,16730.0,8220005.2,-1
2026-02-09,492.9,492.9,479.0,484.9,-1.62,16864.0,8152357.0,-1
2026-02-10,485.0,487.4,478.0,480.5,-0.93,5880.0,2835077.8,-1
2026-02-11,490.1,490.1,477.0,479.9,-2.08,8256.0,3964669.9,-1
2026-02-12,481.0,485.0,472.0,472.0,-1.87,13326.0,6342867.1,-1
2026-02-16,472.0,483.0,469.0,472.0,0.0,8476.0,4033984.7,0
2026-02-17,472.0,477.5,472.0,472.3,0.06,11577.0,5486352.5,1
2026-02-22,470.0,475.6,466.0,468.0,-0.43,8883.0,4159396.0,-1
2026-02-23,473.0,473.0,466.0,468.0,-1.06,6953.0,3263862.3,-1
2026-02-24,466.0,473.0,466.0,472.0,1.29,3892.0,1827991.5,1
2026-02-25,472.0,478.0,468.0,471.0,-0.21,4673.0,2203464.1,-1
2026-02-26,476.0,476.0,468.2,472.8,-0.67,6191.0,2911838.2,-1
2026-03-01,468.0,474.9,467.0,472.0,0.85,12423.0,5841062.2,1
2026-03-03,465.0,488.5,465.0,487.9,4.92,9217.0,4448148.1,1
2026-03-09,497.6,536.6,497.6,536.6,7.84,990.0,493607.0,1
2026-03-10,540.0,540.0,500.0,512.0,-5.19,43948.0,22565508.9,-1
2026-03-11,511.0,517.0,499.0,500.5,-2.05,23422.0,11805531.0,-1
2026-03-12,500.0,504.0,500.0,504.0,0.8,18741.0,9403888.0,1
2026-03-15,504.0,512.0,495.0,495.0,-1.79,10775.0,5384473.3,-1
2026-03-16,490.0,499.2,488.8,488.8,-0.24,9783.0,4805392.8,-1
2026-03-17,488.8,498.0,484.0,491.0,0.45,13607.0,6632570.0,1
2026-03-19,492.0,515.0,490.0,514.0,4.47,51472.0,25650921.4,1
2026-03-22,514.0,524.2,505.0,519.0,0.97,33732.0,17444855.5,1
2026-03-23,515.0,515.0,500.0,511.1,-0.76,18426.0,9378479.2,-1
2026-03-24,507.0,514.0,506.5,509.0,0.39,14787.0,7541938.7,1
2026-03-25,509.0,510.5,499.0,500.1,-1.75,20229.0,10202654.9,-1
2026-03-26,500.2,512.0,496.0,510.0,1.96,18872.0,9516629.3,1
2026-03-29,512.0,512.0,491.1,493.0,-3.71,14304.0,7106156.4,-1
2026-03-30,486.1,495.0,485.1,485.2,-0.19,11024.0,5396952.3,-1
2026-03-31,483.1,492.7,480.0,491.0,1.64,17568.0,8512099.5,1
2026-04-01,499.0,499.0,473.0,477.0,-4.41,35261.0,16991884.4,-1
2026-04-02,477.7,480.0,470.0,474.0,-0.77,9194.0,4379884.6,-1
2026-04-05,472.0,472.0,452.0,452.0,-4.24,18365.0,8429477.5,-1
2026-04-06,461.0,470.0,452.1,470.0,1.95,9147.0,4234254.4,1
2026-04-07,473.2,477.0,468.0,472.0,-0.25,5660.0,2674997.5,-1
2026-04-08,466.5,478.0,466.5,477.9,2.44,9217.0,4370341.1,1
2026-04-09,477.9,482.0,471.5,481.0,0.65,9855.0,4712379.2,1
2026-04-10,482.9,482.9,472.0,474.0,-1.84,9914.0,4693233.8,-1
2026-04-13,474.0,479.0,468.1,473.4,-0.13,4563.0,2147129.0,-1
2026-04-15,473.0,498.0,471.1,492.3,4.08,24197.0,11819361.1,1
2026-04-16,485.0,490.0,475.0,476.0,-1.86,9342.0,4471216.0,-1
2026-04-17,474.6,480.0,471.3,477.7,0.65,10699.0,5071297.4,1
2026-04-20,477.7,477.7,460.0,466.3,-2.39,11487.0,5356871.3,-1
2026-04-21,465.0,465.0,453.3,455.5,-2.04,13322.0,6116970.2,-1
2026-04-22,478.2,478.2,440.3,455.6,-4.73,11842.0,5316664.3,-1
2026-04-23,455.0,455.7,450.0,454.9,-0.02,8957.0,4052139.9,-1
2026-04-24,442.0,455.0,442.0,455.0,2.94,6964.0,3122249.6,1
2026-04-27,455.0,523.2,428.3,523.2,14.99,17542.0,8015022.6,1
2026-04-28,497.1,497.1,456.0,474.8,-4.49,47552.0,22728301.8,-1
2026-04-29,474.8,470.0,455.0,462.0,-2.7,7169.0,3288141.1,-1
