published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,12190.0,12190.0,11946.2,11946.2,-2.0,185.0,2218391.0,-1
2025-12-09,11880.0,12000.0,11875.0,11900.0,0.17,64.0,762610.0,1
2025-12-10,11900.0,12000.0,11900.0,12000.0,0.84,40.0,477000.0,1
2025-12-14,11900.0,12000.0,11900.0,12000.0,0.84,20.0,239000.0,1
2025-12-15,11761.0,11995.2,11760.0,11995.2,1.99,137.0,1618149.4,1
2025-12-16,12000.0,12000.0,11880.0,12000.0,0.0,57.0,681010.0,0
2025-12-17,12199.0,12200.0,11800.6,12036.6,-1.33,166.0,2006463.8,-1
2025-12-18,12036.6,12036.6,11831.0,11831.0,-1.71,38.0,449987.0,-1
2025-12-21,11750.0,11985.0,11750.0,11856.0,0.9,98.0,1162269.5,1
2025-12-22,11930.0,11930.0,11827.0,11900.0,-0.25,94.0,1118665.0,-1
2025-12-23,11756.0,12000.0,11756.0,11900.0,1.22,99.0,1181298.0,1
2025-12-24,11850.0,11952.0,11720.0,11952.0,0.86,165.0,1952341.5,1
2025-12-28,11950.0,12050.0,11950.0,12050.0,0.84,60.0,719500.0,1
2025-12-29,12150.0,12150.0,12100.0,12100.0,-0.41,33.0,400007.0,-1
2025-12-31,11858.0,12335.0,11858.0,12335.0,4.02,20.0,241930.0,1
2026-01-01,12240.0,12240.0,11800.0,11800.0,-3.59,50.0,602455.0,-1
2026-01-04,11800.0,11850.0,11800.0,11801.0,0.01,81.0,956175.0,1
2026-01-05,12037.0,12037.0,12037.0,12037.0,0.0,20.0,240740.0,0
2026-01-06,12100.0,12150.0,12100.0,12150.0,0.41,30.0,362785.0,1
2026-01-07,11910.0,11910.0,11800.0,11800.0,-0.92,217.0,2569365.0,-1
2026-01-08,11800.1,11999.9,11780.0,11999.9,1.69,210.0,2496850.0,1
2026-01-12,11801.1,11820.0,11565.1,11565.1,-2.0,74.0,870723.0,-1
2026-01-13,11796.0,12031.9,11792.0,11792.0,-0.03,136.0,1611958.0,-1
2026-01-14,11792.0,11800.0,11700.0,11700.0,-0.78,30.0,352920.0,-1
2026-01-18,11800.0,12030.0,11800.0,11999.0,1.69,122.0,1456618.0,1
2026-01-20,12100.0,12100.0,11900.0,11900.0,-1.65,123.0,1472261.0,-1
2026-01-21,11840.0,12050.0,11840.0,12050.0,1.77,30.0,357300.0,1
2026-01-22,11832.1,11900.0,11831.0,11900.0,0.57,59.0,698750.0,1
2026-01-25,11900.0,12100.0,11851.1,12025.0,1.05,433.0,5197318.0,1
2026-01-26,11921.0,12248.9,11810.0,11810.0,-0.93,70.0,833109.0,-1
2026-01-27,11810.0,12000.0,11800.1,11820.0,0.08,100.0,1190501.0,1
2026-01-28,11880.0,11880.0,11800.0,11800.0,-0.67,100.0,1182210.0,-1
2026-01-29,11566.0,11944.0,11566.0,11705.2,1.2,160.0,1882725.0,1
2026-02-01,11705.0,12000.0,11705.0,11772.0,0.57,283.0,3366548.0,1
2026-02-02,11536.6,12000.0,11536.6,11777.0,2.08,105.0,1242652.2,1
2026-02-03,11925.0,11925.0,11810.0,11810.0,-0.96,35.0,415400.0,-1
2026-02-04,11998.9,11998.9,11777.0,11777.0,-1.85,60.0,709257.0,-1
2026-02-05,11950.0,11950.0,11950.0,11950.0,0.0,20.0,239000.0,0
2026-02-08,12000.0,12000.0,11765.0,11942.9,-0.48,117.0,1382949.0,-1
2026-02-09,11900.0,11900.0,11725.0,11725.0,-1.47,84.0,988460.0,-1
2026-02-10,11551.0,11551.0,11550.0,11550.0,-0.01,60.0,693010.0,-1
2026-02-11,11550.0,11679.0,11420.0,11640.0,0.78,411.0,4726490.0,1
2026-02-12,11501.0,11700.0,11316.0,11700.0,1.73,96.0,1099910.0,1
2026-02-16,11620.0,11620.0,11555.0,11560.0,-0.52,60.0,694450.0,-1
2026-02-17,11540.1,11780.0,11540.1,11780.0,2.08,110.0,1275321.0,1
2026-02-22,11800.0,11800.0,11564.0,11564.0,-2.0,50.0,583280.0,-1
2026-02-23,11560.1,11650.0,11520.0,11650.0,0.78,210.0,2438532.0,1
2026-02-24,11650.0,11700.0,11520.1,11700.0,0.43,61.0,711711.0,1
2026-02-26,11769.0,11780.0,11769.0,11780.0,0.09,20.0,235490.0,1
2026-03-01,11780.0,11840.0,11780.0,11780.0,0.0,40.0,471800.0,0
2026-03-03,11650.0,11799.9,11600.0,11799.9,1.29,255.0,2967349.0,1
2026-03-09,12035.8,12276.5,12035.8,12276.5,2.0,20.0,243123.0,1
2026-03-10,12522.0,12522.0,11900.0,11900.0,-4.97,268.0,3242731.0,-1
2026-03-11,11900.0,11900.0,11780.0,11780.0,-1.01,55.0,652700.0,-1
2026-03-12,11995.0,11995.0,11899.9,11899.9,-0.79,30.0,357949.0,-1
2026-03-15,11992.0,11992.0,11900.0,11900.0,-0.77,40.0,478730.0,-1
2026-03-16,11990.0,11990.0,11800.0,11800.0,-1.58,80.0,946302.0,-1
2026-03-17,11999.0,12036.0,11999.0,12036.0,0.31,141.0,1694430.0,1
2026-03-19,12000.0,12011.0,11950.0,12000.0,0.0,197.0,2362637.0,0
2026-03-22,11900.0,12000.0,11900.0,12000.0,0.84,141.0,1684117.0,1
2026-03-23,12000.0,12150.0,11805.1,12150.0,1.25,137.0,1644521.0,1
2026-03-24,11920.1,12100.0,11920.1,12100.0,1.51,100.0,1201303.0,1
2026-03-25,12100.0,12100.0,11930.0,12099.0,-0.01,314.0,3760827.0,-1
2026-03-26,12000.0,12189.0,11860.0,12000.0,0.0,81.0,972330.0,0
2026-03-29,11781.0,11800.0,11781.0,11800.0,0.16,73.0,860909.0,1
2026-03-30,11850.0,11850.0,11800.0,11800.0,-0.42,134.0,1582340.0,-1
