published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1050.6,1071.0,1046.0,1055.0,0.42,7261.0,7681635.9,1
2025-12-09,1045.0,1076.0,1030.4,1044.9,-0.01,7504.0,7861752.6,-1
2025-12-10,1025.0,1040.0,1025.0,1033.5,0.83,4691.0,4855704.4,1
2025-12-11,1033.5,1054.0,1012.2,1022.0,-1.11,12843.0,13118231.3,-1
2025-12-14,1004.1,1020.9,984.0,985.0,-1.9,9695.0,9697583.6,-1
2025-12-15,974.0,1019.9,974.0,986.5,1.28,7189.0,7087408.5,1
2025-12-16,966.8,1025.0,966.8,982.0,1.57,4766.0,4717663.6,1
2025-12-17,977.0,999.0,950.3,975.9,-0.11,18889.0,18352328.0,-1
2025-12-18,960.1,965.0,956.5,956.5,-0.37,4504.0,4326223.9,-1
2025-12-21,946.4,963.8,940.1,945.6,-0.08,7336.0,6940838.6,-1
2025-12-22,937.0,945.0,915.4,926.7,-1.1,8841.0,8152840.1,-1
2025-12-23,942.9,942.9,910.1,939.0,-0.41,2433.0,2241233.0,-1
2025-12-24,925.0,995.0,925.0,989.0,6.92,10624.0,10205592.1,1
2025-12-28,999.7,1028.0,984.0,1024.0,2.43,8584.0,8662456.5,1
2025-12-29,1029.0,1038.4,1000.0,1024.9,-0.4,13202.0,13355166.8,-1
2025-12-31,1004.5,1064.0,986.0,998.0,-0.65,25402.0,25460235.2,-1
2026-01-01,978.1,1035.0,945.0,971.9,-0.63,16080.0,15537241.5,-1
2026-01-04,952.5,1019.0,952.5,1011.0,6.14,11927.0,11755950.3,1
2026-01-05,990.8,1029.0,990.8,1025.1,3.46,11720.0,11885653.2,1
2026-01-06,1004.6,1064.0,1004.6,1048.0,4.32,17458.0,18029594.0,1
